編號,車位類別,車位價格,車位面積平方公尺
RPQOMLNJJIKFFCA17CB,坡道平面,2800000,
RPQOMLNJJIKFFCA17CB,坡道平面,2800000,
RPROMLNJJIKFFCA27CB,坡道平面,2800000,
RPROMLNJJIKFFCA27CB,坡道平面,2800000,
RPUOMLNJJIKFFCA57CB,坡道平面,3100000,
RPUOMLNJJIKFFCA57CB,坡道平面,3400000,
RPVOMLNJJIKFFCA67CB,坡道平面,3600000,
RPVOMLNJJIKFFCA67CB,坡道平面,3100000,
RPVOMLNJJIKFFCA67CB,坡道平面,3100000,
RPXOMLNJJIKFFCA87CB,坡道平面,2700000,
RPXOMLNJJIKFFCA87CB,坡道平面,2700000,
RPOPMLNJJIKFFCA07CB,坡道平面,2800000,
RPOPMLNJJIKFFCA07CB,坡道平面,2800000,
RPPPMLNJJIKFFCA17CB,坡道平面,2900000,
RPPPMLNJJIKFFCA17CB,坡道平面,2900000,
RPRPMLNJJIKFFCA37CB,坡道平面,2700000,
RPRPMLNJJIKFFCA37CB,坡道平面,2900000,
RPSPMLNJJIKFFCA47CB,坡道平面,3100000,
RPSPMLNJJIKFFCA47CB,坡道平面,3400000,
