鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,房地(土地+建物),基隆市中正區豐稔街61~90號,20.88,住,,,10410,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630424,61.41,3,1,1,有,無,1120000,18238,,0.0,0,,RPPNMLPJJIKFFBC17CA
信義區,房地(土地+建物),基隆市信義區正信路175巷1~30號,64.0,住,,,10409,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0610403,62.0,3,2,1,有,無,1900000,30645,,0.0,0,,RPVOMLNJJIKFFBC67CA
中正區,車位,基隆市中正區新豐街451~480號,1.7,其他,,,10410,土地0建物0車位1,,,其他,,,,34.17,0,0,0,有,有,665000,,坡道平面,34.17,665000,,RPRNMLRKJIKFFBC67CA
七堵區,土地,瑪陵坑段東勢上股小段271~300地號,5577.0,,山坡地保育區,農牧用地,10209,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8400000,1506,,0.0,0,,RPWNMLNJJIKFFCC77CA
七堵區,房地(土地+建物)+車位,基隆市七堵區百七街61~90號,48.34,住,,,10410,土地1建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800823,242.92000000000002,2,1,2,有,有,12000000,49399,坡道平面,0.0,0,,RPSOMLNJJIKFFCC47CA
暖暖區,房地(土地+建物),基隆市暖暖區過港路61~90號,37.4,住,,,10409,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801231,143.59,4,2,2,有,無,3450000,24027,,0.0,0,,RPXNMLOJJIKFFCC97CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街301~330號,14.93,住,,,10410,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850217,74.19,2,1,1,有,有,1800000,24262,,0.0,0,,RPOOMLOJJIKFFCC17CA
七堵區,房地(土地+建物),基隆市七堵區崇義街61~90號,42.31,住,,,10409,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0791122,109.27,3,2,2,有,無,8200000,75043,,0.0,0,含增建或未登記建物。,RPSNMLPJJIKFFCC57CA
七堵區,房地(土地+建物),基隆市七堵區南興路1~30號,35.85,商,,,10410,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900928,166.15,4,2,2,有,無,11000000,66205,,0.0,0,,RPROMLPJJIKFFCC57CA
七堵區,車位,基隆市七堵區光明路1~30號,0.48,商,,,10410,土地0建物0車位1,一層,十五層,其他,見其他登記事項,鋼筋混凝土造,1020704,34.72,0,0,0,有,有,1550000,,坡道平面,34.72,1550000,,RPQNMLQJJIKFFCC47CA
中山區,房地(土地+建物),基隆市中山區中山二路61~90號,25.2,住,,,10409,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830912,127.96,3,2,2,有,無,6300000,49234,,0.0,0,,RPPOMLTJJIKFFCC77CA
七堵區,房地(土地+建物),基隆市七堵區百七街1~30號,49.14,住,,,10409,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841228,111.38,3,2,1,有,無,4500000,40402,,0.0,0,,RPOOMLNKJIKFFCC17CA
暖暖區,房地(土地+建物),基隆市暖暖區水源路2巷91~120號,30.9,住,,,10410,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701009,86.32,3,2,1,有,有,2800000,32437,,0.0,0,,RPRNMLTKJIKFFCC97CA
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街263巷1~30號,50.37,住,,,10410,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1020701,144.89,3,2,2,有,無,8400000,57975,一樓平面,15.02,0,本建物為五層樓建築並有電梯設施,RPUNMLKLJIKFFCC47CA
暖暖區,土地,金華段451~480地號,207.3,住,,,10409,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3100000,14954,,0.0,0,,RPTNMLOLJIKFFCC77CA
中正區,土地,港灣段一小段31~60地號,45.0,住,,,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1501000,33356,,0.0,0,,RPVNMLQKJIKFFBC08DA
安樂區,房地(土地+建物),基隆市安樂區基金一路208巷138弄1~30號,7.82,住,,,10408,土地2建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840811,33.120000000000005,1,1,1,有,有,1100000,33213,,0.0,0,,RPWNMLPJJIKFFCC08DA
中山區,房地(土地+建物),基隆市中山區復興路334巷1~30號,10.43,住,,,10410,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970701,29.939999999999998,0,0,0,無,有,1530000,51102,,0.0,0,,RPPOMLNLJIKFFCC57EA
安樂區,房地(土地+建物),基隆市安樂區中和路168巷5弄1~30號,22.4,其他,,,10409,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860401,92.26,3,2,1,有,有,2300000,24930,,0.0,0,,RPSNMLLJKIKFFCC47EA
暖暖區,房地(土地+建物),基隆市暖暖區源遠路249巷1~30號,43.35,住,,,10410,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690117,112.66,4,1,1,有,無,2300000,20415,,0.0,0,親等交易,RPVOMLNJJIKFFCC97EA
中正區,房地(土地+建物)+車位,基隆市中正區新豐街481~510號,16.98,其他,,,10409,土地3建物1車位1,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,115.46000000000001,2,2,1,有,有,4100000,35510,坡道平面,34.16,0,,RPXNMLRKJIKFFBC38DA
中正區,房地(土地+建物),基隆市中正區新豐街333巷31~60號,15.62,住,,,10409,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841122,73.26,2,1,1,有,有,2600000,35490,,0.0,0,,RPROMLOLJIKFFBC67DA
