編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPJJIKFFBC17CA,41,61.41,住家用,鋼筋混凝土加強磚造,63年4月24日,四層,三層
RPVOMLNJJIKFFBC67CA,43,62.00,住家用,加強磚造,61年4月3日,三層,二層
RPRNMLRKJIKFFBC67CA,18,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPSOMLNJJIKFFCC47CA,24,150.81,住家用,鋼筋混凝土造,80年8月23日,十六層,四層
RPSOMLNJJIKFFCC47CA,24,92.11,共用部份,鋼筋混凝土造,80年8月23日,十六層,
RPXNMLOJJIKFFCC97CA,24,143.59,住家用,鋼筋混凝土造,80年12月31日,五層,五層
RPOOMLOJJIKFFCC17CA,20,56.33,住家用,鋼筋混凝土造,85年2月17日,十層,九層
RPOOMLOJJIKFFCC17CA,20,6.24,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPOOMLOJJIKFFCC17CA,20,11.62,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPSNMLPJJIKFFCC57CA,25,101.03,住家用,鋼筋混凝土造,79年11月22日,五層,一層
RPSNMLPJJIKFFCC57CA,25,8.24,共用部份,鋼筋混凝土造,79年11月22日,五層,
RPROMLPJJIKFFCC57CA,14,150.85,住家用,鋼筋混凝土造,90年9月28日,五層,三層
RPROMLPJJIKFFCC57CA,14,15.30,共用部份,鋼筋混凝土造,90年9月28日,五層,
RPQNMLQJJIKFFCC47CA,2,.07,見其他登記事項,鋼筋混凝土造,102年7月4日,十五層,一層
RPQNMLQJJIKFFCC47CA,2,.02,見其他登記事項,鋼筋混凝土造,102年7月4日,十五層,
RPQNMLQJJIKFFCC47CA,2,34.63,見其他登記事項,鋼筋混凝土造,102年7月4日,十五層,
RPPOMLTJJIKFFCC77CA,21,113.38,住家用,鋼筋混凝土造,83年9月12日,七層,五層
RPPOMLTJJIKFFCC77CA,21,14.58,共用部份,鋼筋混凝土造,83年9月12日,七層,
RPOOMLNKJIKFFCC17CA,20,107.92,住家用,鋼筋混凝土造,84年12月28日,五層,四層
RPOOMLNKJIKFFCC17CA,20,3.46,共用部份,鋼筋混凝土造,84年12月28日,五層,
RPRNMLTKJIKFFCC97CA,34,86.32,住家用,鋼筋混凝土造,70年10月9日,五層,三層
RPUNMLKLJIKFFCC47CA,2,106.85,見其他登記事項,鋼筋混凝土造,102年7月1日,五層,四層
RPUNMLKLJIKFFCC47CA,2,38.04,見其他登記事項,鋼筋混凝土造,102年7月1日,五層,
RPWNMLPJJIKFFCC08DA,20,25.67,住家用,鋼筋混凝土造,84年8月11日,五層,四層
RPWNMLPJJIKFFCC08DA,21,2.14,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPWNMLPJJIKFFCC08DA,20,5.31,共用部份,鋼筋混凝土造,84年8月11日,五層,
RPPOMLNLJIKFFCC57EA,7,21.52,住家用,鋼筋混凝土造,97年7月1日,七層,三層
RPPOMLNLJIKFFCC57EA,7,3.45,共用部份,鋼筋混凝土造,97年7月1日,七層,
RPPOMLNLJIKFFCC57EA,7,4.97,共用部份,鋼筋混凝土造,97年7月1日,七層,
RPSNMLLJKIKFFCC47EA,18,74.11,住家用,鋼筋混凝土造,86年4月1日,五層,五層
RPSNMLLJKIKFFCC47EA,21,3.37,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPSNMLLJKIKFFCC47EA,18,14.78,共用部份,鋼筋混凝土造,86年4月1日,五層,
RPVOMLNJJIKFFCC97EA,36,112.66,住家用,鋼筋混凝土造,69年1月17日,四層,三層
RPXNMLRKJIKFFBC38DA,18,65.45,住家用,鋼筋混凝土造,86年11月21日,十七層,六層
RPXNMLRKJIKFFBC38DA,18,10.24,共用部份,鋼筋混凝土造,86年11月21日,十七層,
RPXNMLRKJIKFFBC38DA,18,5.60,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPXNMLRKJIKFFBC38DA,18,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPROMLOLJIKFFBC67DA,20,62.56,住家用,鋼筋混凝土造,84年11月22日,九層,三層
RPROMLOLJIKFFBC67DA,20,10.70,共用部份,鋼筋混凝土造,84年11月22日,九層,
RPVNMLOLJIKFFCC97CA,48,51.97,住家用,加強磚造,56年10月5日,二層,二層
RPPNMLQLJIKFFCC57CA,23,111.38,住家用,鋼筋混凝土造,81年12月16日,十五層,八層
RPPNMLQLJIKFFCC57CA,23,20.20,共用部份,鋼筋混凝土造,81年12月16日,十五層,
RPPNMLQLJIKFFCC57CA,23,3.04,共用部份,鋼筋混凝土造,81年12月16日,十八層,
RPPNMLQLJIKFFCC57CA,23,33.12,見其他登記事項,鋼筋混凝土造,81年12月16日,十八層,地下二層
RPPNMLQLJIKFFCC57CA,23,.00,共用部份,鋼筋混凝土造,81年12月16日,十八層,
RPUNMLKMJIKFFCC57CA,16,201.36,見其他登記事項,鋼筋混凝土造,88年7月3日,四層,一層 二層 三層 四層 地下層
RPUNMLKMJIKFFCC57CA,16,22.30,共用部份,鋼筋混凝土造,88年7月3日,五層,
RPUNMLKMJIKFFCC57CA,16,2.52,共用部份,鋼筋混凝土造,88年7月3日,五層,
RPQOMLTJJIKFFCC87CA,20,73.09,住家用,鋼筋混凝土造,84年8月1日,十二層,十二層
RPQOMLTJJIKFFCC87CA,20,12.00,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPQOMLTJJIKFFCC87CA,20,3.48,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPUNMLKKJIKFFCC37CA,30,121.81,住家用,鋼筋混凝土造,75年2月22日,四層,一層
RPPNMLLKJIKFFCC96CA,51,62.16,商業用,磚造,53年8月1日,二層,一層 二層
RPRNMLQJJIKFFCC57CA,4,116.19,見其他登記事項,鋼筋混凝土造,100年10月13日,九層,九層
RPRNMLQJJIKFFCC57CA,4,27.17,見其他登記事項,鋼筋混凝土造,100年10月13日,九層,
RPRNMLQJJIKFFCC57CA,4,26.34,見其他登記事項,鋼筋混凝土造,100年10月13日,九層,
RPPOMLPJJIKFFCC37CA,36,72.89,住家用,鋼筋混凝土造,68年11月27日,四層,四層
