編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLMJJIKFFAD07CA,57,63.82,住家用,見其他登記事項,47年4月20日,一層,一層
RPPNMLNJJIKFFAD96CA,17,172.35,見其他登記事項,鋼筋混凝土造,87年12月3日,十四層,一層 二層
RPPNMLNJJIKFFAD96CA,17,47.78,共有部分,鋼筋混凝土造,87年12月3日,十四層,
RPTNMLNJJIKFFAD37CA,37,271.31,住商用,鋼筋混凝土造,67年5月9日,四層,一層 二層 三層 四層 地下層
RPVNMLNJJIKFFAD57CA,35,26.18,住家用,鋼筋混凝土造,69年12月3日,十層,七層
RPVNMLNJJIKFFAD57CA,35,7.54,共有部分,鋼筋混凝土造,69年12月3日,十層,
RPUOMLNJJIKFFAD57CA,20,74.40,住家用,鋼筋混凝土造,84年5月6日,七層,四層
RPUOMLNJJIKFFAD57CA,20,31.26,共有部分,鋼筋混凝土造,84年5月6日,七層,
RPOOMLOJJIKFFAD07CA,20,38.52,住家用,鋼筋混凝土造,84年7月29日,十七層,十五層
RPOOMLOJJIKFFAD07CA,20,9.48,共有部分,鋼筋混凝土造,84年7月29日,十七層,
RPQNMLPJJIKFFAD27CA,20,24.90,住家用,鋼筋混凝土造,84年11月21日,十二層,十二層
RPQNMLPJJIKFFAD27CA,20,8.95,共有部分,鋼筋混凝土造,84年11月21日,十二層,
RPRNMLPJJIKFFAD37CA,7,57.46,見其他登記事項,鋼筋混凝土造,97年12月19日,十四層,十三層
RPRNMLPJJIKFFAD37CA,7,10.62,共有部分,鋼筋混凝土造,97年12月19日,十四層,
RPRNMLPJJIKFFAD37CA,7,10.69,共有部分,鋼筋混凝土造,97年12月19日,十四層,
RPRNMLQJJIKFFAD47CA,40,184.48,住商用,加強磚造,64年5月20日,三層,一層 二層 三層 地下層
RPSNMLQJJIKFFAD57CA,18,83.28,住家用,鋼筋混凝土造,86年10月22日,二十四層,十三層
RPSNMLQJJIKFFAD57CA,18,13.63,共有部分,鋼筋混凝土造,86年10月22日,二十四層,
RPSNMLQJJIKFFAD57CA,18,13.44,共有部分,鋼筋混凝土造,86年10月22日,二十四層,
RPWNMLQJJIKFFAD97CA,22,15.16,共有部分,鋼筋混凝土造,82年9月24日,七層,
RPWNMLQJJIKFFAD97CA,22,8.01,共有部分,鋼筋混凝土造,82年9月24日,七層,
RPWNMLQJJIKFFAD97CA,22,96.52,住商用,鋼筋混凝土造,82年9月24日,七層,一層 二層
RPWPMLLKJIKFFAD77CA,,165.73,見其他登記事項,見其他登記事項,104年8月25日,十九層,三層
RPWPMLLKJIKFFAD77CA,,102.00,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPWPMLLKJIKFFAD77CA,,25.53,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPXPMLLKJIKFFAD87CA,,221.81,見其他登記事項,見其他登記事項,104年8月25日,十九層,四層
RPXPMLLKJIKFFAD87CA,,148.49,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPXPMLLKJIKFFAD87CA,,35.51,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPOQMLLKJIKFFAD07CA,,169.61,見其他登記事項,見其他登記事項,104年8月25日,十九層,四層
RPOQMLLKJIKFFAD07CA,,103.29,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPOQMLLKJIKFFAD07CA,,26.73,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPPQMLLKJIKFFAD17CA,,221.81,見其他登記事項,見其他登記事項,104年8月25日,十九層,五層
RPPQMLLKJIKFFAD17CA,,114.63,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPPQMLLKJIKFFAD17CA,,35.11,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPQQMLLKJIKFFAD27CA,,167.72,見其他登記事項,見其他登記事項,104年8月25日,十九層,五層
RPQQMLLKJIKFFAD27CA,,102.43,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPQQMLLKJIKFFAD27CA,,26.33,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPRQMLLKJIKFFAD37CA,,167.72,見其他登記事項,見其他登記事項,104年8月25日,十九層,六層
RPRQMLLKJIKFFAD37CA,,102.43,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPRQMLLKJIKFFAD37CA,,26.33,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPSQMLLKJIKFFAD47CA,,221.81,見其他登記事項,見其他登記事項,104年8月25日,十九層,七層
