鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中西區,建物,臺南市中西區健康路一段301~330號,0.0,住,,,10410,土地0建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,0940531,54.56,0,0,0,無,無,有,28000,513,,0.0,0,,RPVNMLMJJIKFFAD67CC
安平區,房地(土地+建物),臺南市安平區育平四街31~60號,11.67,住,,,10409,土地1建物1車位0,二層,17,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0850907,105.69,1,2,2,有,有,無,12000,114,,0.0,0,,RPSNMLOJJIKFFAD57CC
安平區,房地(土地+建物),臺南市安平區健康三街121~150號,13.45,住,,,10410,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0950822,104.6,2,2,1,有,有,有,15000,143,,0.0,0,,RPTNMLOJJIKFFAD67CC
中西區,房地(土地+建物),臺南市中西區衛民街61~90號,13.99,商,,,10409,土地3建物1車位0,一層,9,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,0950713,150.18,1,1,1,有,無,有,17000,113,,0.0,0,,RPUNMLOJJIKFFAD77CC
善化區,建物,臺南市善化區建國路1~30號,115.7,,,,10410,土地0建物1車位0,一層,1,店面(店鋪),見其他登記事項,鋼筋混凝土造,0960927,309.75,0,0,0,無,無,無,15000,48,,0.0,0,,RPQNMLOJJIKFFER56CC
永康區,建物,臺南市永康區復國一路421~450號,0.0,住,,,10410,土地0建物0車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0810512,104.55,0,0,0,無,無,無,50000,478,,0.0,0,,RPVNMLPJJIKFFHR47CC
永康區,建物,臺南市永康區永二街391~420號,0.0,住,,,10410,土地0建物1車位0,十四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830504,126.11,3,2,2,有,無,有,15000,119,,0.0,0,,RPUOMLPJJIKFFHR47CC
永康區,房地(土地+建物),臺南市永康區忠孝路421~450號,82.55,住,,,10411,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0700522,113.32,5,2,2,有,無,有,16000,141,,0.0,0,,RPPPMLPJJIKFFHR07CC
永康區,房地(土地+建物),臺南市永康區新興街31~60號,86.16,住,,,10410,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0691107,108.09,3,2,2,有,無,有,14000,130,,0.0,0,,RPSPMLPJJIKFFHR37CC
安平區,建物,臺南市安平區建平一街224巷21弄1~30號,0.0,住,,,10410,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840418,96.44,3,2,2,有,有,有,12000,124,,0.0,0,,RPWNMLPJJIKFFAD08CC
安平區,建物,臺南市安平區健康三街211~240號,0.0,住,,,10410,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830603,129.35,4,1,2,有,有,有,16000,124,,0.0,0,,RPXNMLPJJIKFFAD18CC
