¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
´ò¤º°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«´ò¤º°Ï´ò¤¤¸ô460«Ñ17§Ë1~30¸¹,87.34,¦í,,,10409,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030723,176.44,5,2,3,¦³,µL,7600000,43074,,0.0,0,,RPXOMLTJKIKFFJE96CA
¸ô¦Ë°Ï,¤g¦a,©¾§µ¬q1141~1170¦a¸¹,158.15,¦í,,,10410,¤g¦a5«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6200000,39203,,0.0,0,051700»P051710¬°ÃöÁp¥ó,RPOOMLQLJIKFFJE48CA
¥Ð¼d°Ï,¤g¦a,¥j«F§|¬q31~60¦a¸¹,66.56,,´ËªL°Ï,¹Aªª¥Î¦a,10410,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,26000,391,,0.0,0,«æ¶R¤g¦a¬°«ù¤À¥B¥¼Á{¸ô,RPQNMLKLJIKFFJE97CA
ªü½¬°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«ªü½¬°Ï¤¤¥¿¸ô700«Ñ1~30¸¹,88.5,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0700601,160.8,5,2,3,¦³,µL,3600000,22388,,0.0,0,,RPWNMLPJJIKFFJE88CA
¸ô¦Ë°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¸ô¦Ë°Ï¤¤¿³¸ô52«Ñ1~30¸¹,81.27,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0801129,166.55,4,3,3,¦³,µL,5500000,33023,,0.0,0,,RPQNMLTJJIKFFJE68CA
´ò¤º°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«´ò¤º°ÏºÖ¥Í¤­µó31~60¸¹,73.46,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0901030,161.34,5,2,3,¦³,µL,4900000,30371,,0.0,0,,RPVNMLLKJIKFFJE48CA
¤»Àt°Ï,¤g¦a,Óy¿@¬q181~210¦a¸¹,3568.0,,¤s©Y¦a«O¨|°Ï,¹Aªª¥Î¦a,10409,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2700000,757,,0.0,0,,RPQNMLNJJIKFFKE18CA
­XÛ_°Ï,¤g¦a,¥¿¶¶¬q751~780¦a¸¹,1.08,¦í,,,10410,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2901,2686,,0.0,0,¦V¬F©²¾÷Ãö©ÓÁÊ¤§®×¥ó¡C,RPXNMLSJKIKFFJE76CA
¤j¼d°Ï,¤g¦a,¤¯¼w¬q1~30¦a¸¹,79.01,¦í,,,10410,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2390000,30249,,0.0,0,,RPPOMLOJJIKFFLE38CA
¤j¼d°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤j¼d°Ï´º¶©µó10«Ñ1~30¸¹,67.0,¦í,,,10409,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0751124,88.6,4,1,2,¦³,µL,3600000,40632,,0.0,0,,RPTNMLLKJIKFFLE48CA
