編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLLJJIKFFGE67CC,41,150.40,住商用,加強磚造,63年5月24日,三層,
RPTNMLMJJIKFFGE18CC,4,46.27,見其他登記事項,鋼筋混凝土造,100年9月12日,十五層,
RPRPMLMJJIKFFDE87CC,21,59.21,商業用,鋼筋混凝土造,83年11月1日,十二層,
RPOOMLMJJIKFFEE57CC,35,160.17,,鋼筋混凝土造,70年4月11日,三層,
RPPOMLMJJIKFFEE67CC,8,21.69,住商用,鋼筋混凝土造,96年7月6日,五層,
RPUOMLMJJIKFFEE18CC,9,88.52,住商用,鋼筋混凝土造,95年6月29日,十四層,
RPQPMLMJJIKFFEE87CC,26,70.15,見其它登記事項,鋼筋混凝土造,79年3月26日,十九層,
RPTNMLMJJIKFFAE57CC,12,51.76,住家用,鋼筋混凝土造,92年12月10日,五層,
RPTNMLMJJIKFFAE57CC,12,51.35,住家用,鋼筋混凝土造,92年12月10日,五層,
RPVNMLMJJIKFFBE87CC,47,156.24,,加強磚造,57年11月1日,三層,
RPWNMLMJJIKFFBE97CC,24,128.73,商業用,鋼筋混凝土造,80年7月22日,十二層,
RPXNMLMJJIKFFBE08CC,39,77.36,,鋼筋混凝土造,65年11月24日,十層,
RPVNMLMJJIKFFCE97CC,36,160.40,,鋼筋混凝土造,68年6月29日,三層,
RPTPMLMJJIKFFCE97CC,40,460.32,住商用,鋼筋混凝土造,64年7月26日,三層,
RPWPMLMJJIKFFCE28CC,10,88.33,住家用,鋼筋混凝土造,94年12月28日,十五層,
RPWPMLMJJIKFFCE28CC,10,66.08,共有部份,鋼筋混凝土造,94年12月28日,十五層,
RPQNMLMJJIKFFFE77CC,23,405.67,商業用,鋼造,81年4月19日,一層,
RPRNMLNJJIKFFLE68DC,44,142.48,住商用,加強磚造,60年6月10日,二層,
RPTNMLNJJIKFFCE87CC,18,101.40,住家用,鋼筋混凝土造,86年5月27日,二十七層,
RPTNMLNJJIKFFCE87CC,18,12.20,住家用,鋼筋混凝土造,86年5月27日,二十七層,
RPTNMLNJJIKFFCE87CC,18,40.10,見使用執照,鋼筋混凝土造,86年5月27日,二十七層,
RPWNMLNJJIKFFCE18CC,10,203.87,住家用,鋼筋混凝土造,95年3月2日,十五層,
