鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.81,住,,,10307,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.1,2,2,2,有,無,10320000,70071,坡道平面,31.66,1250000,另加1間衣帽間,RPUNMLNJJIKFFEF18CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.81,住,,,10310,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.1,2,2,2,有,無,10150000,68758,坡道平面,31.66,1250000,另加1間衣帽間,RPVNMLNJJIKFFEF28CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.81,住,,,10307,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.1,2,2,2,有,無,10580000,71307,坡道平面,31.66,1350000,另加1間衣帽間,RPXNMLNJJIKFFEF48CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.81,住,,,10309,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.1,2,2,2,有,無,10080000,68217,坡道平面,31.66,1250000,另加1間衣帽間,RPQOMLNJJIKFFEF87CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.81,住,,,10309,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.1,2,2,2,有,無,10080000,68217,坡道平面,31.66,1250000,另加1間衣帽間,RPROMLNJJIKFFEF97CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.81,住,,,10311,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.1,2,2,2,有,無,10050000,67985,坡道平面,31.66,1250000,另加1間衣帽間,RPTOMLNJJIKFFEF18CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.81,住,,,10404,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.16,2,2,2,有,無,9380000,62780,坡道平面,31.66,1250000,另加1間衣帽間,RPVOMLNJJIKFFEF38CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.81,住,,,10312,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.18,1,2,2,有,無,9580000,65323,坡道平面,31.66,1250000,另加1間衣帽間及1間儲藏室,RPWOMLNJJIKFFEF48CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.11,住,,,10306,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.02,1,2,2,有,無,9900000,69001,坡道平面,31.66,1250000,另加1間衣帽間及1間儲藏室,RPXOMLNJJIKFFEF58CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,28.11,住,,,10310,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.0,2,2,2,有,無,9900000,68278,坡道平面,29.58,1200000,另加1間衣帽間,RPOPMLNJJIKFFEF77CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,19.68,住,,,10305,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.0,2,2,1,有,無,7710000,71508,坡道平面,31.66,1250000,,RPPPMLNJJIKFFEF87CB
淡水區,房地(土地+建物)+車位,公司田段121~150地號,19.68,住,,,10304,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.0,2,2,1,有,無,7670000,71065,坡道平面,31.66,1250000,,RPQPMLNJJIKFFEF97CB
