編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLLJJIKFFAF27CC,17,39.22,住家用,鋼筋混凝土造,87年6月9日,十一層,
RPQNMLLJJIKFFAF27CC,17,8.41,見其他登記事項,鋼筋混凝土造,87年6月9日,十一層,
RPQNMLLJJIKFFAF27CC,17,2.70,見其他登記事項,鋼筋混凝土造,87年6月9日,十一層,
RPQNMLLJJIKFFAF27CC,17,8.02,見其他登記事項,鋼筋混凝土造,87年6月9日,十一層,
RPPNMLLJJIKFFBF27CC,12,83.27,住家用,鋼筋混凝土造,93年4月15日,十一層,
RPPNMLLJJIKFFBF27CC,12,13.77,共有部分,鋼筋混凝土造,93年4月15日,十一層,
RPPNMLLJJIKFFBF27CC,12,40.03,共有部分,鋼筋混凝土造,93年4月15日,十一層,
RPQNMLLJJIKFFBF37CC,5,53.16,見其他登記事項,鋼筋混凝土造,100年3月31日,十四層,
RPQNMLLJJIKFFBF37CC,5,22.75,見其他登記事項,鋼筋混凝土造,100年3月31日,十四層,
RPSNMLLJJIKFFBF57CC,28,16.72,住商用,鋼筋混凝土造,77年1月9日,五層,
RPXNMLLJJIKFFBF08CC,,73.70,見其他登記事項,鋼筋混凝土造,104年8月20日,十五層,
RPXNMLLJJIKFFBF08CC,,16.10,見其他登記事項,鋼筋混凝土造,104年8月20日,十五層,
RPXNMLLJJIKFFBF08CC,,45.90,見其他登記事項,鋼筋混凝土造,104年8月20日,十五層,
RPOOMLLJJIKFFBF27CC,36,81.42,住家用,鋼筋混凝土造,69年4月14日,五層,
RPQOMLLJJIKFFBF47CC,13,56.89,住家用,鋼筋混凝土造,92年1月14日,十層,
RPQOMLLJJIKFFBF47CC,13,46.70,共有部分,鋼筋混凝土造,92年1月14日,十層,
RPROMLLJJIKFFBF57CC,20,27.81,住家用,鋼筋混凝土造,84年7月13日,十七層,
RPROMLLJJIKFFBF57CC,20,6.84,共有部分,鋼筋混凝土造,84年7月13日,十七層,
RPROMLLJJIKFFBF57CC,20,2.04,共有部分,鋼筋混凝土造,84年7月13日,十七層,
