編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQNMLLJJIKFFAF27CC,新雅段,10.48,都市：住
RPPNMLLJJIKFFBF27CC,榮富段,16.46,都市：住
RPQNMLLJJIKFFBF37CC,中原段,14.19,都市：住
RPSNMLLJJIKFFBF57CC,榮富段,31.38,都市：住
RPXNMLLJJIKFFBF08CC,芳洲段,19.51,都市：住
RPOOMLLJJIKFFBF27CC,昌隆段,19.62,都市：住
RPQOMLLJJIKFFBF47CC,同興段,14.67,都市：住
RPROMLLJJIKFFBF57CC,和平段,5.54,都市：住
RPSOMLLJJIKFFBF67CC,復興段,26.81,都市：住
RPUOMLLJJIKFFBF87CC,復興段,78.73,都市：住
RPUOMLLJJIKFFBF87CC,復興段,14.86,都市：住
RPVOMLLJJIKFFBF97CC,中原段,34.13,都市：住
RPWOMLLJJIKFFBF08CC,中原段,17.61,都市：商
RPTRMLMJJIKFFBF18CC,國宅段,41.04,都市：住
RPXPMLMJJIKFFAF28CC,光仁段,.00,都市：住
RPWQMLMJJIKFFAF28CC,成功段,26.28,都市：住
RPXNMLMJJIKFFDF38CC,工建段,.00,都市：工
RPOOMLMJJIKFFDF57CC,同新段,.00,都市：工
RPOPMLMJJIKFFCF57CC,雙城段,.00,都市：住
RPSNMLMJJIKFFIF38CC,大學段二小段,3129.57,都市：住
RPWOMLMJJIKFFIF88CC,樹德段,41.75,都市：住
RPQOMLMJJIKFFGF28EC,正義段,.00,非都市： ; 非都市編定：
RPUNMLNJJIKFFHF68DC,民有段,.00,都市：住
RPUNMLNJJIKFFHF68DC,民有段,.00,都市：住
RPUQMLNJJIKFFAF38EC,金城段,24.49,都市：住
RPSOMLNJJIKFFDF28EC,保長段,5.38,都市：住
RPTOMLNJJIKFFDF38EC,保長段,9.31,都市：住
RPUOMLNJJIKFFDF48EC,保長段,3.91,都市：住
RPQPMLNJJIKFFDF18EC,保長段,5.35,都市：住
RPWPMLNJJIKFFDF78EC,保長段,5.54,都市：住
RPXOMLNJJIKFFIF09CC,樹新段,22.06,都市：住
RPSPMLNJJIKFFDF18CC,智興段,.00,都市：商
RPWPMLNJJIKFFDF58CC,智興段,.00,都市：住
RPTPMLNJJIKFFEF38CC,公司田段,19.98,都市：住
RPOQMLNJJIKFFEF97CC,公司田段,21.06,都市：住
RPXRMLNJJIKFFEF98CC,龍米段,1618.79,都市：其他
RPOSMLNJJIKFFEF18CC,海天段,27.74,都市：住
RPPSMLNJJIKFFEF28CC,海天段,16.86,都市：住
RPXNMLOJJIKFFEF68CC,學府段,.00,都市：住
RPTOMLOJJIKFFEF38CC,龍米段,4.71,都市：住
RPOPMLOJJIKFFEF97CC,正德段,17.82,都市：住
RPPPMLOJJIKFFAF67CC,員仁段,237.00,都市：其他
RPTPMLOJJIKFFAF08CC,金城段,4.62,都市：住
RPUQMLOJJIKFFAF28CC,新板段二小段,16.53,都市：其他
RPQPMLOJJIKFFHF48CC,保生段,.00,都市：住
RPTQMLOJJIKFFAF38EC,介壽段,.00,都市：商
RPOOMLOJJIKFFGF08CC,興德段,1020.75,都市：工
RPPOMLOJJIKFFGF18CC,中興段,.00,都市：工
RPPOMLOJJIKFFGF18CC,中興段,.00,都市：工
RPTOMLOJJIKFFGF58CC,中興段,.00,都市：工
RPOOMLOJJIKFFCF77DC,寶橋段,.00,非都市： ; 非都市編定：
RPPOMLOJJIKFFCF87DC,寶橋段,.00,非都市： ; 非都市編定：
RPQOMLOJJIKFFDF08DC,環河段,.00,都市：工
RPUNMLPJJIKFFGF68CC,重陽段,412.61,都市：住
RPUOMLPJJIKFFHF88CC,板南段,28.72,都市：工
RPUOMLPJJIKFFIF98CC,大學段一小段,5.34,都市：住
RPWOMLPJJIKFFIF56CC,大學段一小段,32.31,都市：住
