編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLNJJIKFFAG87CA,42,72.26,住家用,鋼筋混凝土加強磚造,62年6月25日,,三層
RPWPMLNJJIKFFAG18CA,,161.21,住家用,見其他登記事項,104年4月16日,三層,一層 二層 三層
RPXPMLNJJIKFFAG28CA,,161.21,住家用,見其他登記事項,104年4月16日,三層,一層 二層 三層
RPQOMLMKJIKFFAG47CA,7,49.24,住家用,鋼筋混凝土造,97年6月2日,十三層,八層
RPQOMLMKJIKFFAG47CA,7,41.33,見其他登記事項,鋼筋混凝土造,97年6月2日,十三層,
RPQOMLMKJIKFFAG47CA,7,6.79,見其他登記事項,鋼筋混凝土造,97年6月2日,十三層,
RPQOMLMKJIKFFAG47CA,7,3.31,共有部份,鋼筋混凝土造,97年6月2日,十三層,
RPRNMLKLJIKFFAG37CA,27,100.06,住商用,鋼筋混凝土造,78年4月12日,三層,一層 二層 三層 騎樓
RPUOMLOJJIKFFBG08CA,,257.31,見其他登記事項,鋼筋混凝土造,104年8月25日,四層,二層 三層 一層 四層 見其他登記事項
RPXOMLOJJIKFFBG38CA,22,124.08,見其他登記事項,鋼筋混凝土造,83年4月14日,十二層,十一層
RPXOMLOJJIKFFBG38CA,22,57.41,共有部分,鋼筋混凝土造,83年4月14日,十二層,
RPUNMLTJJIKFFBG48CA,,197.94,住家用,鋼筋混凝土造,104年9月7日,三層,一層 二層 三層
RPVNMLTJJIKFFBG58CA,,186.01,住家用,鋼筋混凝土造,104年9月7日,三層,一層 二層 三層
RPTNMLKKJIKFFBG57CA,36,136.94,住家用,鋼筋混凝土加強磚造,68年5月3日,二層,一層 二層 騎樓
RPQNMLOKJIKFFBG67CA,1,211.29,住家用,鋼筋混凝土造,103年8月14日,三層,一層 二層 三層
RPOPMLNLJIKFFBG67CA,,334.70,見其他登記事項,鋼筋混凝土造,104年7月6日,三層,一層 二層 三層 見其他登記事項
RPUNMLPJJIKFFAG18EA,21,167.90,住商用,鋼筋混凝土造,84年3月15日,三層,一層 二層 三層 騎樓
RPQNMLNJJIKFFBG67EA,34,149.44,住家用,鋼筋混凝土造,70年11月26日,二層,一層 二層
RPPOMLNJJIKFFBG67EA,23,31.44,住家用,鋼筋混凝土造,81年11月10日,七層,五層
RPPOMLNJJIKFFBG67EA,23,18.64,共有部分,鋼筋混凝土造,81年11月10日,七層,
RPVNMLOJJIKFFAG18EA,34,25.76,住家用,鋼筋混凝土造,70年10月16日,十一層,八層
RPVNMLOJJIKFFAG18EA,34,7.67,見其他登記事項,鋼筋混凝土造,70年10月16日,十一層,
RPRPMLOJJIKFFBG08EA,8,458.61,農舍,鋼筋混凝土造,96年5月3日,二層,一層 二層
RPRPMLOJJIKFFBG08EA,9,114.49,見其他登記事項,鋼筋混凝土造,95年10月25日,一層,一層
RPPNMLOJJIKFFBG67EA,21,47.02,住家用,鋼筋混凝土造,84年1月27日,七層,五層
RPPNMLOJJIKFFBG67EA,21,.73,共有部分,鋼筋混凝土造,84年1月27日,七層,
RPPNMLOJJIKFFBG67EA,21,8.38,共有部分,鋼筋混凝土造,84年1月27日,七層,
RPSPMLNJJIKFFBG97DA,39,228.18,住家用,鋼筋混凝土加強磚造,66年2月14日,三層,一層 二層 三層 騎樓
RPOPMLOJJIKFFBG67DA,11,113.22,住家用,鋼筋混凝土造,93年9月27日,十四層,五層
RPOPMLOJJIKFFBG67DA,11,21.71,共有部分,鋼筋混凝土造,93年9月27日,十四層,
RPOPMLOJJIKFFBG67DA,11,39.94,共有部分,鋼筋混凝土造,93年9月27日,十四層,
RPRNMLTKJIKFFBG28CA,1,218.91,見其他登記事項,鋼筋混凝土造,103年3月27日,三層,見其他登記事項 一層 二層 三層
RPSNMLTKJIKFFBG38CA,1,220.95,見其他登記事項,鋼筋混凝土造,103年3月27日,三層,一層 二層 三層 見其他登記事項
RPRNMLRKJIKFFBG08CA,34,106.92,住家用,鋼筋混凝土加強磚造,70年12月8日,二層,一層 二層
RPWNMLTJJIKFFBG68CA,,194.53,住家用,鋼筋混凝土造,104年9月7日,三層,一層 二層 三層
RPSNMLOJJIKFFBG77CA,18,32.00,住家用,鋼筋混凝土造,86年8月11日,六層,三層
RPSNMLOJJIKFFBG77CA,18,9.45,共有部分,鋼筋混凝土造,86年8月11日,六層,
RPSNMLOJJIKFFBG77CA,18,11.89,共有部分,鋼筋混凝土造,86年8月11日,六層,
RPWPMLOJJIKFFBG38CA,35,121.44,住家用,鋼筋混凝土加強磚造,69年8月12日,二層,一層 二層 騎樓
RPROMLQJJIKFFBG97CA,21,120.26,住家用,鋼筋混凝土造,83年6月9日,十五層,五層
RPROMLQJJIKFFBG97CA,21,1.78,共有部分,鋼筋混凝土造,83年6月9日,十五層,
RPROMLQJJIKFFBG97CA,21,20.60,共有部分,鋼筋混凝土造,83年6月9日,十五層,
RPQOMLTJJIKFFAG08CA,,173.87,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPSOMLTJJIKFFAG28CA,,182.81,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPTOMLTJJIKFFAG38CA,,173.87,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPUOMLTJJIKFFAG48CA,,173.87,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPVOMLTJJIKFFAG58CA,,173.87,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPWOMLTJJIKFFAG68CA,,173.87,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPOPMLTJJIKFFAG97CA,,109.99,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPPQMLNJJIKFFAG57CA,,165.87,住家用,見其他登記事項,104年4月16日,三層,一層 二層 三層
RPRPMLTJJIKFFAG28CA,,171.99,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPQPMLKKJIKFFAG37CA,28,124.59,住家用,鋼筋混凝土造,76年10月19日,三層,一層 二層 三層 騎樓
RPRNMLLKJIKFFAG37CA,17,39.80,住家用,鋼筋混凝土造,88年1月28日,十四層,四層
RPRNMLLKJIKFFAG37CA,17,28.66,見其他登記事項,鋼筋混凝土造,88年1月28日,十四層,
RPTNMLPJJIKFFAG87CA,20,182.43,住家用,鋼筋混凝土造,84年9月29日,三層,一層 二層 三層
RPPPMLTJJIKFFAG08CA,,174.89,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPQPMLTJJIKFFAG18CA,,183.44,住家用,見其他登記事項,104年9月4日,三層,一層 二層 三層
RPQNMLRJJIKFFBG87CA,23,125.70,住家用,鋼筋混凝土造,82年2月2日,六層,五層
