編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLQJJIKFFDH38CA,4,499.47,見其他登記事項,見其他登記事項,100年3月22日,一層,一層
RPVNMLPJJIKFFDH68EA,38,65.25,住家用,加強磚造,66年10月12日,二層,一層 二層 地下層
RPPNMLTJJIKFFDH48EA,39,91.94,住家用,加強磚造,65年11月29日,二層,一層 二層
RPQNMLRLJIKFFCH48EA,20,83.97,住家用,鋼筋混凝土造,84年5月6日,七層,七層
RPQNMLRLJIKFFCH48EA,20,15.12,見其他登記事項,鋼筋混凝土造,84年5月6日,七層,
RPQNMLRLJIKFFCH48EA,20,31.40,見其他登記事項,鋼筋混凝土造,84年5月6日,七層,
RPXRMLMJJIKFFBH78EA,38,20.38,住家用,加強磚造,67年1月19日,二層,一層 二層
RPVNMLPJJIKFFCH58EA,35,134.26,住家用,加強磚造,69年11月10日,二層,一層 二層 騎樓
RPPNMLOJJIKFFFH18EA,23,118.92,工業用,鋼筋混凝土造,81年7月23日,五層,四層
RPPNMLOJJIKFFFH18EA,23,1.26,共有部分,鋼筋混凝土造,81年7月23日,五層,
RPXNMLQJJIKFFDH78CA,2,85.22,住家用,鋼筋混凝土造,103年2月26日,八層,二層
RPXNMLQJJIKFFDH78CA,2,14.60,見其他登記事項,鋼筋混凝土造,103年2月26日,八層,
RPXNMLQJJIKFFDH78CA,2,.76,見其他登記事項,鋼筋混凝土造,103年2月26日,一層,
RPXNMLQJJIKFFDH78CA,2,45.87,見其他登記事項,鋼筋混凝土造,103年2月26日,八層,
RPPOMLQJJIKFFDH08CA,39,38.12,住家用,加強磚造,65年9月25日,三層,三層
RPSOMLTJJIKFFDH68CA,20,85.38,住家用,鋼筋混凝土造,84年11月7日,十二層,八層
RPSOMLTJJIKFFDH68CA,20,47.56,見其他登記事項,鋼筋混凝土造,84年11月7日,十二層,
RPSOMLTJJIKFFDH68CA,20,12.36,見其他登記事項,鋼筋混凝土造,84年11月7日,十二層,
RPRNMLQKJIKFFDH28CA,11,176.37,見其他登記事項,鋼筋混凝土造,93年11月17日,四層,一層 二層 三層 四層
RPVPMLRKJIKFFDH98CA,12,87.08,住家用,鋼筋混凝土造,93年2月2日,九層,八層
RPVPMLRKJIKFFDH98CA,12,35.53,見其他登記事項,鋼筋混凝土造,93年2月2日,九層,
RPVPMLRKJIKFFDH98CA,12,11.42,見其他登記事項,鋼筋混凝土造,93年2月2日,九層,
RPWOMLMJJIKFFEH48CA,11,14.04,共有部份,鋼筋混凝土造,94年1月31日,十四層,
RPWOMLMJJIKFFEH48CA,11,83.95,住家用,鋼筋混凝土造,94年1月31日,十四層,五層
RPWOMLMJJIKFFEH48CA,11,16.03,共有部份,鋼筋混凝土造,94年1月31日,十四層,
RPRQMLNJJIKFFEH28CA,19,31.94,住家用,鋼筋混凝土造,85年5月28日,十六層,八層
RPRQMLNJJIKFFEH28CA,19,6.48,共有部份,鋼筋混凝土造,85年5月28日,十六層,
RPRQMLNJJIKFFEH28CA,19,1.57,共有部份,鋼筋混凝土造,85年5月28日,十六層,
RPUNMLPJJIKFFEH48CA,20,77.03,工業用,鋼筋混凝土造,84年5月18日,十層,四層
RPUNMLPJJIKFFEH48CA,20,16.28,共有部份,鋼筋混凝土造,84年5月18日,十層,
RPUNMLPJJIKFFEH48CA,20,14.21,共有部份,鋼筋混凝土造,84年5月18日,十層,
RPPOMLPJJIKFFEH08CA,20,64.49,住家用,鋼筋混凝土造,84年11月9日,八層,八層
RPPOMLPJJIKFFEH08CA,20,8.89,共有部份,鋼筋混凝土造,84年11月9日,八層,
RPPOMLPJJIKFFEH08CA,20,23.58,共有部份,鋼筋混凝土造,84年11月9日,八層,
RPQOMLTJJIKFFEH58CA,44,58.01,住家用,見其他登記事項,61年1月10日,一層,一層
RPROMLTJJIKFFEH68CA,44,58.01,住家用,見其他登記事項,61年1月10日,一層,一層
RPSOMLTJJIKFFEH78CA,44,58.01,住家用,見其他登記事項,61年1月10日,一層,一層
RPSNMLNKJIKFFEH18CA,8,240.61,見其他登記事項,鋼筋混凝土造,96年11月5日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPUNMLNKJIKFFEH38CA,18,278.96,住家用,鋼筋混凝土造,86年11月6日,十二層,十一層 十二層
RPUNMLNKJIKFFEH38CA,18,34.96,共有部份,鋼筋混凝土造,86年11月6日,十二層,
RPUNMLNKJIKFFEH38CA,18,82.43,共有部份,鋼筋混凝土造,86年11月6日,十二層,
RPUNMLNKJIKFFEH38CA,18,39.30,共有部份,鋼筋混凝土造,86年11月6日,十二層,
RPPSMLKMJIKFFEH28CA,1,26.34,共有部份,鋼筋混凝土造,103年10月31日,十一層,
RPPSMLKMJIKFFEH28CA,1,115.98,住家用,鋼筋混凝土造,103年10月31日,十一層,十一層
RPPSMLKMJIKFFEH28CA,1,59.97,共有部份,鋼筋混凝土造,103年10月31日,十一層,
RPTNMLLJKIKFFEH08CA,26,494.97,農舍,加強磚造,78年11月17日,三層,一層 二層 三層
RPTNMLLJKIKFFEH08CA,26,258.62,見其他登記事項,加強磚造,78年11月17日,一層,一層
RPVQMLNJJIKFFFH78CA,1,64.82,住家用,鋼筋混凝土造,103年12月10日,十三層,三層
RPVQMLNJJIKFFFH78CA,1,14.71,見其他登記事項,鋼筋混凝土造,103年12月10日,十三層,
RPVQMLNJJIKFFFH78CA,1,44.93,見其他登記事項,鋼筋混凝土造,103年12月10日,十三層,
RPVNMLNJJIKFFFH48CA,16,92.00,住家用,鋼筋混凝土造,88年11月25日,十三層,五層
RPVNMLNJJIKFFFH48CA,16,18.95,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPVNMLNJJIKFFFH48CA,16,23.45,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPSNMLPJJIKFFFH38CA,16,97.34,住家用,鋼筋混凝土造,88年11月25日,十三層,一層
RPSNMLPJJIKFFFH38CA,16,18.95,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPSNMLPJJIKFFFH38CA,16,25.33,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPTNMLRJJIKFFFH68CA,1,92.17,住家用,鋼筋混凝土造,103年8月19日,十五層,九層
RPTNMLRJJIKFFFH68CA,1,14.95,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPTNMLRJJIKFFFH68CA,1,40.75,見其他登記事項,鋼筋混凝土造,103年8月19日,十五層,
RPUNMLMKJIKFFFH38CA,34,83.99,住家用,加強磚造,70年7月20日,四層,二層
