鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,5700000,51385,坡道平面,32.24,1100000,,RPRNMLLJJIKFFFH97CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10201,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6000000,53619,坡道平面,32.24,1200000,,RPSNMLLJJIKFFFH08CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6030000,53396,坡道平面,32.24,1250000,,RPTNMLLJJIKFFFH18CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6120000,56077,坡道平面,32.24,1100000,,RPUNMLLJJIKFFFH28CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10203,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6100000,53619,坡道平面,32.24,1300000,,RPVNMLLJJIKFFFH38CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6000000,53619,坡道平面,32.24,1200000,,RPWNMLLJJIKFFFH48CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6080000,55630,坡道平面,32.24,1100000,,RPPOMLLJJIKFFFH87CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6120000,54401,坡道平面,32.24,1250000,,RPSOMLLJJIKFFFH18CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6020000,54401,坡道平面,32.24,1150000,,RPVOMLLJJIKFFFH48CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6000000,54178,坡道平面,32.24,1150000,,RPWOMLLJJIKFFFH58CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10204,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6700000,60880,坡道平面,32.24,1250000,,RPXOMLLJJIKFFFH68CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,5900000,53061,坡道平面,32.24,1150000,,RPOPMLLJJIKFFFH87CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,5950000,53619,坡道平面,32.24,1150000,,RPPPMLLJJIKFFFH97CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,16.32,住,,,10111,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.76,2,2,1,有,無,6150000,55853,坡道平面,32.24,1150000,,RPQPMLLJJIKFFFH08CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,23.5,住,,,10111,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.98,3,2,2,有,無,7970000,51796,坡道平面,32.24,1250000,,RPRPMLLJJIKFFFH18CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,24.74,住,,,10202,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3,2,2,有,無,8000000,49360,坡道平面,32.24,1250000,,RPSPMLLJJIKFFFH28CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,24.74,住,,,10111,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3,2,2,有,無,8180000,50676,坡道平面,32.24,1250000,,RPTPMLLJJIKFFFH38CB
八德區,房地(土地+建物)+車位,茄明段61~90地號,24.74,住,,,10111,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.99,3,2,2,有,無,8000000,49360,坡道平面,32.24,1250000,,RPUPMLLJJIKFFFH48CB
