編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLMJJIKFFAH77CC,21,93.73,住家用,鋼筋混凝土造,84年3月30日,六層,
RPROMLMJJIKFFAH77CC,21,7.94,共有部份,鋼筋混凝土造,84年3月30日,六層,
RPROMLMJJIKFFAH77CC,21,38.82,共有部份,鋼筋混凝土造,84年3月30日,六層,
RPTOMLMJJIKFFAH97CC,39,78.22,住家用,鋼筋混凝土造,66年1月11日,四層,
RPVQMLMJJIKFFAH38CC,34,108.48,見其他登記事項,鋼筋混凝土造,71年2月26日,五層,
RPVQMLMJJIKFFAH38CC,34,16.48,共有部份,鋼筋混凝土造,71年2月26日,六層,
RPXNMLMJJIKFFEH68CC,7,1489.98,見其他登記事項,鋼筋混凝土造,97年8月26日,三層,
RPPOMLMJJIKFFFH08CC,22,103.61,住家用,鋼筋混凝土造,82年12月30日,六層,
RPPOMLMJJIKFFFH08CC,22,12.39,共有部分,鋼筋混凝土造,82年12月30日,六層,
RPUNMLMJJIKFFBH28EC,21,76.77,住家用,鋼筋混凝土造,83年11月5日,三層,
RPPOMLMJJIKFFEH18EC,1,355.25,見其他登記事項,鋼筋混凝土造,103年5月29日,七層,
RPPOMLMJJIKFFEH18EC,1,341.37,見其他登記事項,鋼筋混凝土造,103年5月29日,七層,
RPPOMLMJJIKFFEH18EC,1,9.26,共有部份,鋼筋混凝土造,103年5月29日,七層,
RPPOMLMJJIKFFEH18EC,1,77.72,共有部份,鋼筋混凝土造,103年5月29日,七層,
RPPOMLMJJIKFFEH18EC,1,6.36,共有部份,鋼筋混凝土造,103年5月29日,七層,
RPPOMLMJJIKFFEH18EC,1,24.50,共有部份,鋼筋混凝土造,103年5月29日,七層,
RPOOMLNJJIKFFGH28DC,1,75.44,住家用,鋼筋混凝土造,104年4月16日,十四層,
RPRPMLNJJIKFFBH08CC,34,58.35,住家用,加強磚造,70年8月7日,二層,
RPPQMLNJJIKFFAH87CC,48,1223.10,工業用,見其他登記事項,56年9月10日,二層,
RPUNMLOJJIKFFAH18CC,20,59.72,住家用,鋼筋混凝土造,84年9月2日,八層,
RPWOMLOJJIKFFAH48CC,20,169.91,住商用,鋼筋混凝土造,84年12月12日,十七層,
RPUNMLOJJIKFFEH58CC,22,179.21,住家用,鋼筋混凝土造,82年12月24日,四層,
RPSRMLOJJIKFFFH88CC,22,81.33,住家用,鋼筋混凝土造,83年1月31日,五層,
