鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,土地,中山段六小段1~30地號,67.0,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,76119,,0.0,0,本買賣案件係屬三親等間特殊交易，其交易價格可能異於市場正常交易價格。,RPUOMLNJJIKFFAI08CA
嘉義市,土地,竹圍子段二小段271~300地號,380.0,住,,,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20116250,52938,,0.0,0,本買賣案件係屬二親等間特殊交易。,RPWOMLNJJIKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿博東路151~180號,14.48,住,,,10409,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,116.61,3,2,2,有,有,3500000,30015,,0.0,0,,RPQNMLPJJIKFFAI77CA
嘉義市,房地(土地+建物),嘉義市嘉義巿海口寮路91~120號,110.0,住,,,10410,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1030506,232.29,5,2,5,有,無,9250000,39821,,0.0,0,,RPTNMLPJJIKFFAI08CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿泰山一街31~60號,13.67,住,,,10410,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831223,112.80000000000001,3,2,2,有,有,3260000,28901,坡道機械,0.0,0,,RPSNMLLKJIKFFAI67CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿永樂二街121~150號,216.0,住,,,10409,土地1建物1車位3,全,四層,透天厝,見其他登記事項,見其他登記事項,1040209,407.2,6,2,5,有,無,30150000,74042,一樓平面,37.5,0,,RPTNMLNKJIKFFAI97CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿德明路61~90號,12.46,住,,,10409,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840816,139.99,3,2,2,有,有,3890000,27788,坡道平面,0.0,0,,RPXNMLNKJIKFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義巿蘭州一街151~180號,36.33,住,,,10409,土地1建物1車位0,一層，二層，騎樓，地下層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820817,198.24,2,2,2,有,有,4900000,24718,,0.0,0,,RPVNMLOKJIKFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿友愛路481~510號,8.27,住,,,10410,土地1建物2車位0,十層，夾層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881129,69.38,2,1,1,有,有,1760000,25371,,0.0,0,,RPWNMLOKJIKFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義巿新民路499巷1~30號,71.0,住,,,10410,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691122,82.54,4,2,2,有,無,4600000,55731,,0.0,0,含增建或未登記建物。,RPRNMLPKJIKFFAI97CA
