編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUTMLNJJIKFFBJ78CA,7,138.14,住家用,鋼筋混凝土造,98年1月13日,十四層,六層
RPUTMLNJJIKFFBJ78CA,7,121.66,共用部分,鋼筋混凝土造,98年1月13日,十四層,
RPRNMLOJJIKFFBJ97CA,16,226.25,住家用,鋼筋混凝土造,88年9月1日,四層,三層 四層 一層 二層
RPTOMLOJJIKFFBJ28CA,2,12.29,見其他登記事項,鋼筋混凝土造,103年1月27日,十四層,
RPUOMLOJJIKFFBJ38CA,2,12.29,見其他登記事項,鋼筋混凝土造,103年1月27日,十四層,
RPQNMLPJJIKFFBJ97CA,5,276.01,住家用,鋼筋混凝土造,99年12月30日,十九層,十三層
RPQNMLPJJIKFFBJ97CA,5,47.25,見其他登記事項,鋼筋混凝土造,99年12月30日,十九層,
RPQNMLPJJIKFFBJ97CA,5,151.64,見其他登記事項,鋼筋混凝土造,99年12月30日,十九層,
RPTOMLPJJIKFFBJ38CA,4,194.26,住家用,鋼筋混凝土造,100年5月31日,十四層,七層
RPTOMLPJJIKFFBJ38CA,4,37.83,見其他登記事項,鋼筋混凝土造,100年5月31日,十四層,
RPTOMLPJJIKFFBJ38CA,4,47.43,見其他登記事項,鋼筋混凝土造,100年5月31日,十四層,
RPTOMLPJJIKFFBJ38CA,4,.18,見其他登記事項,鋼筋混凝土造,100年5月31日,十四層,一層
RPTOMLPJJIKFFBJ38CA,4,52.37,見其他登記事項,鋼筋混凝土造,100年5月31日,十四層,
RPOQMLQJJIKFFBJ18CA,15,20.91,住家用,鋼筋混凝土造,89年9月6日,六層,五層
RPOQMLQJJIKFFBJ18CA,15,5.25,共有部份,鋼筋混凝土造,89年9月6日,六層,
RPOQMLQJJIKFFBJ18CA,15,6.09,共有部份,鋼筋混凝土造,89年9月6日,六層,
RPWNMLKKJIKFFBJ18CA,8,176.37,住家用,鋼筋混凝土造,96年6月4日,四層,一層 二層 三層 四層
RPWNMLMKJIKFFBJ38CA,23,18.84,住家用,鋼筋混凝土造,81年7月31日,八層,五層
RPWNMLMKJIKFFBJ38CA,23,5.24,共用部分,鋼筋混凝土造,81年7月31日,八層,
RPWNMLMKJIKFFBJ38CA,23,2.05,共用部分,鋼筋混凝土造,81年7月31日,八層,
