編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLMJJIKFFBJ48CC,8,65.75,商業用,鋼筋混凝土造,96年12月4日,十三層,
RPVOMLMJJIKFFBJ48CC,8,10.91,共用部分,鋼筋混凝土造,96年12月4日,十三層,
RPVOMLMJJIKFFBJ48CC,8,16.39,共用部分,鋼筋混凝土造,96年12月4日,十三層,
RPQPMLMJJIKFFBJ08CC,8,206.43,商業用,鋼筋混凝土造,96年12月4日,十三層,
RPQPMLMJJIKFFBJ08CC,8,34.26,共用部分,鋼筋混凝土造,96年12月4日,十三層,
RPQPMLMJJIKFFBJ08CC,8,51.44,共用部分,鋼筋混凝土造,96年12月4日,十三層,
RPSNMLNJJIKFFBJ18CC,7,130.67,住家用,鋼筋混凝土造,97年8月25日,十四層,
RPSNMLNJJIKFFBJ18CC,7,25.41,共用部分,鋼筋混凝土造,97年8月25日,十四層,
RPSNMLNJJIKFFBJ18CC,7,24.45,共用部分,鋼筋混凝土造,97年8月25日,十四層,
RPTNMLNJJIKFFBJ28CC,10,109.93,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPTNMLNJJIKFFBJ28CC,10,45.99,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPTNMLNJJIKFFBJ28CC,10,23.18,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPVNMLNJJIKFFBJ48CC,11,123.43,住家用,鋼筋混凝土造,94年1月31日,十四層,
RPVNMLNJJIKFFBJ48CC,11,16.85,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPVNMLNJJIKFFBJ48CC,11,20.15,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPOOMLNJJIKFFBJ87CC,3,61.58,住家用,鋼筋混凝土造,102年1月11日,九層,
RPOOMLNJJIKFFBJ87CC,3,41.67,見其他登記事項,鋼筋混凝土造,102年1月11日,九層,
RPROMLNJJIKFFBJ18CC,18,103.29,住家用,鋼筋混凝土造,87年3月27日,八層,
RPROMLNJJIKFFBJ18CC,18,17.37,共用部分,鋼筋混凝土造,87年3月27日,八層,
RPROMLNJJIKFFBJ18CC,18,7.91,共用部分,鋼筋混凝土造,87年3月27日,八層,
RPTPMLNJJIKFFBJ48CC,12,125.61,住家用,鋼筋混凝土造,92年7月11日,九層,
RPTPMLNJJIKFFBJ48CC,12,104.36,共用部分,鋼筋混凝土造,92年7月11日,九層,
RPUPMLNJJIKFFBJ58CC,8,46.70,商業用,鋼筋混凝土造,97年3月21日,十三層,
RPUPMLNJJIKFFBJ58CC,8,3.90,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPUPMLNJJIKFFBJ58CC,8,10.16,共用部分,鋼筋混凝土造,97年3月21日,十三層,
RPPTMLNJJIKFFBJ48CC,1,99.47,住家用,鋼筋混凝土造,103年11月21日,十層,
RPPTMLNJJIKFFBJ48CC,1,37.59,見其他登記事項,鋼筋混凝土造,103年11月21日,十層,
RPPTMLNJJIKFFBJ48CC,1,11.16,見其他登記事項,鋼筋混凝土造,103年11月21日,十層,
RPQTMLNJJIKFFBJ58CC,10,271.60,商業用,見其他登記事項,94年7月25日,一層,
RPVTMLNJJIKFFBJ09CC,20,79.51,住家用,鋼筋混凝土造,84年5月29日,七層,
RPVTMLNJJIKFFBJ09CC,20,11.77,共用部分,鋼筋混凝土造,84年5月29日,六層,
RPVTMLNJJIKFFBJ09CC,20,19.48,共用部分,鋼筋混凝土造,84年5月29日,七層,
RPWTMLNJJIKFFBJ56CC,10,92.18,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPWTMLNJJIKFFBJ56CC,10,43.92,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPWTMLNJJIKFFBJ56CC,10,19.40,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPSQMLOJJIKFFBJ58CC,10,208.16,住家用,鋼筋混凝土造,94年12月1日,十五層,
RPSQMLOJJIKFFBJ58CC,10,137.28,共用部分,鋼筋混凝土造,94年12月1日,十五層,
RPSQMLOJJIKFFBJ58CC,10,36.73,共用部分,鋼筋混凝土造,94年12月1日,十五層,
RPPNMLPJJIKFFBJ08CC,1,170.51,見其他登記事項,鋼筋混凝土造,103年10月15日,十一層,
