編號,車位類別,車位價格,車位面積平方公尺
RPVOMLMJJIKFFBJ48CC,坡道平面,0,
RPQPMLMJJIKFFBJ08CC,坡道平面,0,
RPSNMLNJJIKFFBJ18CC,坡道平面,0,
RPSNMLNJJIKFFBJ18CC,坡道平面,0,
RPTNMLNJJIKFFBJ28CC,坡道平面,0,
RPVNMLNJJIKFFBJ48CC,坡道平面,0,
RPVNMLNJJIKFFBJ48CC,坡道平面,0,
RPOOMLNJJIKFFBJ87CC,坡道機械,0,
RPROMLNJJIKFFBJ18CC,坡道機械,0,
RPTPMLNJJIKFFBJ48CC,坡道平面,0,
RPTPMLNJJIKFFBJ48CC,坡道平面,0,
RPUPMLNJJIKFFBJ58CC,坡道平面,0,
RPPTMLNJJIKFFBJ48CC,坡道平面,0,
RPVTMLNJJIKFFBJ09CC,坡道機械,0,
RPWTMLNJJIKFFBJ56CC,坡道平面,0,
RPSQMLOJJIKFFBJ58CC,坡道平面,0,
RPSQMLOJJIKFFBJ58CC,坡道平面,0,
RPPNMLPJJIKFFBJ08CC,坡道平面,0,
RPPNMLPJJIKFFBJ08CC,坡道平面,0,
RPPNMLPJJIKFFBJ08CC,坡道平面,0,
RPWNNLPJJIKFFCJ09DC,坡道平面,0,
RPRNMLTJJIKFFBJ68CC,坡道機械,0,
RPWNMLTJJIKFFCJ76DC,坡道平面,0,
RPOPMLLKJIKFFBJ87CC,坡道平面,0,
RPPPMLLKJIKFFBJ97CC,坡道平面,0,
RPUNMLNKJIKFFBJ48CC,坡道平面,0,18.88
