編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLPJJIKFFBK38CA,,88.36,住家用,加強磚造,,二層,一層 二層
RPOPMLNJJIKFFDK08CA,21,174.44,住家用,鋼筋混凝土造,83年9月14日,四層,一層 二層 三層 四層
RPRPMLNJJIKFFDK38CA,20,112.07,住家用,鋼筋混凝土造,84年11月25日,十六層,九層
RPRPMLNJJIKFFDK38CA,20,17.33,見其他登記事項,鋼筋混凝土造,84年11月25日,十六層,
RPRPMLNJJIKFFDK38CA,20,16.33,見其他登記事項,鋼筋混凝土造,84年11月25日,十六層,
RPOOMLQJJIKFFDK28CA,4,84.85,住家用,鋼筋混凝土造,100年10月14日,六層,五層
RPOOMLQJJIKFFDK28CA,4,33.21,見其他登記事項,鋼筋混凝土造,100年10月14日,六層,
RPPNMLMKJIKFFDK97CA,22,85.47,住家用,鋼筋混凝土造,82年6月18日,七層,三層
RPPNMLMKJIKFFDK97CA,22,35.20,見其他登記事項,鋼筋混凝土造,82年6月18日,,
RPXNMLPLJIKFFDK56CA,,229.97,住家用,鋼筋混凝土造,104年5月25日,三層,一層 二層 三層 見其他登記事項
RPPNMLRLJIKFFDK58CA,,229.97,住家用,鋼筋混凝土造,104年5月25日,三層,一層 二層 三層 見其他登記事項
RPVNMLMJJIKFFFK68CA,2,74.71,住家用,見其他登記事項,102年7月3日,五層,四層
RPVNMLMJJIKFFFK68CA,2,176.30,住家用,見其他登記事項,102年7月3日,五層,
RPVNMLOJJIKFFFK88CA,,101.67,見其他登記事項,鋼筋混凝土造,104年6月16日,十四層,三層
RPVNMLOJJIKFFFK88CA,,17.52,見其他登記事項,鋼筋混凝土造,104年6月16日,十四層,
RPVNMLOJJIKFFFK88CA,,31.54,見其他登記事項,鋼筋混凝土造,104年6月16日,十四層,
RPWNMLOJJIKFFFK98CA,,126.42,見其他登記事項,鋼筋混凝土造,104年6月16日,十四層,七層
RPWNMLOJJIKFFFK98CA,,22.10,見其他登記事項,鋼筋混凝土造,104年6月16日,十四層,
RPWNMLOJJIKFFFK98CA,,59.28,見其他登記事項,鋼筋混凝土造,104年6月16日,十四層,
RPUNMLMJKIKFFFK78DA,,349.15,農舍,鋼筋混凝土造,104年5月22日,四層,一層 二層 三層 四層 見其他登記事項
RPRNMLNJJIKFFCK18DA,19,102.99,見其他登記事項,鋼筋混凝土造,85年7月1日,十三層,八層
RPPOMLOJJIKFFFK38CA,34,270.91,住家用,加強磚造,70年5月26日,三層,一層 二層 三層
RPPNMLQJJIKFFFK48CA,36,79.64,住家用,鋼筋混凝土造,68年7月3日,二層,一層 二層
RPXOMLNJJIKFFDK88CA,21,237.90,農舍,加強磚造,83年12月1日,二層,一層 二層 電梯樓梯間
RPOOMLOJJIKFFDK08CA,9,162.31,見其他登記事項,鋼筋混凝土造,96年2月5日,三層,一層 二層 三層 見其他登記事項
RPXNMLKMJIKFFBK58CA,,91.41,住家用,鋼筋混凝土造,104年6月22日,五層,四層
RPXNMLKMJIKFFBK58CA,,36.88,見其他登記事項,鋼筋混凝土造,104年6月22日,五層,
RPTNMLPJJIKFFDK58CA,17,113.18,住家用,鋼筋混凝土造,87年8月20日,三層,一層 二層 三層
RPPOMLLKJIKFFDK97CA,,88.52,見其他登記事項,鋼筋混凝土造,104年8月14日,五層,三層
RPPOMLLKJIKFFDK97CA,,39.42,共有部分,鋼筋混凝土造,104年8月14日,五層,
RPQOMLLKJIKFFDK08CA,,88.52,見其他登記事項,鋼筋混凝土造,104年8月14日,五層,二層
RPQOMLLKJIKFFDK08CA,,39.42,共有部分,鋼筋混凝土造,104年8月14日,五層,
RPROMLLKJIKFFDK18CA,,88.52,見其他登記事項,鋼筋混凝土造,104年8月14日,五層,五層
RPROMLLKJIKFFDK18CA,,39.42,共有部分,鋼筋混凝土造,104年8月14日,五層,
RPVNMLPJJIKFFFK98CA,,330.76,住商用,鋼筋混凝土造,104年6月11日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPPNMLPJJIKFFFK38CA,2,174.24,住家用,鋼筋混凝土造,102年11月8日,三層,一層 二層 三層
RPPNMLPJJIKFFFK38CA,2,.13,見其他登記事項,鋼筋混凝土造,102年11月8日,一層,
RPOOMLOJJIKFFFK28CA,28,122.22,住家用,鋼筋混凝土造,77年2月20日,二層,一層 二層
RPRNMLTJJIKFFFK98CA,4,100.25,住家用,見其他登記事項,100年4月22日,七層,二層
RPRNMLTJJIKFFFK98CA,4,57.85,見其他登記事項,見其他登記事項,100年4月22日,七層,
RPXNMLTJJIKFFDK86DA,33,120.16,住家用,加強磚造,72年3月1日,二層,一層 二層 騎樓
RPOOMLKKJIKFFBK67DA,,86.92,住家用,加強磚造,,二層,一層 二層
RPUNMLTJJIKFFFK66CA,21,65.00,住家用,鋼筋混凝土造,84年3月31日,十三層,十三層
RPUNMLTJJIKFFFK66CA,21,.12,商業用,鋼筋混凝土造,84年3月31日,十三層,地下層
RPUNMLTJJIKFFFK66CA,21,18.12,見其他登記事項,鋼筋混凝土造,84年3月31日,十三層,
RPUNMLTJJIKFFFK66CA,21,10.55,見其他登記事項,鋼筋混凝土造,84年3月31日,十三層,
RPUNMLTJJIKFFFK66CA,21,11.14,見其他登記事項,鋼筋混凝土造,84年3月31日,十三層,
RPRNMLPJJIKFFFK58CA,35,65.37,住家用,鋼筋混凝土造,70年1月6日,五層,四層
RPPOMLPJJIKFFFK48CA,18,354.68,住家用,鋼筋混凝土造,86年11月21日,五層,一層 二層 三層 四層 五層 騎樓
RPQNMLMKJIKFFDK08CA,35,120.58,住家用,加強磚造,70年1月14日,二層,一層 二層 騎樓
RPRNMLMKJIKFFDK18CA,35,85.32,住家用,鋼筋混凝土造,70年2月25日,二層,一層 二層
RPWNMLKKJIKFFDK48CA,30,95.64,住家用,加強磚造,75年3月15日,二層,一層 二層
RPUOMLSKJIKFFDK56CA,,90.43,住家用,鋼筋混凝土造,104年7月22日,五層,二層
RPUOMLSKJIKFFDK56CA,,32.49,共有部分,鋼筋混凝土造,104年7月22日,五層,
RPVOMLSKJIKFFDK66CA,,82.46,住家用,鋼筋混凝土造,104年7月22日,五層,二層
RPVOMLSKJIKFFDK66CA,,32.49,共有部分,鋼筋混凝土造,104年7月22日,五層,
RPOOMLPLJIKFFDK38CA,,233.98,住家用,鋼筋混凝土造,104年5月25日,三層,一層 二層 三層 見其他登記事項
RPSNMLKLJIKFFDK18CA,,289.51,見其他登記事項,鋼筋混凝土造,104年8月21日,五層,一層 二層 三層 四層 五層
RPTNMLKLJIKFFDK28CA,,295.28,見其他登記事項,鋼筋混凝土造,104年8月21日,五層,一層 二層 三層 四層 五層
RPQNMLTJJIKFFCK58CA,,211.53,見其他登記事項,鋼筋混凝土造,104年7月15日,三層,一層 二層 三層 見其他登記事項
RPWNMLRLJIKFFBK09CA,18,198.41,見其他登記事項,鋼筋混凝土造,86年8月6日,,一層 二層 三層 四層
RPRNMLOJKIKFFBK18CA,,147.22,住家用,加強磚造,,二層,一層 二層
RPRNMLQJJIKFFBK28CA,27,163.68,住家用,加強磚造,77年5月18日,,一層 二層 屋頂突出物
RPWNMLQJJIKFFBK78CA,45,80.54,住家用,磚造,59年7月1日,一層,一層
RPPOMLQJJIKFFBK18CA,37,166.74,住商用,鋼筋混凝土造,67年8月17日,,一層 二層 騎樓
RPQNMLTJJIKFFBK48CA,,118.08,住家用,加強磚造,,二層,一層 二層 見其他登記事項
