鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南投市,土地,內興段1111~1140地號,762.78,,一般農業區,農牧用地,10409,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5250000,6883,,0.0,0,,RPROMLOJJIKFFAM28CA
南投市,房地(土地+建物),南投縣南投巿華陽路391巷31~60號,88.0,住,,,10302,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040427,181.07,4,3,3,有,無,7800000,43077,,0.0,0,,RPQPMLOJJIKFFAM28CA
中寮鄉,土地,後寮段901~930地號,4402.0,,山坡地保育區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,682,,0.0,0,權利人共有三人,RPTNMLLKJIKFFAM18CA
南投市,土地,新豐段1051~1080地號,222.78,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6200000,27830,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLSKJIKFFAM88CA
草屯鎮,土地,北投埔段661~690地號,31.0,,特定農業區,甲種建築用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,468500,15113,,0.0,0,,RPPNMLNJJIKFFBM97CA
草屯鎮,房地(土地+建物),南投縣草屯鎮北投路391~420號,131.84,,鄉村區,乙種建築用地,10410,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040420,193.64,4,3,3,有,無,10800000,55774,,0.0,0,,RPQNMLNJJIKFFBM08CA
草屯鎮,房地(土地+建物),南投縣草屯鎮民生三街1~30號,14.13,住,,,10410,土地1建物1車位0,二層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0791215,48.84,1,0,1,有,有,1300000,26618,,0.0,0,,RPSNMLNJJIKFFBM28CA
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路1171~1200號,11.53,住,,,10410,土地3建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821221,93.80000000000001,3,2,2,有,有,2600000,27719,,0.0,0,,RPTNMLNJJIKFFBM38CA
草屯鎮,土地,龍德段1141~1170地號,39.63,,一般農業區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,5047,,0.0,0,共有人間親友特殊關係間之交易。,RPUNMLNJJIKFFBM48CA
草屯鎮,房地(土地+建物),南投縣草屯鎮碧興路一段31~60號,107.8,,鄉村區,乙種建築用地,10409,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0820503,206.35,6,3,3,有,無,5000000,24231,,0.0,0,,RPVNMLNJJIKFFBM58CA
草屯鎮,土地,土城段451~480地號,96.49,,鄉村區,乙種建築用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1075000,11141,,0.0,0,,RPRNMLQKJIKFFBM58CA
國姓鄉,土地,水長流段2851~2880地號,9190.0,,山坡地保育區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,218,,0.0,0,親友、員工或其他特殊關係間之交易。持分買賣,RPPNMLPJJIKFFCM28CA
國姓鄉,土地,國姓段601~630地號,3500.0,,山坡地保育區,農牧用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6300000,1800,,0.0,0,,RPQNMLKKJIKFFCM97CA
國姓鄉,土地,水長流段61~90地號,740.0,,山坡地保育區,丙種建築用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4980000,6730,,0.0,0,含未登記建物。,RPQNMLKLJIKFFCM08CA
埔里鎮,土地,大坪頂段721~750地號,302.11,,鄉村區,乙種建築用地,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,9930,,0.0,0,1.未辦保存房屋兩棟一併移轉,一棟為一層加強磚造二層鋼鐵造之透天厝另一棟為磚造平房2.買方共二人,RPROMLNLJIKFFCM58CA
竹山鎮,土地,瑞山段391~420地號,1479.0,,山坡地保育區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,401000,271,,0.0,0,,RPPNMLQJJIKFFDM48CA
鹿谷鄉,土地,內樹皮段1~30地號,5545.0,,山坡地保育區,農牧用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15200000,2741,,0.0,0,含未辦保存登記農舍一棟。,RPRNMLQJJIKFFDM68CA
竹山鎮,土地,雲林段1471~1500地號,258.0,住,,,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7800000,30233,,0.0,0,,RPSNMLQLJIKFFDM98CA
竹山鎮,土地,大坑段大坑小段1~30地號,8222.0,,山坡地保育區,林業用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,219,,0.0,0,,RPPNMLQLJIKFFDM68CA
信義鄉,土地,人和段1381~1410地號,3940.0,,森林區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,63,,0.0,0,,RPPNMLOJJIKFFEM38CA
集集鎮,土地,山腳段511~540地號,2138.56,農,,,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6657440,3113,,0.0,0,買賣價款含土地增值稅,土地增值稅由買方負擔,RPPNMLPJJIKFFEM48CA
水里鄉,房地(土地+建物),南投縣水里鄉民權路271~300號,119.0,商,,,10409,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0580214,324.14,6,2,3,有,無,4580000,14130,,0.0,0,,RPQNMLTKJIKFFEM09CA
水里鄉,房地(土地+建物),南投縣水里鄉水信路一段451巷1~30號,91.95,,山坡地保育區,丙種建築用地,10409,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840929,172.06,5,4,4,有,無,3200000,18598,,0.0,0,,RPQNMLKLJIKFFEM28CA
名間鄉,土地,虎子坑段91~120地號,217.69,,鄉村區,乙種建築用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15238,70,,0.0,0,向政府機關承購之案件。,RPRNMLOJJIKFFAM28DA
集集鎮,土地,廣明段781~810地號,421.96,,一般農業區,甲種建築用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,18959,,0.0,0,含增建或未登記建物。土地總價365萬建物總價435萬,RPPNMLKLJIKFFEM18CA
集集鎮,土地,八張段1~30地號,28705.92,,山坡地保育區,農牧用地,10410,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,453,,0.0,0,,RPRNMLQJJIKFFEM78CA
鹿谷鄉,土地,廣興段61~90地號,94.75,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2006200,21174,,0.0,0,,RPPNMLTLJIKFFDM98CA
竹山鎮,房地(土地+建物),南投縣竹山鎮大仁路91~120號,112.0,住,,,10410,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0700624,155.01,4,2,3,有,無,3000000,19354,,0.0,0,,RPRNMLOJJIKFFDM48CA
埔里鎮,房地(土地+建物),南投縣埔里鎮鯉魚路1~30號,1691.72,,山坡地保育區,農牧用地,10410,土地1建物1車位0,一層,一層,農舍,農舍,加強磚造,0760424,54.69,4,1,1,有,無,2150000,,,0.0,0,,RPPNMLNLJIKFFCM28CA
國姓鄉,土地,埔源段541~570地號,3380.0,,山坡地保育區,農牧用地,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,207,,0.0,0,,RPTNMLTJJIKFFCM09CA
埔里鎮,土地,內埔段451~480地號,3635.4,,特定農業區,農牧用地,10408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11500000,3163,,0.0,0,,RPUNMLQJJIKFFCM88CA
埔里鎮,土地,梅林段691~720地號,17.7,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,16949,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLMKJIKFFCM68CA
國姓鄉,土地,北山坑段391~420地號,6515.0,,山坡地保育區,農牧用地,10409,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,1228,,0.0,0,,RPQNMLOJJIKFFCM28CA
埔里鎮,土地,忠信段601~630地號,139.87,,鄉村區,乙種建築用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,33603,,0.0,0,,RPRNMLOJJIKFFCM38CA
埔里鎮,土地,文頭股段481~510地號,17.27,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,811863,47010,,0.0,0,,RPTNMLOJJIKFFCM58CA
草屯鎮,房地(土地+建物),南投縣草屯鎮富中路91~120號,142.11,住,,,10410,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040714,303.04,5,3,4,有,無,12500000,41249,,0.0,0,,RPTNMLKMJIKFFBM38CA
草屯鎮,土地,新光段241~270地號,977.0,,特定農業區,農牧用地,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9400000,9621,,0.0,0,不含未登記建物,建物成交金額新台幣陸拾萬元整。,RPSNMLRKJIKFFBM78CA
草屯鎮,土地,新光段1771~1800地號,1518.0,,特定農業區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,3426,,0.0,0,受債權債務影響或債務抵償之交易。,RPPNMLOJJIKFFBM08CA
草屯鎮,房地(土地+建物),南投縣草屯鎮青宅巷61~90號,91.98,,鄉村區,乙種建築用地,10410,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0960416,191.59,4,2,3,有,有,6000000,31317,,0.0,0,,RPPNMLPJJIKFFBM18CA
名間鄉,土地,南田子段421~450地號,3175.06,,一般農業區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9156000,2884,,0.0,0,,RPQNMLLKJIKFFAM87CA
南投市,房地(土地+建物),南投縣南投巿華陽路391巷41弄1~30號,86.0,住,,,10301,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040427,179.56,4,3,4,有,無,7800000,43440,,0.0,0,,RPRPMLOJJIKFFAM38CA
名間鄉,土地,南雅段421~450地號,51.83,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,647875,12500,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLKKJIKFFAM67CA
南投市,房地(土地+建物),南投縣南投巿華陽路391巷31~60號,93.0,住,,,10210,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040427,181.07,4,3,4,有,無,7800000,43077,,0.0,0,,RPTOMLOJJIKFFAM48CA
南投市,房地(土地+建物),南投縣南投巿華陽路391巷31~60號,82.0,住,,,10302,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040427,173.89,4,3,4,有,無,7400000,42556,,0.0,0,,RPUOMLOJJIKFFAM58CA
南投市,房地(土地+建物),南投縣南投巿華陽路391巷31~60號,86.0,住,,,10301,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040427,178.97,4,3,3,有,無,7800000,43583,,0.0,0,,RPVOMLOJJIKFFAM68CA
南投市,房地(土地+建物),南投縣南投巿華陽路391巷31~60號,83.0,住,,,10211,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040427,178.07,4,3,4,有,無,7800000,43803,,0.0,0,,RPWOMLOJJIKFFAM78CA
南投市,房地(土地+建物),南投縣南投巿華陽路391巷31~60號,106.0,住,,,10301,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040427,198.66,4,3,3,有,無,8150000,41025,,0.0,0,,RPXOMLOJJIKFFAM88CA
南投市,房地(土地+建物),南投縣南投巿華陽路391巷31~60號,88.0,住,,,10302,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040427,181.07,4,3,3,有,無,7750000,42801,,0.0,0,,RPOPMLOJJIKFFAM08CA
南投市,房地(土地+建物),南投縣南投巿華陽路391巷31~60號,88.0,住,,,10302,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040427,182.85,4,3,4,有,無,7780000,42549,,0.0,0,,RPPPMLOJJIKFFAM18CA
中寮鄉,土地,分水寮段481~510地號,476.0,,山坡地保育區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000,126,,0.0,0,本筆土地未臨路，被買方土地包圍住。,RPXNMLOJJIKFFAM78CA
南投市,房地(土地+建物),南投縣南投巿軍功里東山路361~390號,70.43,,鄉村區,乙種建築用地,10410,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0670517,103.62,3,2,2,有,無,4900000,47288,,0.0,0,有整修內部,RPRNMLMKJIKFFAM08CA
