編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLNJJIKFFAO78CA,13,561.81,見其他登記事項,鋼筋混凝土造,92年1月13日,五層,一層 二層 三層 四層 五層 騎樓
RPVOMLNJJIKFFAO78CA,5,63.42,見其他登記事項,鋼筋混凝土造,100年3月24日,十二層,六層
RPVOMLNJJIKFFAO78CA,5,22.51,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPVOMLNJJIKFFAO78CA,5,.02,見其他登記事項,鋼筋混凝土造,100年3月24日,十二層,一層
RPVOMLNJJIKFFAO78CA,5,9.09,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPVOMLNJJIKFFAO78CA,5,19.53,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPOPMLNJJIKFFAO18CA,,99.54,住家用,加強磚造,,三層,三層
RPPPMLOJJIKFFAO38CA,37,143.81,住家用,加強磚造,68年3月14日,二層,一層 二層 騎樓
RPRRMLOJJIKFFAO78CA,22,83.09,住家用,鋼筋混凝土造,83年1月12日,七層,一層
RPRRMLOJJIKFFAO78CA,22,10.75,共有部分,鋼筋混凝土造,83年1月12日,七層,
RPRRMLOJJIKFFAO78CA,22,17.69,共有部分,鋼筋混凝土造,83年1月12日,七層,
RPXRMLOJJIKFFAO76CA,15,115.18,見其他登記事項,鋼筋混凝土造,89年5月1日,二十層,十一層
RPXRMLOJJIKFFAO76CA,15,34.68,見其他登記事項,鋼筋混凝土造,89年5月1日,二十二層,
RPXRMLOJJIKFFAO76CA,15,37.49,見其他登記事項,鋼筋混凝土造,89年5月1日,二十二層,
RPXRMLOJJIKFFAO76CA,17,1.93,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層 地下一層 地下二層 地下三層
RPXRMLOJJIKFFAO76CA,17,.39,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層
RPSRMLPJJIKFFAO98CA,34,93.40,住家用,加強磚造,70年10月7日,二層,一層 二層
RPWNMLQJJIKFFAO09CA,14,263.09,見其他登記事項,鋼筋混凝土造,90年4月30日,四層,一層 二層 三層 四層
RPPNMLKKJIKFFAO87CA,20,95.76,住家用,鋼筋混凝土造,84年10月2日,八層,六層
RPPNMLKKJIKFFAO87CA,20,11.31,共有部分,鋼筋混凝土造,84年10月2日,八層,
RPPNMLKKJIKFFAO87CA,20,23.32,共有部分,鋼筋混凝土造,84年10月2日,八層,
RPVSMLKKJIKFFAO98CA,10,105.02,住家用,鋼筋混凝土造,94年10月25日,五層,五層
RPVSMLKKJIKFFAO98CA,10,9.86,見其他登記事項,鋼筋混凝土造,94年10月25日,五層,
RPVSMLKKJIKFFAO98CA,10,25.80,見其他登記事項,鋼筋混凝土造,94年10月25日,五層,
RPWSMLKKJIKFFAO09CA,18,75.57,住家用,鋼筋混凝土造,86年5月31日,八層,七層
RPWSMLKKJIKFFAO09CA,18,5.70,共有部分,鋼筋混凝土造,86年5月31日,八層,
RPWSMLKKJIKFFAO09CA,18,37.06,共有部分,鋼筋混凝土造,86年5月31日,八層,
RPVNMLLKJIKFFAO58CA,10,82.65,見其他登記事項,鋼筋混凝土造,94年11月9日,七層,五層
RPVNMLLKJIKFFAO58CA,10,15.55,見其他登記事項,鋼筋混凝土造,94年11月9日,七層,
RPVNMLLKJIKFFAO58CA,10,5.81,見其他登記事項,鋼筋混凝土造,94年11月9日,七層,
RPVNMLLKJIKFFAO58CA,10,35.02,見其他登記事項,鋼筋混凝土造,94年11月9日,七層,
RPWNMLLKJIKFFAO68CA,,92.30,住家用,鋼筋混凝土造,,八層,三層
RPWNMLLKJIKFFAO68CA,,17.57,共有部分,鋼筋混凝土造,,八層,
RPUOMLMKJIKFFAO68CA,17,95.06,住家用,鋼筋混凝土造,87年8月26日,十層,十層
RPUOMLMKJIKFFAO68CA,17,10.10,共有部分,鋼筋混凝土造,87年8月26日,十層,
RPUOMLMKJIKFFAO68CA,17,42.36,共有部分,鋼筋混凝土造,87年8月26日,十層,
RPSQMLKLJIKFFAO58CA,31,334.30,住家用,加強磚造,73年4月9日,三層,一層 二層 三層
RPVNMLPLJIKFFAO09CA,32,88.20,國民住宅,鋼筋混凝土造,72年4月13日,五層,二層
RPQOMLQLJIKFFAO78CA,4,152.03,見其他登記事項,鋼筋混凝土造,100年11月30日,十五層,二層
RPQOMLQLJIKFFAO78CA,4,42.02,共有部分,鋼筋混凝土造,100年11月30日,十五層,
RPQOMLQLJIKFFAO78CA,4,86.53,共有部分,鋼筋混凝土造,100年11月30日,十五層,
RPUPMLNJJIKFFAO88DA,17,1.93,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層 地下一層 地下二層 地下三層
RPUPMLNJJIKFFAO88DA,17,.39,見其他登記事項,鋼筋混凝土造,87年6月23日,二十一層,一層
RPUPMLNJJIKFFAO88DA,15,115.18,見其他登記事項,鋼筋混凝土造,89年5月1日,二十層,十三層
RPUPMLNJJIKFFAO88DA,15,34.68,見其他登記事項,鋼筋混凝土造,89年5月1日,二十二層,
RPUPMLNJJIKFFAO88DA,15,37.49,見其他登記事項,鋼筋混凝土造,89年5月1日,二十二層,
RPVPMLPJJIKFFAO56DA,8,218.54,見其他登記事項,鋼筋混凝土造,96年7月16日,四層,一層 二層 三層 四層
RPSRMLKKJIKFFAO78EA,14,8.14,見其他登記事項,鋼筋混凝土造,90年5月10日,五層,
RPSRMLKKJIKFFAO78EA,14,73.97,住家用,鋼筋混凝土造,90年5月10日,五層,三層
RPSRMLKKJIKFFAO78EA,14,.08,見其他登記事項,鋼筋混凝土造,90年5月15日,五層,一層
RPTRMLKKJIKFFAO88EA,14,8.14,見其他登記事項,鋼筋混凝土造,90年5月10日,五層,
RPTRMLKKJIKFFAO88EA,14,72.32,住家用,鋼筋混凝土造,90年5月10日,五層,三層
RPTRMLKKJIKFFAO88EA,14,.08,見其他登記事項,鋼筋混凝土造,90年5月15日,五層,一層
RPSOMLMKJIKFFAO48CA,19,49.73,住家用,鋼筋混凝土造,85年3月26日,九層,九層
RPSOMLMKJIKFFAO48CA,19,39.75,見其他登記事項,鋼筋混凝土造,85年3月26日,九層,
RPQOMLLKJIKFFAO18CA,8,98.90,住家用,見其他登記事項,96年7月16日,十四層,十三層
RPQOMLLKJIKFFAO18CA,8,15.80,見其他登記事項,見其他登記事項,96年7月16日,十四層,
RPQOMLLKJIKFFAO18CA,8,35.90,見其他登記事項,見其他登記事項,96年7月16日,十四層,
RPPQMLKKJIKFFAO18CA,2,107.95,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,十三層
RPPQMLKKJIKFFAO18CA,2,24.40,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPPQMLKKJIKFFAO18CA,2,27.45,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPPQMLKKJIKFFAO18CA,2,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPPQMLKKJIKFFAO18CA,2,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPPQMLKKJIKFFAO18CA,2,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPPQMLKKJIKFFAO18CA,2,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPQQMLKKJIKFFAO28CA,2,105.13,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,十九層
RPQQMLKKJIKFFAO28CA,2,26.57,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQQMLKKJIKFFAO28CA,2,23.58,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQQMLKKJIKFFAO28CA,2,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQQMLKKJIKFFAO28CA,2,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPQQMLKKJIKFFAO28CA,2,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQQMLKKJIKFFAO28CA,2,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPRQMLKKJIKFFAO38CA,2,107.95,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,五層
RPRQMLKKJIKFFAO38CA,2,27.45,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPRQMLKKJIKFFAO38CA,2,24.40,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPRQMLKKJIKFFAO38CA,2,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPRQMLKKJIKFFAO38CA,2,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPRQMLKKJIKFFAO38CA,2,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPRQMLKKJIKFFAO38CA,2,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPSQMLKKJIKFFAO48CA,1,105.85,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,五層
RPSQMLKKJIKFFAO48CA,1,27.01,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPSQMLKKJIKFFAO48CA,1,23.58,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPSQMLKKJIKFFAO48CA,1,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPSQMLKKJIKFFAO48CA,1,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPSQMLKKJIKFFAO48CA,1,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPSQMLKKJIKFFAO48CA,1,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPTQMLKKJIKFFAO58CA,2,105.85,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,十層
RPTQMLKKJIKFFAO58CA,2,27.01,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
