編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLNJJIKFFAO78CA,民主段一小段,127.00,都市：商
RPVOMLNJJIKFFAO78CA,國道段,12.69,都市：住
RPOPMLNJJIKFFAO18CA,東山段一小段,77.67,都市：住
RPSPMLNJJIKFFAO58CA,五福段,133.54,都市：農
RPPPMLOJJIKFFAO38CA,新港段,80.24,都市：住
RPRRMLOJJIKFFAO78CA,忠孝段,20.32,都市：住
RPXRMLOJJIKFFAO76CA,武陵段,.46,都市：其他
RPXRMLOJJIKFFAO76CA,武陵段,20.74,都市：其他
RPSRMLPJJIKFFAO98CA,華江段,71.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLQJJIKFFAO09CA,茄苳段,26.46,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWNMLQJJIKFFAO09CA,茄苳段,88.13,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLKKJIKFFAO87CA,南寮段,20.00,都市：住
RPVSMLKKJIKFFAO98CA,南華段,49.69,都市：住
RPWSMLKKJIKFFAO09CA,東山段二小段,17.22,都市：住
RPVNMLLKJIKFFAO58CA,成德段,34.65,都市：住
RPWNMLLKJIKFFAO68CA,武陵段,17.44,都市：住
RPUOMLMKJIKFFAO68CA,南湖段,54.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSQMLKLJIKFFAO58CA,雅溪段,344.44,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLPLJIKFFAO09CA,武陵段,40.87,都市：住
RPVNMLPLJIKFFAO09CA,武陵段,.22,都市：住
RPQOMLQLJIKFFAO78CA,國道段,30.67,都市：住
RPUPMLNJJIKFFAO88DA,武陵段,.46,都市：其他
RPUPMLNJJIKFFAO88DA,武陵段,20.74,都市：其他
RPVPMLPJJIKFFAO56DA,西濱段,22.25,都市：住
RPVPMLPJJIKFFAO56DA,西濱段,76.36,都市：住
RPOOMLNJJIKFFAO28EA,東橋段,9.58,都市：住
RPOOMLNJJIKFFAO28EA,東橋段,9.58,都市：住
