鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物),民富段901~930地號,7.4,商,,,10207,土地1建物1車位0,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.61,2,0,2,有,無,5170000,74271,,0.0,0,,RPPOMLPJJIKFFAO68EB
新竹市,房地(土地+建物),民富段901~930地號,7.4,商,,,10208,土地1建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.61,2,0,2,有,無,5030000,72260,,0.0,0,,RPQOMLPJJIKFFAO78EB
新竹市,房地(土地+建物)+車位,民富段901~930地號,8.46,商,,,10304,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,0,2,有,無,6850000,79528,坡道機械,1.62,650000,,RPROMLPJJIKFFAO88EB
新竹市,房地(土地+建物)+車位,民富段901~930地號,7.4,商,,,10207,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.61,2,0,2,有,無,5480000,73246,坡道機械,1.62,500000,,RPSOMLPJJIKFFAO98EB
新竹市,房地(土地+建物),民富段901~930地號,7.4,商,,,10207,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.61,2,0,2,有,無,4790000,68812,,0.0,0,,RPTOMLPJJIKFFAO09EB
新竹市,房地(土地+建物),民富段901~930地號,8.46,商,,,10207,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,0,2,有,無,6030000,75773,,0.0,0,,RPUOMLPJJIKFFAO56EB
新竹市,房地(土地+建物),民富段901~930地號,7.4,商,,,10207,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.61,2,0,2,有,無,4980000,71541,,0.0,0,,RPVOMLPJJIKFFAO66EB
新竹市,房地(土地+建物),民富段901~930地號,8.46,商,,,10207,土地1建物1車位0,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,0,2,有,無,5870000,73762,,0.0,0,,RPWOMLPJJIKFFAO76EB
新竹市,房地(土地+建物),民富段901~930地號,8.3,商,,,10208,土地1建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.87,2,0,2,有,無,5900000,75767,,0.0,0,,RPXOMLPJJIKFFAO86EB
新竹市,房地(土地+建物),民富段901~930地號,8.46,商,,,10208,土地1建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,0,2,有,無,5820000,73134,,0.0,0,,RPOPMLPJJIKFFAO68EB
新竹市,房地(土地+建物),民富段901~930地號,8.3,商,,,10707,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.87,2,0,2,有,無,5880000,75510,,0.0,0,,RPPPMLPJJIKFFAO78EB
新竹市,房地(土地+建物),民富段901~930地號,8.46,商,,,10207,土地1建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,0,2,有,無,6010000,75521,,0.0,0,,RPQPMLPJJIKFFAO88EB
新竹市,房地(土地+建物),民富段901~930地號,8.3,商,,,10207,土地1建物1車位0,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.87,2,0,2,有,無,5720000,73456,,0.0,0,,RPRPMLPJJIKFFAO98EB
新竹市,房地(土地+建物),民富段901~930地號,8.46,商,,,10208,土地1建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,0,2,有,無,5910000,74265,,0.0,0,,RPSPMLPJJIKFFAO09EB
新竹市,房地(土地+建物),民富段901~930地號,8.3,商,,,10207,土地1建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.87,2,0,2,有,無,5790000,74355,,0.0,0,,RPTPMLPJJIKFFAO56EB
新竹市,房地(土地+建物),民富段901~930地號,8.46,商,,,10207,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,0,2,有,無,5770000,72506,,0.0,0,,RPUPMLPJJIKFFAO66EB
新竹市,房地(土地+建物),民富段901~930地號,8.46,商,,,10208,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,0,2,有,無,5770000,72506,,0.0,0,,RPVPMLPJJIKFFAO76EB
新竹市,房地(土地+建物),民富段901~930地號,8.3,商,,,10207,土地1建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.87,2,0,2,有,無,5620000,72172,,0.0,0,,RPWPMLPJJIKFFAO86EB
新竹市,房地(土地+建物),民富段901~930地號,8.3,商,,,10207,土地1建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.87,2,0,2,有,無,5550000,71273,,0.0,0,,RPXPMLPJJIKFFAO96EB
新竹市,房地(土地+建物)+車位,民富段901~930地號,29.52,商,,,10207,土地1建物1車位1,見其他登記事項,11,店面(店鋪),商業用,鋼筋混凝土造,,150.03,0,0,0,無,無,26280000,169563,坡道平面,2.71,1300000,,RPOQMLPJJIKFFAO78EB
新竹市,房地(土地+建物)+車位,民富段901~930地號,8.3,商,,,10207,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.87,2,0,2,有,無,6300000,74098,坡道機械,1.62,650000,,RPPQMLPJJIKFFAO88EB
新竹市,房地(土地+建物),民富段901~930地號,11.87,商,,,10207,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.61,3,0,3,有,無,8230000,73739,,0.0,0,,RPQQMLPJJIKFFAO98EB
新竹市,房地(土地+建物),民富段901~930地號,8.3,商,,,10207,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.87,2,0,2,有,無,5660000,72685,,0.0,0,,RPRQMLPJJIKFFAO09EB
新竹市,房地(土地+建物)+車位,民富段901~930地號,11.87,商,,,10210,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.61,3,0,3,有,無,8450000,72370,坡道機械,1.62,490000,,RPSQMLPJJIKFFAO56EB
新竹市,房地(土地+建物)+車位,民富段901~930地號,8.46,商,,,10306,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.58,2,0,2,有,無,6800000,78887,坡道機械,1.62,650000,,RPTQMLPJJIKFFAO66EB
新竹市,房地(土地+建物)+車位,民富段901~930地號,11.87,商,,,10301,土地1建物1車位3,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.61,3,0,3,有,無,8790000,68852,坡道機械,4.86,1440000,,RPUQMLPJJIKFFAO76EB
新竹市,房地(土地+建物)+車位,民富段901~930地號,7.4,商,,,10403,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.61,2,0,2,有,無,6400000,84571,坡道機械,1.62,650000,,RPVQMLPJJIKFFAO86EB
新竹市,房地(土地+建物)+車位,民富段901~930地號,7.4,商,,,10210,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.61,2,0,2,有,無,6400000,76981,坡道平面,2.71,1250000,,RPWQMLPJJIKFFAO96EB
新竹市,房地(土地+建物),民富段901~930地號,7.4,商,,,10207,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.61,2,0,2,有,無,5220000,74989,,0.0,0,,RPXQMLPJJIKFFAO07EB
新竹市,房地(土地+建物),民富段901~930地號,7.4,商,,,10207,土地1建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.61,2,0,2,有,無,4920000,70680,,0.0,0,,RPORMLPJJIKFFAO88EB
