鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
斗六市,房地(土地+建物),雲林縣斗六市西平路333巷1~30號,69.17,,特定農業區,甲種建築用地,10409,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0620401,82.11,5,2,1,有,無,2880000,35075,,0.0,0,,RPWNMLNJJIKFFAP88CA
斗六市,房地(土地+建物),雲林縣斗六市鎮東里文化路295巷61~90號,79.0,住,,,10410,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0700415,108.91,2,2,2,有,無,4100000,37646,,0.0,0,,RPOOMLNJJIKFFAP18CA
斗六市,房地(土地+建物),雲林縣斗六市八德里文化路661~690號,92.93,,鄉村區,乙種建築用地,10409,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0681231,124.53,3,2,2,有,無,1750000,14053,,0.0,0,,RPUNMLPJJIKFFAP88CA
斗六市,房地(土地+建物),雲林縣斗六市萬年路535巷1~30號,128.91,,鄉村區,乙種建築用地,10409,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1021004,157.25,3,2,2,有,無,5500000,34976,,0.0,0,,RPUNMLTJJIKFFAP66CA
斗六市,房地(土地+建物)+車位,雲林縣斗六市公正街31~60號,5.26,商,,,10410,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871030,31.42,1,0,1,有,有,1050000,33418,坡道平面,0.0,0,,RPRNMLPLJIKFFAP78CA
斗六市,房地(土地+建物),雲林縣斗六市永安路121~150號,73.0,住,,,10410,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0860715,244.26,7,2,8,有,無,10000000,40940,,0.0,0,,RPPNMLTLJIKFFAP98CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮光榮路56巷31~60號,135.45,住,,,10410,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040510,227.07,5,4,2,有,無,7500000,33029,,0.0,0,,RPPNMLQJJIKFFBP58CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段52巷31~60號,95.0,住,,,10409,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0750425,186.08,4,2,3,有,無,4550000,24452,,0.0,0,,RPPNMLTJJIKFFBP88CA
大埤鄉,土地,豐田段1171~1200地號,3300.0,,特定農業區,農牧用地,10408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6800000,2061,,0.0,0,,RPRNMLTJJIKFFBP09CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮新生一路1~30號,106.0,住,,,10410,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040420,210.74,4,2,4,有,無,7500000,35589,,0.0,0,,RPSOMLMLJIKFFBP78CA
