編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLNJJIKFFAP88CA,42,82.11,住家用,鋼筋混凝土造,62年4月1日,三層,一層 二層 三層
RPOOMLNJJIKFFAP18CA,35,108.91,住商用,加強磚造,70年4月15日,二層,一層 二層 騎樓 電梯樓梯間
RPUNMLPJJIKFFAP88CA,36,124.53,住商用,加強磚造,68年12月31日,二層,一層 二層 騎樓 電梯樓梯間
RPUNMLTJJIKFFAP66CA,2,157.25,住家用,鋼筋混凝土造,102年10月4日,三層,一層 二層 三層
RPRNMLPLJIKFFAP78CA,17,31.42,住家用,鋼筋混凝土造,87年10月30日,十層,八層
RPPNMLTLJIKFFAP98CA,18,244.26,住商用,鋼筋混凝土造,86年7月15日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPPNMLQJJIKFFBP58CA,,227.07,見其他登記事項,鋼筋混凝土造,104年5月10日,三層,一層 二層 三層
RPPNMLTJJIKFFBP88CA,29,186.08,住家用,鋼筋混凝土造,75年4月25日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSOMLMLJIKFFBP78CA,,105.37,見其他登記事項,鋼筋混凝土造,104年4月20日,三層,一層 二層 三層 見其他登記事項
RPSOMLMLJIKFFBP78CA,,105.37,見其他登記事項,鋼筋混凝土造,104年4月20日,三層,一層 二層 三層 見其他登記事項
RPTOMLMLJIKFFBP88CA,,213.02,見其他登記事項,鋼筋混凝土造,104年4月20日,三層,一層 二層 三層 見其他登記事項
RPTNMLQKKIKFFBP56CA,,214.16,見其他登記事項,鋼筋混凝土造,104年4月20日,三層,一層 二層 三層 見其他登記事項
RPQOMLMLJIKFFBP58CA,,107.08,見其他登記事項,鋼筋混凝土造,104年4月20日,三層,一層 二層 三層 見其他登記事項
RPQOMLMLJIKFFBP58CA,,107.08,見其他登記事項,鋼筋混凝土造,104年4月20日,三層,一層 二層 三層 見其他登記事項
RPPNMLNJJIKFFCP48DA,20,207.65,住商用,鋼筋混凝土造,84年12月20日,八層,一層 二層 騎樓
RPPNMLNJJIKFFCP48DA,20,37.94,共有部份,鋼筋混凝土造,84年12月20日,八層,
RPPNMLNJJIKFFCP48DA,20,1.85,共有部份,鋼筋混凝土造,84年12月20日,,
RPPNMLNJJIKFFCP48DA,20,27.81,共有部份,鋼筋混凝土造,84年12月20日,,
RPPNMLOJJIKFFAP48EA,41,108.68,住家用,加強磚造,63年6月10日,二層,一層 二層 騎樓
RPSNMLOJJIKFFEP98CA,10,185.81,見其他登記事項,鋼筋混凝土造,95年1月26日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPRNMLPJJIKFFFP09CA,21,213.66,住家用,鋼筋混凝土造,83年12月20日,四層,一層 二層 三層 四層 騎樓
RPVNMLNJJIKFFDP09CA,27,195.11,住家用,鋼筋混凝土加強磚造,78年4月25日,三層,一層 二層 三層
RPUNMLPJJIKFFDP56CA,9,20.92,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,四層
RPUNMLPJJIKFFDP56CA,9,34.63,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPUNMLPJJIKFFDP56CA,9,2.33,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPWNMLQJJIKFFDP86CA,34,139.22,住家用,加強磚造,70年10月10日,二層,一層 二層 電梯樓梯間
RPUNMLTJJIKFFDP96CA,7,250.05,見其他登記事項,鋼筋混凝土造,97年11月5日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPVNMLTJJIKFFDP07CA,8,442.79,見其他登記事項,鋼筋混凝土造,96年8月28日,四層,一層 二層 三層 四層 騎樓
RPTNMLMJKIKFFDP88CA,,169.19,住家用,鋼筋混凝土造,104年5月21日,三層,一層 二層 三層
RPVNMLMJKIKFFDP09CA,,169.11,住家用,鋼筋混凝土造,104年5月21日,三層,一層 二層 三層
RPRNMLOJJIKFFAP48CA,,187.42,住家用,鋼筋混凝土造,104年4月19日,四層,一層 二層 三層 四層
RPTNMLQJJIKFFAP88CA,36,177.00,住家用,見其他登記事項,68年6月19日,三層,一層 二層 三層
RPPNMLRJJIKFFAP58CA,7,755.79,住工用,見其他登記事項,97年7月23日,二層,一層 二層
RPQNMLRJJIKFFAP68CA,12,171.63,見其他登記事項,鋼筋混凝土造,92年12月24日,四層,一層 二層 三層 四層 騎樓
RPXNMLPJJIKFFAP56CA,10,144.44,住家用,鋼筋混凝土造,94年5月10日,三層,一層 二層 三層
RPRNMLQKJIKFFAP78CA,21,99.89,住家用,鋼筋混凝土造,84年3月1日,七層,四層
RPRNMLQKJIKFFAP78CA,21,13.04,共有部份,鋼筋混凝土造,84年3月1日,七層,
RPRNMLQKJIKFFAP78CA,21,18.01,共有部份,鋼筋混凝土造,84年3月1日,七層,
RPPOMLKLJIKFFAP18CA,12,194.71,見其他登記事項,鋼筋混凝土造,92年12月24日,四層,一層 二層 三層 四層
RPRNMLNLJIKFFAP58CA,4,179.75,見其他登記事項,鋼筋混凝土造,101年4月6日,三層,一層 二層 三層 電梯樓梯間
RPWNMLMLJIKFFBP09CA,,213.02,見其他登記事項,鋼筋混凝土造,104年4月20日,三層,一層 二層 三層 見其他登記事項
RPWNMLQLJIKFFAP76CA,17,178.00,住家用,鋼筋混凝土造,87年10月30日,十層,四層
RPQNMLQKJIKFFDP98CA,,182.83,住家用,鋼筋混凝土造,104年6月25日,四層,一層 二層 三層 四層
RPRNMLNKJIKFFCP68CA,28,145.91,住家用,鋼筋混凝土造,76年11月25日,二層,一層 二層 騎樓 電梯樓梯間
