編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLNJJIKFFAV78CA,4,223.51,住家用,見其他登記事項,100年7月19日,三層,一層 二層 三層
RPPNMLOJJIKFFAV88CA,21,69.56,見其他登記事項,鋼筋混凝土造,83年5月17日,六層,三層
RPPNMLOJJIKFFAV88CA,21,7.19,見其他登記事項,鋼筋混凝土造,83年5月17日,六層,
RPPNMLOJJIKFFAV88CA,21,13.89,見其他登記事項,鋼筋混凝土造,83年5月17日,六層,
RPPNMLOJJIKFFAV88CA,21,5.95,見其他登記事項,鋼筋混凝土造,83年5月17日,六層,
RPWNMLOJJIKFFAV96CA,28,129.50,住商用,加強磚造,76年9月1日,二層,一層 二層 騎樓
RPPOMLTKJIKFFAV96CA,27,89.79,住家用,加強磚造,77年11月7日,二層,一層 二層
RPPNMLTJJIKFFAV86DA,20,74.27,住家用,鋼筋混凝土造,84年12月5日,六層,二層 夾層
RPPNMLTJJIKFFAV86DA,20,15.78,見其他登記事項,鋼筋混凝土造,84年12月5日,六層,
RPPNMLTJJIKFFAV86DA,20,9.08,見其他登記事項,鋼筋混凝土造,84年12月5日,六層,
RPVNMLOJJIKFFAV86CA,21,100.22,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,二層
RPVNMLOJJIKFFAV86CA,21,12.74,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPVNMLOJJIKFFAV86CA,21,17.65,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPUNMLMKJIKFFAV66CA,17,66.41,見其他登記事項,鋼筋混凝土造,87年10月14日,七層,四層
RPUNMLMKJIKFFAV66CA,17,9.59,見其他登記事項,鋼筋混凝土造,87年10月14日,七層,
RPUNMLMKJIKFFAV66CA,17,14.51,見其他登記事項,鋼筋混凝土造,87年10月14日,七層,
RPVNMLMKJIKFFAV76CA,34,91.53,住家用,鋼筋混凝土造,70年10月21日,七層,四層
RPVNMLMKJIKFFAV76CA,,14.92,見其他登記事項,鋼筋混凝土造,,一層,
RPVNMLMKJIKFFAV76CA,34,16.28,見其他登記事項,鋼筋混凝土造,70年10月21日,七層,
RPXNMLOJJIKFFAV07CA,4,53.08,住家用,加強磚造,100年6月16日,一層,一層
RPTNMLPJJIKFFAV76CA,,29.61,住家用,見其他登記事項,,一層,一層 騎樓
RPPNMLSKJIKFFAV76CA,,243.38,住商用,見其他登記事項,,二層,一層 二層 騎樓
RPRNMLQJJIKFFAV76DA,20,136.62,住家用,鋼筋混凝土造,85年1月16日,五層,二層
RPRNMLQJJIKFFAV76DA,20,24.70,見其他登記事項,鋼筋混凝土造,85年1月16日,五層,
RPPNMLKLJIKFFAV68CA,39,113.49,住商用,見其他登記事項,65年5月18日,三層,三層 騎樓 一層 二層
RPQNMLLKJIKFFAV88DA,39,91.48,住家用,見其他登記事項,65年4月27日,二層,一層 二層
RPRNMLOLJIKFFAV76DA,42,79.32,住家用,見其他登記事項,62年11月5日,二層,一層 二層 騎樓
