編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLLKJIKFFAW78CA,15,168.47,住家用,鋼筋混凝土造,89年11月10日,三層,一層 二層 三層
RPTNMLQJJIKFFAW07DA,21,98.14,住家用,鋼筋混凝土加強磚造,83年10月8日,三層,三層
RPQNMLLKJIKFFAW88CA,,232.68,住家用,鋼筋混凝土造,104年8月5日,三層,一層 二層 三層
RPTNMLOJJIKFFAW76CA,,222.80,住家用,鋼筋混凝土造,104年8月5日,三層,一層 二層 三層
RPUNMLQJJIKFFAW07CA,,229.06,住家用,鋼筋混凝土造,104年8月5日,三層,一層 二層 三層
RPTNMLLKJIKFFAW56CA,,26.92,見其他登記事項,鋼筋混凝土造,104年7月23日,三層,二層
RPTNMLLKJIKFFAW56CA,,2.18,見其他登記事項,鋼筋混凝土造,104年7月23日,三層,
RPTNMLLKJIKFFAW56CA,,2.51,見其他登記事項,鋼筋混凝土造,104年7月23日,三層,
RPOOMLLKJIKFFAW78CA,1,222.88,見其他登記事項,鋼筋混凝土造,103年6月23日,三層,一層 二層 三層 地下一層 見其他登記事項
RPROMLLKJIKFFAW09CA,,89.76,見其他登記事項,鋼筋混凝土造,104年8月14日,三層,二層
RPROMLLKJIKFFAW09CA,,8.54,見其他登記事項,鋼筋混凝土造,104年8月14日,三層,
RPVNMLLKJIKFFAW76CA,,88.26,見其他登記事項,鋼筋混凝土造,104年6月9日,三層,三層
RPVNMLLKJIKFFAW76CA,,8.97,見其他登記事項,鋼筋混凝土造,104年6月9日,三層,
RPWNMLLKJIKFFAW86CA,,86.09,見其他登記事項,鋼筋混凝土造,104年6月9日,三層,一層
RPWNMLLKJIKFFAW86CA,,8.97,見其他登記事項,鋼筋混凝土造,104年6月9日,三層,
RPUNMLMKJIKFFAW76CA,,92.04,見其他登記事項,鋼筋混凝土造,104年7月21日,三層,一層
RPUNMLMKJIKFFAW76CA,,47.64,見其他登記事項,鋼筋混凝土造,104年7月21日,三層,
RPQNMLPLJIKFFAW76CA,,61.75,見其他登記事項,鋼筋混凝土造,104年4月2日,三層,一層
RPQNMLPLJIKFFAW76CA,,17.56,見其他登記事項,鋼筋混凝土造,104年4月2日,三層,
RPWNMLKLJIKFFAW96DA,,160.00,見其他登記事項,鋼筋混凝土造,104年9月2日,三層,一層 二層 三層
RPXNMLKLJIKFFAW07DA,,160.00,見其他登記事項,鋼筋混凝土造,104年9月2日,三層,一層 二層 三層
SPXNMLKLJIKFFAW17DA,,160.00,見其他登記事項,鋼筋混凝土造,104年9月2日,三層,一層 二層 三層
TPXNMLKLJIKFFAW27DA,,160.00,見其他登記事項,鋼筋混凝土造,104年9月2日,三層,一層 二層 三層
