編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLTKJIKFFAX37CA,20,89.22,住家用,鋼筋混凝土造,84年12月8日,七層,四層
RPSNMLTKJIKFFAX37CA,20,16.40,見其他登記事項,鋼筋混凝土造,84年12月8日,七層,
RPPNMLKLJIKFFAX98DA,,4.10,住家用,見其他登記事項,,一層,一層
RPRNMLNKJIKFFAX76DA,33,100.62,住家用,鋼筋混凝土造,72年1月18日,三層,一層 二層 三層
RPQNMLNKJIKFFAX76EA,79,42.61,住家用,見其他登記事項,26年1月1日,一層,一層
RPRNMLTJJIKFFAX17CA,18,91.93,住家用,鋼筋混凝土造,87年4月1日,五層,五層
RPQNMLMKJIKFFAX09CA,6,252.81,住家用,鋼筋混凝土造,98年11月11日,四層,一層 二層 三層 四層
RPPNMLTJJIKFFAX17EA,23,22.89,住家用,鋼筋混凝土造,82年4月22日,五層,四層
RPPNMLTJJIKFFAX17EA,23,8.43,見其他登記事項,鋼筋混凝土造,82年4月22日,五層,
RPPNMLTJJIKFFAX17EA,23,1.80,見其他登記事項,鋼筋混凝土造,82年4月22日,五層,
RPTNMLTKJIKFFAX47CA,26,142.17,住家用,鋼筋混凝土造,78年10月11日,七層,七層
RPTNMLTKJIKFFAX47CA,26,33.05,見其他登記事項,鋼筋混凝土造,78年10月11日,七層,
RPTNMLTKJIKFFAX47CA,26,18.10,見其他登記事項,鋼筋混凝土造,78年10月11日,七層,
RPVNMLKKJIKFFAX76CA,20,118.04,住家用,鋼筋混凝土造,85年2月15日,十層,六層
RPRNMLKKJIKFFAX98CA,31,81.81,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,三層
RPPNMLNKJIKFFAX56DA,33,82.40,住家用,鋼筋混凝土造,72年1月18日,二層,一層 二層
RPPNMLMKJIKFFAX98CA,47,89.80,住家用,見其他登記事項,57年10月31日,三層,一層 二層 三層
RPRNMLMKJIKFFAX56CA,59,155.95,住商用,見其他登記事項,45年8月1日,一層,一層
RPTNMLNLJIKFFAX96CA,9,107.67,見其他登記事項,鋼筋混凝土造,95年7月10日,十四層,十一層
RPTNMLNLJIKFFAX96CA,9,69.52,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPSNMLRJKIKFFAX27DA,,527.54,住家用,鋼筋混凝土造,104年9月4日,三層,一層 二層 三層 見其他登記事項
RPQNMLQKJIKFFAX96DA,47,15.39,住商用,鋼筋混凝土加強空心磚造,57年6月10日,二層,一層 二層
