鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物),臺北市文山區指南路二段45巷10弄1~30號,25.44,住,,,10410,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701231,107.4,3,2,2,有,無,11800000,109870,,0.0,0,,RPUQMLPJJIKFFAA67CA
中正區,房地(土地+建物),臺北市中正區和平西路二段70巷8弄1~30號,0.02,住,,,10409,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0400109,0.02,0,0,1,無,無,4831,0,,0.0,0,,RPVQMLPJJIKFFAA77CA
中正區,房地(土地+建物),臺北市中正區和平西路二段70巷8弄1~30號,0.02,住,,,10409,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0400109,0.02,0,0,1,無,無,4831,0,,0.0,0,,RPWQMLPJJIKFFAA87CA
中正區,房地(土地+建物),臺北市中正區和平西路二段70巷8弄1~30號,0.02,住,,,10409,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0400109,0.02,0,0,1,無,無,4831,0,,0.0,0,,RPPPMLQJJIKFFAA17CA
中正區,房地(土地+建物),臺北市中正區和平西路二段70巷8弄1~30號,0.02,住,,,10409,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0400109,0.02,0,0,1,無,無,4831,0,,0.0,0,,RPTPMLQJJIKFFAA57CA
中正區,房地(土地+建物),臺北市中正區和平西路二段70巷8弄1~30號,0.02,住,,,10409,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0400109,0.02,0,0,1,無,無,4831,0,,0.0,0,,RPUPMLQJJIKFFAA67CA
中正區,房地(土地+建物),臺北市中正區和平西路二段70巷8弄1~30號,0.02,住,,,10409,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0400109,0.02,0,0,1,無,無,4831,0,,0.0,0,,RPVPMLQJJIKFFAA77CA
中正區,房地(土地+建物),臺北市中正區和平西路二段70巷8弄1~30號,0.02,住,,,10409,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0400109,0.02,0,0,1,無,無,4831,0,,0.0,0,,RPWPMLQJJIKFFAA87CA
中正區,房地(土地+建物),臺北市中正區和平西路二段70巷8弄1~30號,0.02,住,,,10409,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0400109,0.02,0,0,1,無,無,4831,0,,0.0,0,,RPXPMLQJJIKFFAA97CA
中正區,房地(土地+建物),臺北市中正區和平西路二段70巷8弄1~30號,0.02,住,,,10409,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0400109,0.02,0,0,1,無,無,4831,0,,0.0,0,,RPOQMLQJJIKFFAA17CA
