編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUQMLPJJIKFFAA67CA,34,93.01,住家用,鋼筋混凝土造,70年12月31日,五層,二層
RPUQMLPJJIKFFAA67CA,34,14.39,共有部分,鋼筋混凝土造,70年12月31日,五層,
RPVQMLPJJIKFFAA77CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPWQMLPJJIKFFAA87CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPPPMLQJJIKFFAA17CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPTPMLQJJIKFFAA57CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPUPMLQJJIKFFAA67CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPVPMLQJJIKFFAA77CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPWPMLQJJIKFFAA87CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPXPMLQJJIKFFAA97CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPOQMLQJJIKFFAA17CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPPQMLQJJIKFFAA27CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPQQMLQJJIKFFAA37CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPRQMLQJJIKFFAA47CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPTQMLQJJIKFFAA67CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPUQMLQJJIKFFAA77CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPVQMLQJJIKFFAA87CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPWQMLQJJIKFFAA97CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPXQMLQJJIKFFAA08CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPORMLQJJIKFFAA27CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPPRMLQJJIKFFAA37CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPQRMLQJJIKFFAA47CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPRRMLQJJIKFFAA57CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPTRMLQJJIKFFAA77CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPURMLQJJIKFFAA87CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPVRMLQJJIKFFAA97CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPOSMLQJJIKFFAA37CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPPSMLQJJIKFFAA47CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPQSMLQJJIKFFAA57CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPRSMLQJJIKFFAA67CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPSSMLQJJIKFFAA77CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPTSMLQJJIKFFAA87CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPWSMLQJJIKFFAA18CA,65,.02,住家用,加強磚造,40年1月9日,一層,一層
RPWNMLNJJIKFFAA37CA,6,21.88,住家用,鋼筋混凝土造,98年5月18日,七層,五層
RPWNMLNJJIKFFAA37CA,6,10.55,共有部分,鋼筋混凝土造,98年5月18日,七層,
RPOOMLNJJIKFFAA66CA,21,45.47,住家用,鋼筋混凝土造,83年10月18日,十三層,十層
RPOOMLNJJIKFFAA66CA,21,14.91,見使用執照,鋼筋混凝土造,83年10月18日,十四層,
RPSNMLOJJIKFFAA07CA,,123.65,住家用,鋼筋混凝土造,,五層,二層
RPWOMLKKJIKFFAA27CA,21,33.06,見使用執照,鋼筋混凝土造,83年5月30日,七層,地下層
RPWOMLKKJIKFFAA27CA,21,104.59,住家用,鋼筋混凝土造,83年5月30日,七層,六層
RPWOMLKKJIKFFAA27CA,21,11.29,見使用執照,鋼筋混凝土造,83年5月30日,七層,
RPWOMLKKJIKFFAA27CA,21,.01,見使用執照,鋼筋混凝土造,83年5月30日,七層,
RPTNMLPJJIKFFBA37CA,5,58.36,住家用,鋼筋混凝土造,99年4月13日,十五層,五層
RPTNMLPJJIKFFBA37CA,5,13.61,見其他登記事項,鋼筋混凝土造,99年4月13日,十五層,
RPTNMLPJJIKFFBA37CA,5,12.31,見其他登記事項,鋼筋混凝土造,99年4月13日,十五層,
RPTNMLPJJIKFFBA37CA,5,9.45,見其他登記事項,鋼筋混凝土造,99年4月13日,十五層,
RPTNMLPJJIKFFBA37CA,5,6.03,見其他登記事項,鋼筋混凝土造,99年4月13日,十五層,
RPXOMLQKJIKFFBA08CA,34,53.73,住家用,鋼筋混凝土造,70年12月31日,十二層,九層
RPXOMLQKJIKFFBA08CA,34,12.97,共有部分,鋼筋混凝土造,70年12月31日,十二層,
RPPNMLRKJIKFFBA27CA,,307.92,見其他登記事項,加強磚造,,四層,一層 二層 三層 四層 騎樓
RPXOMLLJKIKFFBA57CA,,46.08,住家用,鋼筋混凝土造,,十二層,九層
RPXPMLNJJIKFFCA87CA,36,107.50,住家用,鋼筋混凝土造,68年4月9日,四層,二層
RPTQMLNJJIKFFCA57CA,36,20.87,住家用,鋼筋混凝土造,69年1月10日,六層,六層
RPTQMLNJJIKFFCA57CA,36,10.44,共有部分,鋼筋混凝土造,69年1月10日,六層,
