鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
信義區,房地(土地+建物),臺北市信義區吳興街364巷31~60號,25.78,住,,,10410,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700306,83.25,3,2,2,有,無,無,18000,216,,0.0,0,,RPSNMLLJJIKFFDA27CC
信義區,房地(土地+建物),臺北市信義區信義路五段150巷445弄1~30號,28.04,住,,,10410,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730830,91.53,3,2,2,有,無,無,22000,240,,0.0,0,,RPTNMLLJJIKFFDA37CC
信義區,房地(土地+建物),臺北市信義區吳興街281巷1~30號,30.0,住,,,10410,土地1建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,,78.0,0,0,0,無,無,無,50000,641,,0.0,0,,RPUNMLLJJIKFFDA47CC
松山區,建物,臺北市松山區復興北路1~30號,0.0,商,,,10410,土地0建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670817,134.98000000000002,3,2,2,有,有,有,55000,407,,0.0,0,租金含管理費,RPQNMLMJJIKFFDA17CC
松山區,建物,臺北市松山區南京東路五段151~180號,0.0,,,,10410,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760526,125.0,0,0,0,無,有,無,38600,309,,0.0,0,,RPRNMLMJJIKFFDA27CC
信義區,房地(土地+建物),臺北市信義區信義路五段91~120號,32.99,住,,,10410,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860926,63.879999999999995,2,1,1,有,有,有,27500,430,,0.0,0,,RPSNMLMJJIKFFDA37CC
松山區,建物,臺北市松山區敦化南路一段100巷7弄1~30號,0.0,住,,,10410,土地0建物0車位0,全,1,透天厝,,加強磚造,,66.62,0,0,0,無,無,無,49000,736,,0.0,0,,RPUNMLMJJIKFFDA57CC
松山區,建物,臺北市松山區民生東路五段69巷1~30號,0.0,其他,,,10410,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660407,73.43,3,2,2,有,有,有,45206,616,,0.0,0,,RPPOMLMJJIKFFDA17CC
信義區,建物,臺北市信義區永吉路31~60號,0.0,商,,,10410,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960524,96.00999999999999,2,1,2,有,有,有,70000,729,,0.0,0,租期為柒個月又貳拾伍天，租金內含有線電視、ADSL費用,RPQOMLMJJIKFFDA27CC
信義區,建物,臺北市松山區吳興街284巷59弄1~30號,0.0,住,,,10410,土地0建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970128,194.76,2,2,2,有,無,有,125000,642,坡道平面,116.39,0,,RPSOMLMJJIKFFDA47CC
松山區,建物,臺北市松山區八德路二段331~360號,0.0,商,,,10410,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980123,49.0,1,1,1,有,有,有,30000,612,,0.0,0,含稅,RPVOMLMJJIKFFDA77CC
士林區,建物,臺北市士林區中山北路六段405巷31~60號,0.0,住,,,10410,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731109,150.77,3,2,2,有,無,有,56000,371,,0.0,0,,RPXNMLMJJIKFFEA97CC
北投區,建物,臺北市北投區尊賢街230巷1~30號,0.0,住,,,10410,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660114,80.9,3,2,1,有,無,無,16000,198,,0.0,0,,RPOOMLMJJIKFFEA17CC
中山區,建物,臺北市中山區建國北路一段33巷31~60號,0.0,商,,,10410,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701230,114.09,3,2,2,有,無,有,28000,245,,0.0,0,租金內含管理費,RPQNMLMJJIKFFCA07CC
內湖區,建物,臺北市內湖區內湖路二段253巷31~60號,0.0,住,,,10410,土地0建物1車位1,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980923,341.03999999999996,3,2,4,有,有,有,150000,440,坡道平面,43.91,0,,RPWNMLMJJIKFFCA67CC
