編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLLJJIKFFDA27CC,35,83.25,住家用,鋼筋混凝土造,70年3月6日,五層,
RPTNMLLJJIKFFDA37CC,31,88.89,住家用,鋼筋混凝土造,73年8月30日,五層,
RPTNMLLJJIKFFDA37CC,31,2.64,見使用執照,鋼筋混凝土造,73年8月30日,五層,
RPUNMLLJJIKFFDA47CC,,78.00,住家用,鋼筋混凝土造,,四層,
RPQNMLMJJIKFFDA17CC,37,110.73,住家用,鋼筋混凝土造,67年8月17日,十五層,
RPQNMLMJJIKFFDA17CC,37,24.25,共有部分,鋼筋混凝土造,67年8月17日,十五層,
RPRNMLMJJIKFFDA27CC,28,102.15,住家用,鋼筋混凝土造,76年5月26日,十六層,
RPRNMLMJJIKFFDA27CC,28,22.85,共有部分,鋼筋混凝土造,76年5月26日,十六層,
RPSNMLMJJIKFFDA37CC,18,35.08,住家用,鋼筋混凝土造,86年9月26日,十二層,
RPSNMLMJJIKFFDA37CC,18,7.31,共有部分,鋼筋混凝土造,86年9月26日,十二層,
RPSNMLMJJIKFFDA37CC,18,21.49,共有部分,鋼筋混凝土造,86年9月26日,十二層,
RPUNMLMJJIKFFDA57CC,,66.62,,加強磚造,,二層,
RPPOMLMJJIKFFDA17CC,39,65.89,住家用,鋼筋混凝土造,66年4月7日,七層,
RPPOMLMJJIKFFDA17CC,39,7.54,共有部分,鋼筋混凝土造,66年4月7日,七層,
RPQOMLMJJIKFFDA27CC,8,60.87,住家用,鋼筋混凝土造,96年5月24日,十四層,
RPQOMLMJJIKFFDA27CC,8,21.14,共有部分,鋼筋混凝土造,96年5月24日,十四層,
RPQOMLMJJIKFFDA27CC,8,3.08,共有部分,鋼筋混凝土造,96年5月24日,十四層,
RPQOMLMJJIKFFDA27CC,8,10.92,共有部分,鋼筋混凝土造,96年5月24日,十四層,
RPSOMLMJJIKFFDA47CC,8,144.22,住家用,鋼筋混凝土造,97年1月28日,十三層,
RPSOMLMJJIKFFDA47CC,8,24.95,共有部分,鋼筋混凝土造,97年1月28日,十三層,
RPSOMLMJJIKFFDA47CC,8,25.59,共有部分,鋼筋混凝土造,97年1月28日,十三層,
RPVOMLMJJIKFFDA77CC,7,32.85,住家用,鋼筋混凝土造,98年1月23日,十四層,
RPVOMLMJJIKFFDA77CC,7,7.17,共有部分,鋼筋混凝土造,98年1月23日,十四層,
RPVOMLMJJIKFFDA77CC,7,8.98,共有部分,鋼筋混凝土造,98年1月23日,十四層,
RPXNMLMJJIKFFEA97CC,31,142.90,住家用,鋼筋混凝土造,73年11月9日,七層,
