編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPSNMLLJJIKFFDA27CC,吳興段一小段,25.78,都市：住
RPTNMLLJJIKFFDA37CC,祥和段四小段,28.04,都市：住
RPUNMLLJJIKFFDA47CC,吳興段一小段,30.00,都市：住
RPQNMLMJJIKFFDA17CC,敦化段二小段,.00,都市：商
RPRNMLMJJIKFFDA27CC,西松段一小段,.00,非都市： ; 非都市編定：
RPSNMLMJJIKFFDA37CC,信義段三小段,32.99,都市：住
RPUNMLMJJIKFFDA57CC,敦化段三小段,.00,都市：住
RPPOMLMJJIKFFDA17CC,民生段,.00,都市：其他
RPQOMLMJJIKFFDA27CC,雅祥段一小段,.00,都市：商
RPSOMLMJJIKFFDA47CC,吳興段二小段,.00,都市：住
RPVOMLMJJIKFFDA77CC,敦化段三小段,.00,都市：商
RPVOMLMJJIKFFDA77CC,敦化段三小段,.00,都市：商
RPXNMLMJJIKFFEA97CC,天母段一小段,.00,都市：住
RPOOMLMJJIKFFEA17CC,立農段三小段,.00,都市：住
RPQNMLMJJIKFFCA07CC,長安段二小段,.00,都市：商
RPWNMLMJJIKFFCA67CC,碧湖段二小段,.00,都市：住
RPXNMLMJJIKFFCA77CC,潭美段五小段,.00,都市：商
RPOOMLMJJIKFFCA96CC,潭美段五小段,.00,都市：商
RPQOMLMJJIKFFCA17CC,潭美段三小段,115.00,都市：工
RPROMLMJJIKFFCA27CC,正義段二小段,.00,都市：商
RPROMLMJJIKFFCA27CC,正義段二小段,.00,都市：商
RPSOMLMJJIKFFCA37CC,長安段三小段,.00,都市：商
RPSOMLMJJIKFFCA37CC,長安段三小段,.00,都市：住
RPTOMLMJJIKFFCA47CC,長安段二小段,.00,都市：商
RPUOMLMJJIKFFCA57CC,文德段二小段,.00,都市：住
RPUOMLMJJIKFFCA57CC,文德段二小段,.00,都市：住
RPWOMLMJJIKFFCA77CC,康寧段三小段,.00,都市：住
