¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°ÏºÖ¤Hµó121~150¸¹,4.73,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¤E¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0810117,45.23,1,0,1,¦³,¦³,2280000,50409,,0.0,0,,RPUNMLNJJIKFFAB27CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï¾Ç©²¸ô168«Ñ1~30¸¹,3.88,¦í,,,10410,¤g¦a3«Øª«1¨®¦ì0,¤E¼h,¤Q¤E¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860428,43.02,1,1,1,¦³,¦³,1540000,35797,,0.0,0,,RPXNMLPJJIKFFAB77CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï«Ø¦¨¸ô1891~1920¸¹,112.0,°Ó,,,10409,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0960125,362.81,5,2,7,¦³,µL,9000000,24806,,0.0,0,ª½¨t¿ËÄÝ¯S®íÃö«Y¶¡¤§¥æ©ö¡A§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPRNMLPJJIKFFAB17CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï¤j´¼¸ô331~360¸¹,10.47,¦í,,,10410,¤g¦a1«Øª«3¨®¦ì0,¤Q¤@¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831213,117.69999999999999,3,2,2,¦³,¦³,4450000,37808,,0.0,0,,RPTNMLPJJIKFFAB37CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¤T¥Á¦è¸ô271~300¸¹,23.65,°Ó,,,10410,¤g¦a3«Øª«1¨®¦ì1,¤Q¥|¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1000824,189.66,4,2,2,¦³,¦³,13200000,69598,©Y¹D¥­­±,28.11,0,,RPPNMLQJJIKFFAB07CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¶Q©Mµó135«Ñ1~30¸¹,76.0,¦í,,,10409,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0570715,51.3,4,2,2,¦³,µL,7300000,142300,,0.0,0,,RPWOMLQJJIKFFAB87CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤½¯q¸ô91~120¸¹,3.31,¦í,,,10410,¤g¦a2«Øª«1¨®¦ì0,¥|¼h,¤Q¤T¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830714,31.71,0,0,0,µL,¦³,1850000,58341,,0.0,0,,RPSNMLSJJIKFFAB57CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï©¾§µ¸ô290«Ñ1~30¸¹,83.0,¦í,,,10305,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040626,233.42,4,3,5,¦³,µL,22300000,95536,,0.0,0,,RPQOMLTJJIKFFAB57CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤T¥Á¸ô¤@¬q50«Ñ1~30¸¹,2.74,¦í,,,10410,¤g¦a2«Øª«1¨®¦ì0,¤Q¤G¼h,¤Q¤E¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840113,35.73,1,1,1,¦³,¦³,1000000,27988,,0.0,0,,RPTNMLKKJIKFFAB96CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«ªF°Ï¼Ö·~¸ô391~420¸¹,24.81,¦í,,,10410,¤g¦a1«Øª«1¨®¦ì1,¤E¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040804,170.97,3,2,2,¦³,µL,7880000,53181,©Y¹D¥­­±,39.72,900000,·s¦¨«Î¡M©|¥¼¦¨¥ßºÞ²z©e­û·|¡C,RPXOMLTJJIKFFAB28CA
