編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLNJJIKFFAB27CA,24,35.80,住家用,鋼筋混凝土造,81年1月17日,九層,三層
RPUNMLNJJIKFFAB27CA,24,9.43,共有部份,鋼筋混凝土造,81年1月17日,九層,
RPXNMLPJJIKFFAB77CA,18,27.60,住家用,鋼筋混凝土造,86年4月28日,十九層,九層
RPXNMLPJJIKFFAB77CA,18,1.47,見其他登記事項,鋼筋混凝土造,86年4月28日,十九層,
RPXNMLPJJIKFFAB77CA,18,8.52,見其他登記事項,鋼筋混凝土造,86年4月28日,十九層,
RPXNMLPJJIKFFAB77CA,18,5.43,共有部份,鋼筋混凝土造,86年4月28日,十九層,
RPRNMLPJJIKFFAB17CA,9,362.81,見其他登記事項,鋼筋混凝土造,96年1月25日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPTNMLPJJIKFFAB37CA,21,84.88,住家用,鋼筋混凝土造,83年12月13日,十五層,十一層
RPTNMLPJJIKFFAB37CA,21,13.12,共有部份,鋼筋混凝土造,83年12月13日,十五層,
RPTNMLPJJIKFFAB37CA,21,18.34,見其他登記事項,鋼筋混凝土造,83年12月13日,十五層,
RPTNMLPJJIKFFAB37CA,21,.68,住家用,鋼筋混凝土造,83年12月13日,十五層,四層
RPTNMLPJJIKFFAB37CA,21,.68,住家用,鋼筋混凝土造,83年12月13日,十五層,四層
RPPNMLQJJIKFFAB07CA,4,110.34,見其他登記事項,鋼筋混凝土造,100年8月24日,十五層,十四層
RPPNMLQJJIKFFAB07CA,4,50.47,見其他登記事項,鋼筋混凝土造,100年8月24日,十五層,
RPPNMLQJJIKFFAB07CA,4,28.81,見其他登記事項,鋼筋混凝土造,100年8月24日,十五層,
RPPNMLQJJIKFFAB07CA,4,.04,見其他登記事項,鋼筋混凝土造,100年8月24日,十五層,
RPWOMLQJJIKFFAB87CA,47,51.30,住家用,見其他登記事項,57年7月15日,二層,一層 二層
RPSNMLSJJIKFFAB57CA,21,20.85,住家用,鋼筋混凝土造,83年7月14日,十三層,四層
