編號,車位類別,車位價格,車位面積平方公尺
RPPNMLQJJIKFFAB07CA,坡道平面,0,28.11
RPXOMLTJJIKFFAB28CA,坡道平面,900000,39.72
RPSOMLSKJIKFFAB77CA,坡道平面,0,23.82
RPSOMLSKJIKFFAB77CA,坡道平面,0,23.82
RPSOMLRLJIKFFAB77CA,坡道平面,0,30.85
RPPOMLMJJIKFFBB86CA,坡道平面,0,28.67
RPPOMLMJJIKFFBB86CA,坡道平面,0,28.67
RPSPMLOJJIKFFBB47CA,坡道平面,0,
RPRNMLOJJIKFFBB17CA,升降機械,0,
RPPQMLLKJIKFFBB07CA,坡道機械,0,6.98
RPWPMLMKJIKFFBB77CA,坡道平面,1050000,34.73
RPXPMLMKJIKFFBB87CA,坡道平面,1200000,34.73
RPOQMLMKJIKFFBB07CA,坡道平面,950000,34.73
RPSOMLQKJIKFFBB67CA,坡道平面,0,
RPOPMLQLJIKFFBB47CA,坡道平面,0,
RPVPMLRLJIKFFBB28CA,坡道平面,0,
RPPQMLMJJIKFFCB17CA,坡道平面,0,21.50
RPPQMLMJJIKFFCB17CA,坡道平面,0,21.50
RPVNMLPJJIKFFCB77CA,坡道平面,0,
RPROMLPJJIKFFCB47CA,坡道平面,0,
RPQQMLQJJIKFFCB67CA,坡道機械,0,
RPWPMLTJJIKFFCB48CA,坡道機械,0,
RPQNMLPKJIKFFCB37CA,坡道平面,0,32.10
RPWOMLNLJIKFFCB97CA,坡道平面,0,23.14
RPWOMLNLJIKFFCB97CA,坡道平面,0,23.14
RPXOMLNLJIKFFCB08CA,坡道平面,0,23.14
RPXOMLNLJIKFFCB08CA,坡道平面,0,23.14
RPXOMLNLJIKFFCB08CA,坡道平面,0,23.14
RPSNMLQLJIKFFCB77CA,坡道機械,0,
RPTPMLQLJIKFFCB08CA,坡道平面,0,20.58
RPTPMLQLJIKFFCB08CA,坡道平面,0,20.58
RPXNMLTJJIKFFFL07CA,坡道平面,0,18.68
RPSPMLSKJIKFFFL76CA,坡道機械,0,
RPQOMLNJJIKFFGL58CA,坡道平面,0,31.89
RPSNMLOJJIKFFGL78CA,坡道平面,0,
RPPNMLOJJIKFFHL58CA,坡道平面,0,
RPVNMLLKJIKFFBB47DA,坡道平面,0,
RPVNMLLKJIKFFBB47DA,坡道機械,0,
RPXNMLOLJIKFFHL96CA,坡道平面,900000,26.46
RPOOMLOLJIKFFHL78CA,坡道平面,900000,26.46
RPPOMLOLJIKFFHL88CA,坡道平面,1000000,26.46
RPQOMLOLJIKFFHL98CA,坡道平面,900000,26.46
RPROMLOLJIKFFHL09CA,坡道平面,900000,26.46
RPSOMLOLJIKFFHL56CA,坡道平面,1000000,26.46
RPUOMLOLJIKFFHL76CA,坡道平面,900000,26.46
RPVOMLOLJIKFFHL86CA,坡道平面,900000,26.46
RPWOMLOLJIKFFHL96CA,坡道平面,900000,26.46
RPXOMLOLJIKFFHL07CA,坡道平面,900000,26.46
RPOPMLOLJIKFFHL88CA,坡道平面,900000,26.46
RPOPMLOLJIKFFHL88CA,坡道平面,900000,26.46
RPPPMLOLJIKFFHL98CA,坡道平面,900000,26.46
RPQPMLOLJIKFFHL09CA,坡道平面,900000,26.46
RPVNMLSKJIKFFHL07CA,一樓平面,0,
RPSOMLTKJIKFFHL96CA,坡道平面,900000,26.46
RPTOMLTKJIKFFHL07CA,坡道平面,900000,26.46
RPUOMLTKJIKFFHL17CA,坡道平面,900000,26.46
RPVOMLTKJIKFFHL27CA,坡道平面,900000,26.46
RPWOMLTKJIKFFHL37CA,坡道平面,900000,26.46
RPXOMLTKJIKFFHL47CA,坡道平面,900000,26.46
RPOPMLTKJIKFFHL66CA,坡道平面,900000,24.80
RPPPMLTKJIKFFHL76CA,坡道平面,900000,26.46
RPQPMLTKJIKFFHL86CA,坡道平面,1000000,26.46
RPSPMLTKJIKFFHL07CA,坡道平面,900000,26.46
RPTPMLTKJIKFFHL17CA,坡道平面,900000,26.46
RPUPMLTKJIKFFHL27CA,坡道平面,900000,26.46
RPVPMLTKJIKFFHL37CA,坡道平面,900000,26.46
RPOQMLTKJIKFFHL76CA,坡道平面,800000,24.80
RPPQMLTKJIKFFHL86CA,坡道平面,900000,26.46
RPQQMLTKJIKFFHL96CA,坡道平面,900000,26.46
RPRQMLTKJIKFFHL07CA,坡道平面,800000,24.80
RPPOMLSKJIKFFHL56CA,坡道平面,900000,24.80
RPQOMLSKJIKFFHL66CA,坡道平面,900000,26.46
RPROMLSKJIKFFHL76CA,坡道平面,900000,26.46
RPSOMLSKJIKFFHL86CA,坡道平面,800000,24.80
RPPNMLTKJIKFFHL56CA,坡道平面,800000,24.80
RPQNMLTKJIKFFHL66CA,坡道平面,900000,26.46
RPRNMLTKJIKFFHL76CA,坡道平面,900000,26.46
RPSNMLTKJIKFFHL86CA,坡道平面,900000,26.46
RPTNMLTKJIKFFHL96CA,坡道平面,900000,26.46
RPUNMLTKJIKFFHL07CA,坡道平面,900000,26.46
RPVNMLTKJIKFFHL17CA,坡道平面,900000,26.46
RPWNMLTKJIKFFHL27CA,坡道平面,800000,24.80
RPXNMLTKJIKFFHL37CA,坡道平面,900000,26.46
RPPOMLNLJIKFFHL78CA,坡道平面,800000,24.80
RPQOMLNLJIKFFHL88CA,坡道平面,900000,26.46
RPROMLNLJIKFFHL98CA,坡道平面,1000000,26.46
RPSOMLNLJIKFFHL09CA,坡道平面,1000000,26.46
RPTOMLNLJIKFFHL56CA,坡道平面,900000,26.46
RPUOMLNLJIKFFHL66CA,坡道平面,1000000,26.46
RPVOMLNLJIKFFHL76CA,坡道平面,900000,26.46
RPWOMLNLJIKFFHL86CA,坡道平面,900000,26.46
RPXOMLNLJIKFFHL96CA,坡道平面,900000,26.46
RPOPMLNLJIKFFHL78CA,坡道平面,900000,26.46
RPPPMLNLJIKFFHL88CA,坡道平面,900000,26.46
RPQNMLOLJIKFFHL88CA,坡道機械,0,
RPVNMLPJJIKFFHL66CA,坡道機械,0,
RPTQMLTKJIKFFHL27CA,坡道平面,800000,24.80
RPUQMLTKJIKFFHL37CA,坡道平面,900000,24.80
RPVQMLTKJIKFFHL47CA,坡道平面,1000000,26.46
RPWQMLTKJIKFFHL57CA,坡道平面,900000,26.46
RPXQMLTKJIKFFHL67CA,坡道平面,900000,26.46
RPORMLTKJIKFFHL86CA,坡道平面,900000,26.46
RPPRMLTKJIKFFHL96CA,坡道平面,900000,26.46
RPPRMLTKJIKFFHL96CA,坡道平面,900000,26.46
RPQRMLTKJIKFFHL07CA,坡道平面,1000000,26.46
RPRRMLTKJIKFFHL17CA,坡道平面,900000,24.80
RPSRMLTKJIKFFHL27CA,坡道平面,900000,26.46
RPTRMLTKJIKFFHL37CA,坡道平面,900000,26.46
RPURMLTKJIKFFHL47CA,坡道平面,900000,26.46
RPVRMLTKJIKFFHL57CA,坡道平面,900000,26.46
RPWRMLTKJIKFFHL67CA,坡道平面,800000,24.80
RPXRMLTKJIKFFHL77CA,坡道平面,900000,26.46
RPOSMLTKJIKFFHL96CA,坡道平面,900000,26.46
RPQSMLTKJIKFFHL17CA,坡道平面,1000000,26.46
RPRSMLTKJIKFFHL27CA,坡道平面,900000,26.46
RPSSMLTKJIKFFHL37CA,坡道平面,800000,24.80
RPTSMLTKJIKFFHL47CA,坡道平面,1000000,26.46
RPUSMLTKJIKFFHL57CA,坡道平面,900000,26.46
RPVSMLTKJIKFFHL67CA,坡道平面,900000,26.46
RPWSMLTKJIKFFHL77CA,坡道平面,900000,26.46
RPWSMLTKJIKFFHL77CA,坡道平面,900000,26.46
RPXSMLTKJIKFFHL87CA,坡道平面,900000,26.46
RPOTMLTKJIKFFHL07CA,坡道平面,900000,24.80
RPPTMLTKJIKFFHL17CA,坡道平面,900000,26.46
RPPNMLKLJIKFFHL38CA,坡道平面,900000,26.46
RPQNMLKLJIKFFHL48CA,坡道平面,900000,24.80
RPRNMLKLJIKFFHL58CA,坡道平面,900000,26.46
RPSNMLKLJIKFFHL68CA,坡道平面,800000,24.80
RPUNMLKLJIKFFHL88CA,坡道平面,900000,26.46
RPVNMLKLJIKFFHL98CA,坡道平面,1000000,26.46
RPWNMLKLJIKFFHL09CA,坡道平面,900000,26.46
RPXNMLKLJIKFFHL56CA,坡道平面,900000,26.46
RPPOMLKLJIKFFHL48CA,坡道平面,900000,26.46
RPPOMLNKJIKFFGL58CA,坡道平面,900000,36.74
RPWNMLNLJIKFFGL66CA,坡道機械,0,
RPRNMLQLJIKFFCB67CA,坡道機械,0,
RPWNMLNLJIKFFCB87CA,其他,0,23.35
RPWOMLRLJIKFFCB38CA,坡道平面,0,
RPWOMLRLJIKFFCB38CA,坡道機械,0,
RPWOMLRLJIKFFCB38CA,坡道機械,0,
RPRNMLTLJIKFFCB97CA,坡道平面,0,
RPRNMLTLJIKFFCB97CA,坡道平面,0,
RPRNMLTLJIKFFCB97CA,坡道平面,0,
RPRNMLTLJIKFFCB97CA,坡道平面,0,
