編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLPJJIKFFBC17CA,祥豐段,10.62,都市：住
RPPNMLPJJIKFFBC17CA,祥豐段,10.25,都市：住
RPVOMLNJJIKFFBC67CA,東信段四小段,64.00,都市：住
RPRNMLRKJIKFFBC67CA,調和段,1.70,都市：其他
RPRNMLRKJIKFFBC67CA,調和段,.00,都市：其他
RPRNMLRKJIKFFBC67CA,調和段,.00,都市：住
RPWNMLNJJIKFFCC77CA,瑪陵坑段東勢上股小段,17.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLNJJIKFFCC77CA,瑪陵坑段東勢上股小段,387.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLNJJIKFFCC77CA,瑪陵坑段東勢上股小段,4600.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLNJJIKFFCC77CA,瑪陵坑段東勢上股小段,443.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLNJJIKFFCC77CA,瑪陵坑段東勢上股小段,130.00,非都市：山坡地保育區 ; 非都市編定：交通用地
RPSOMLNJJIKFFCC47CA,五堵段五堵北小段,48.34,都市：住
RPXNMLOJJIKFFCC97CA,過港段,37.40,都市：住
RPOOMLOJJIKFFCC17CA,源遠段,14.93,都市：住
RPSNMLPJJIKFFCC57CA,大華段,42.31,都市：住
RPROMLPJJIKFFCC57CA,大華段,35.85,都市：商
RPQNMLQJJIKFFCC47CA,舊站段,.48,都市：商
RPPOMLTJJIKFFCC77CA,大德段,22.93,都市：住
RPPOMLTJJIKFFCC77CA,大德段,2.27,都市：住
RPOOMLNKJIKFFCC17CA,五堵段五堵北小段,49.14,都市：住
RPRNMLTKJIKFFCC97CA,八德段,13.10,都市：住
RPRNMLTKJIKFFCC97CA,八德段,.10,都市：住
RPRNMLTKJIKFFCC97CA,八德段,17.70,都市：住
RPUNMLKLJIKFFCC47CA,新城段,50.37,都市：住
RPTNMLOLJIKFFCC77CA,金華段,63.86,都市：住
RPTNMLOLJIKFFCC77CA,金華段,5.64,都市：住
RPTNMLOLJIKFFCC77CA,金華段,131.90,都市：住
RPTNMLOLJIKFFCC77CA,金華段,5.90,都市：其他
RPVNMLQKJIKFFBC08DA,港灣段一小段,38.00,都市：住
RPVNMLQKJIKFFBC08DA,港灣段一小段,7.00,都市：住
RPWNMLPJJIKFFCC08DA,情人湖段,.02,都市：其他
