編號,車位類別,車位價格,車位面積平方公尺
RPRNMLRKJIKFFBC67CA,坡道平面,665000,34.17
RPSOMLNJJIKFFCC47CA,坡道平面,0,
RPQNMLQJJIKFFCC47CA,坡道平面,1550000,34.72
RPUNMLKLJIKFFCC47CA,一樓平面,0,15.02
RPXNMLRKJIKFFBC38DA,坡道平面,0,34.16
RPPNMLQLJIKFFCC57CA,坡道平面,0,33.12
RPRNMLQJJIKFFCC57CA,坡道平面,0,
RPUOMLTJJIKFFCC28CA,坡道平面,0,
RPPNMLQLJIKFFBC47CA,坡道平面,0,34.60
RPUNMLTJJIKFFBC08CA,坡道平面,0,
RPPOMLOJJIKFFBC17CA,坡道平面,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTNMLLKJIKFFCC37CA,升降機械,0,
RPTOMLLJKIKFFCC47CA,坡道平面,0,
RPPNMLRKJIKFFCC57CA,坡道平面,0,
RPXNMLSKJIKFFBC38CA,升降機械,0,
RPRNMLKKJIKFFCC07CA,坡道平面,1100000,26.48
RPTNMLMKJIKFFBC47DA,坡道平面,0,
RPSNMLMKJIKFFCC47DA,坡道平面,0,
RPXNMLLJKIKFFCC97EA,坡道平面,0,
RPXNMLQKJIKFFCC28CA,升降機械,0,15.05
RPROMLKKJIKFFBC07CA,坡道平面,0,41.38
RPPOMLSKJIKFFCC77CA,坡道平面,0,
RPRNMLMKJIKFFCC27CA,坡道平面,0,
RPRNMLPLJIKFFCC67CA,坡道平面,0,38.46
RPOOMLNJKIKFFCC17CA,升降平面,1000000,35.21
RPQOMLNJKIKFFCC37CA,升降平面,1000000,35.21
RPROMLNJKIKFFCC47CA,升降平面,1000000,36.93
RPSOMLNJKIKFFCC57CA,升降平面,1000000,36.93
RPTOMLNJKIKFFCC67CA,升降平面,1000000,36.93
RPPPMLNJKIKFFCC37CA,升降平面,1000000,36.93
RPRNMLNKJIKFFCC57EA,坡道平面,0,
RPRNMLOJKIKFFCC47CA,坡道平面,0,
RPVNMLMKJIKFFBC57CA,坡道平面,400000,45.95
RPUNMLRKJIKFFCC18DA,坡道平面,0,
RPTNMLKLJIKFFCC47DA,坡道平面,0,14.07
RPQNMLSKJIKFFBC87EA,坡道平面,0,
RPQNMLPKKIKFFBC57DA,坡道平面,0,
RPQNMLTKJIKFFCC87CA,坡道平面,0,
RPSNMLOJKIKFFCC57CA,坡道平面,0,
RPTNMLQKJIKFFCC87CA,坡道平面,0,24.02
RPTNMLQKJIKFFCC87CA,坡道平面,0,24.02
