鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,10402,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,9900000,71387,坡道平面,29.1,1300000,,RPUNMLNJJIKFFCC67CB
七堵區,房地(土地+建物),大華段1201~1230地號,34.97,住,,,10305,土地2建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.47,3,2,2,有,無,9300000,77198,,0.0,0,,RPTOMLNJJIKFFCC67CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,10303,土地2建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10300000,74707,坡道平面,29.1,1300000,,RPUOMLNJJIKFFCC77CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,10401,土地2建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10880000,79522,坡道平面,29.1,1300000,,RPOPMLNJJIKFFCC27CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,10402,土地2建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,11050000,80103,坡道平面,29.1,1400000,,RPTPMLNJJIKFFCC77CB
七堵區,房地(土地+建物),大華段1201~1230地號,34.97,住,,,10402,土地2建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.47,3,2,2,有,無,9200000,76368,,0.0,0,,RPUPMLNJJIKFFCC87CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,10402,土地2建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.17,3,2,2,有,無,10550000,77613,坡道平面,30.7,1200000,,RPWPMLNJJIKFFCC08CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,10402,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10820000,79024,坡道平面,29.1,1300000,,RPXPMLNJJIKFFCC18CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,10405,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10980000,78692,坡道平面,29.1,1500000,,RPOQMLNJJIKFFCC37CB
七堵區,房地(土地+建物)+車位,大華段1201~1230地號,35.16,住,,,10402,土地2建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.57,3,2,2,有,無,10930000,79937,坡道平面,29.1,1300000,,RPPQMLNJJIKFFCC47CB
