鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中西區,房地(土地+建物),臺南市中西區大德街91~120號,87.0,商,,,10409,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0470420,63.82,5,2,2,有,無,5100000,79912,,0.0,0,含增建,RPQOMLMJJIKFFAD07CA
中西區,房地(土地+建物)+車位,臺南市中西區湖美街60巷1~30號,30.07,其他,,,10410,土地1建物1車位1,一層，二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0871203,220.13,4,3,3,有,有,8580000,38977,坡道平面,0.0,0,,RPPNMLNJJIKFFAD96CA
安平區,房地(土地+建物),臺南市安平區安北路31~60號,109.0,住,,,10410,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0670509,271.31,7,2,4,有,無,10000000,36858,,0.0,0,,RPTNMLNJJIKFFAD37CA
中西區,房地(土地+建物),臺南市中西區忠義路二段181~210號,4.25,商,,,10410,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691203,33.72,1,0,1,有,有,1200000,35587,,0.0,0,,RPVNMLNJJIKFFAD57CA
中西區,房地(土地+建物),臺南市中西區府前路一段359巷1~30號,17.33,商,,,10410,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840506,105.66000000000001,3,2,2,有,無,3700000,35018,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUOMLNJJIKFFAD57CA
安平區,房地(土地+建物),臺南市安平區育平路211~240號,5.37,住,,,10410,土地1建物1車位0,十五層,十七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840729,48.0,1,1,1,有,有,1800000,37500,,0.0,0,,RPOOMLOJJIKFFAD07CA
安平區,房地(土地+建物),臺南市安平區怡平里建平十七街151~180號,2.92,商,,,10410,土地1建物1車位0,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841121,33.849999999999994,1,0,1,有,有,900000,26588,,0.0,0,,RPQNMLPJJIKFFAD27CA
北區,房地(土地+建物),臺南市北區公園南路331~360號,8.73,其他,,,10410,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971219,78.77,2,2,1,有,有,4500000,57128,,0.0,0,,RPRNMLPJJIKFFAD37CA
北區,房地(土地+建物),臺南市北區成功路40巷1~30號,78.0,商,,,10409,土地7建物1車位0,一層，二層，三層，地下層,三層,店面(店鋪),住商用,加強磚造,0640520,184.48,3,2,4,有,無,8500000,46075,,0.0,0,(包含)公共設施保留地之交易。,RPRNMLQJJIKFFAD47CA
安平區,房地(土地+建物),臺南市安平區健康三街592巷31~60號,5.52,商,,,10410,土地1建物1車位0,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861022,110.35,3,2,2,有,有,3100000,28092,,0.0,0,,RPSNMLQJJIKFFAD57CA
