編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNJJIKFFAF27CA,34,55.00,住家用,加強磚造,71年2月20日,二層,一層 二層
RPSNMLNJJIKFFAF47CA,,78.64,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,七層
RPSNMLNJJIKFFAF47CA,,47.46,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPUNMLNJJIKFFAF67CA,,78.64,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,十三層
RPUNMLNJJIKFFAF67CA,,47.46,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPUNMLNJJIKFFAF67CA,,1.60,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPWNMLNJJIKFFAF87CA,,62.68,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,六層
RPWNMLNJJIKFFAF87CA,,36.12,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPWNMLNJJIKFFAF87CA,,1.60,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPXNMLNJJIKFFAF97CA,,62.68,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,八層
RPXNMLNJJIKFFAF97CA,,36.12,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPXNMLNJJIKFFAF97CA,,1.60,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPPOMLNJJIKFFAF27CA,,62.68,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,九層
RPPOMLNJJIKFFAF27CA,,36.12,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPPOMLNJJIKFFAF27CA,,1.60,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPQOMLNJJIKFFAF37CA,,62.68,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,十層
RPQOMLNJJIKFFAF37CA,,36.12,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPQOMLNJJIKFFAF37CA,,1.60,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPSOMLNJJIKFFAF57CA,,67.86,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,三層
RPSOMLNJJIKFFAF57CA,,38.26,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPTOMLNJJIKFFAF67CA,,67.86,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,十三層
RPTOMLNJJIKFFAF67CA,,38.26,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPVOMLNJJIKFFAF87CA,,41.67,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,九層
RPVOMLNJJIKFFAF87CA,,24.47,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPPPMLNJJIKFFAF37CA,,67.86,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,十二層
RPPPMLNJJIKFFAF37CA,,38.26,見其他登記事項,鋼筋混凝土造,104年8月26日,十五層,
RPPQMLNJJIKFFAF47CA,22,58.13,住家用,鋼筋混凝土造,83年2月1日,十三層,十一層
RPPQMLNJJIKFFAF47CA,22,1.48,共有部份,鋼筋混凝土造,83年2月1日,十三層,
RPPQMLNJJIKFFAF47CA,22,7.65,共有部份,鋼筋混凝土造,83年2月1日,十三層,
RPSRMLNJJIKFFAF87CA,20,6.05,共有部份,鋼筋混凝土造,84年8月30日,七層,
RPSRMLNJJIKFFAF87CA,20,70.62,住家用,鋼筋混凝土造,84年8月30日,七層,三層
RPRPMLOJJIKFFAF67CA,,83.46,見使用執照,鋼筋混凝土造,,五層,一層
RPXPMLOJJIKFFAF28CA,7,56.87,住家用,鋼筋混凝土造,97年11月19日,二十四層,十四層
RPXPMLOJJIKFFAF28CA,7,10.67,共有部份,鋼筋混凝土造,97年11月19日,二十四層,
RPXPMLOJJIKFFAF28CA,7,3.70,共有部份,鋼筋混凝土造,97年11月19日,二十四層,
RPXPMLOJJIKFFAF28CA,7,15.98,共有部份,鋼筋混凝土造,97年11月19日,二十四層,
RPXOMLPJJIKFFAF28CA,,69.88,住家用,加強磚造,,四層,四層
RPQPMLPJJIKFFAF67CA,32,131.52,住家用,鋼筋混凝土造,72年5月21日,十一層,十一層
RPQPMLPJJIKFFAF67CA,32,22.06,共有部份,鋼筋混凝土造,72年5月21日,十一層,
RPQPMLPJJIKFFAF67CA,32,26.43,共有部份,鋼筋混凝土造,72年5月21日,十一層,
RPUNMLQJJIKFFAF97CA,22,92.51,住家用,鋼筋混凝土造,82年3月18日,十二層,六層
RPUNMLQJJIKFFAF97CA,22,17.86,共有部份,鋼筋混凝土造,82年3月18日,十二層,
RPRNMLTJJIKFFAF97CA,37,54.60,住家用,鋼筋混凝土造,68年1月9日,五層,三層
RPOPMLLKJIKFFAF17CA,17,83.94,住家用,鋼筋混凝土造,87年11月23日,二十層,八層
RPOPMLLKJIKFFAF17CA,17,1.83,見其他登記事項,鋼筋混凝土造,87年11月23日,二十層,
RPOPMLLKJIKFFAF17CA,17,3.05,見其他登記事項,鋼筋混凝土造,87年11月23日,二十層,
RPOPMLLKJIKFFAF17CA,17,23.05,見其他登記事項,鋼筋混凝土造,87年11月23日,二十層,
RPVPMLLKJIKFFAF87CA,,56.84,住家用,加強磚造,,四層,一層
RPWNMLMKJIKFFAF87CA,,77.22,住家用,鋼筋混凝土造,,七層,四層
RPWNMLMKJIKFFAF87CA,,11.23,共有部份,鋼筋混凝土造,,八層,
RPWNMLMKJIKFFAF87CA,,6.06,共有部份,鋼筋混凝土造,,八層,
RPQNMLTLJIKFFAF08CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十一層
RPQNMLTLJIKFFAF08CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPQNMLTLJIKFFAF08CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPQNMLTLJIKFFAF08CA,,35.27,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPRNMLTLJIKFFAF18CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十二層
RPRNMLTLJIKFFAF18CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPRNMLTLJIKFFAF18CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPRNMLTLJIKFFAF18CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSNMLTLJIKFFAF28CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十三層
RPSNMLTLJIKFFAF28CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSNMLTLJIKFFAF28CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSNMLTLJIKFFAF28CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTNMLTLJIKFFAF38CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十四層
RPTNMLTLJIKFFAF38CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTNMLTLJIKFFAF38CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTNMLTLJIKFFAF38CA,,81.40,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUNMLTLJIKFFAF48CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十五層
RPUNMLTLJIKFFAF48CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUNMLTLJIKFFAF48CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUNMLTLJIKFFAF48CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVNMLTLJIKFFAF58CA,,117.31,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,二層
RPVNMLTLJIKFFAF58CA,,31.81,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVNMLTLJIKFFAF58CA,,18.94,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVNMLTLJIKFFAF58CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPWNMLTLJIKFFAF68CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,三層
RPWNMLTLJIKFFAF68CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPWNMLTLJIKFFAF68CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPWNMLTLJIKFFAF68CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXNMLTLJIKFFAF78CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,四層
RPXNMLTLJIKFFAF78CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXNMLTLJIKFFAF78CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXNMLTLJIKFFAF78CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOOMLTLJIKFFAF97CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,六層
RPOOMLTLJIKFFAF97CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOOMLTLJIKFFAF97CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOOMLTLJIKFFAF97CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPOMLTLJIKFFAF08CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,七層
RPPOMLTLJIKFFAF08CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPOMLTLJIKFFAF08CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPOMLTLJIKFFAF08CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPQOMLTLJIKFFAF18CA,,116.73,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,八層
RPQOMLTLJIKFFAF18CA,,31.68,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPQOMLTLJIKFFAF18CA,,18.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPQOMLTLJIKFFAF18CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPROMLTLJIKFFAF28CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十層
RPROMLTLJIKFFAF28CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPROMLTLJIKFFAF28CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPROMLTLJIKFFAF28CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSOMLTLJIKFFAF38CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十一層
RPSOMLTLJIKFFAF38CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSOMLTLJIKFFAF38CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSOMLTLJIKFFAF38CA,,35.27,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTOMLTLJIKFFAF48CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十三層
RPTOMLTLJIKFFAF48CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTOMLTLJIKFFAF48CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTOMLTLJIKFFAF48CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUOMLTLJIKFFAF58CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十四層
RPUOMLTLJIKFFAF58CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUOMLTLJIKFFAF58CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUOMLTLJIKFFAF58CA,,35.27,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVOMLTLJIKFFAF68CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十五層
RPVOMLTLJIKFFAF68CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVOMLTLJIKFFAF68CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVOMLTLJIKFFAF68CA,,75.98,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXOMLTLJIKFFAF88CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,五層
RPXOMLTLJIKFFAF88CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXOMLTLJIKFFAF88CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXOMLTLJIKFFAF88CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOPMLTLJIKFFAF08CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,六層
RPOPMLTLJIKFFAF08CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOPMLTLJIKFFAF08CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOPMLTLJIKFFAF08CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPPMLTLJIKFFAF18CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,七層
RPPPMLTLJIKFFAF18CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPPMLTLJIKFFAF18CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPPMLTLJIKFFAF18CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXPMLTLJIKFFAF98CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,三層
RPXPMLTLJIKFFAF98CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXPMLTLJIKFFAF98CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXPMLTLJIKFFAF98CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOQMLTLJIKFFAF18CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,四層
RPOQMLTLJIKFFAF18CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOQMLTLJIKFFAF18CA,,13.84,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOQMLTLJIKFFAF18CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPQMLTLJIKFFAF28CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,五層
RPPQMLTLJIKFFAF28CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPQMLTLJIKFFAF28CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPQMLTLJIKFFAF28CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPQQMLTLJIKFFAF38CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,六層
