編號,車位類別,車位價格,車位面積平方公尺
RPUNMLNJJIKFFAF67CA,坡道平面,1800000,1.60
RPWNMLNJJIKFFAF87CA,坡道平面,1500000,1.60
RPXNMLNJJIKFFAF97CA,坡道平面,1500000,1.60
RPPOMLNJJIKFFAF27CA,坡道平面,1700000,1.60
RPQOMLNJJIKFFAF37CA,坡道平面,1700000,1.60
RPQNMLTLJIKFFAF08CA,坡道平面,1250000,35.27
RPRNMLTLJIKFFAF18CA,坡道平面,1150000,40.70
RPSNMLTLJIKFFAF28CA,坡道平面,1150000,40.70
RPTNMLTLJIKFFAF38CA,坡道平面,1350000,40.70
RPTNMLTLJIKFFAF38CA,坡道平面,1350000,40.70
RPUNMLTLJIKFFAF48CA,坡道平面,1350000,40.70
RPVNMLTLJIKFFAF58CA,坡道平面,1350000,40.70
RPWNMLTLJIKFFAF68CA,坡道平面,1350000,40.70
RPXNMLTLJIKFFAF78CA,坡道平面,1350000,40.70
RPOOMLTLJIKFFAF97CA,坡道平面,1150000,40.70
RPPOMLTLJIKFFAF08CA,坡道平面,1150000,40.70
RPQOMLTLJIKFFAF18CA,坡道平面,1350000,40.70
RPROMLTLJIKFFAF28CA,坡道平面,1010000,40.70
RPSOMLTLJIKFFAF38CA,坡道平面,1150000,35.27
RPTOMLTLJIKFFAF48CA,坡道平面,1150000,40.70
RPUOMLTLJIKFFAF58CA,坡道平面,1050000,35.27
RPVOMLTLJIKFFAF68CA,坡道平面,1250000,35.27
RPVOMLTLJIKFFAF68CA,坡道平面,1350000,40.70
RPXOMLTLJIKFFAF88CA,坡道平面,1350000,40.70
RPOPMLTLJIKFFAF08CA,坡道平面,1150000,40.70
RPPPMLTLJIKFFAF18CA,坡道平面,1150000,40.70
RPXPMLTLJIKFFAF98CA,坡道平面,1100000,40.70
RPOQMLTLJIKFFAF18CA,坡道平面,1230000,40.70
RPPQMLTLJIKFFAF28CA,坡道平面,1230000,40.70
RPQQMLTLJIKFFAF38CA,坡道平面,1230000,40.70
RPRQMLTLJIKFFAF48CA,坡道平面,1350000,40.70
RPSQMLTLJIKFFAF58CA,坡道平面,1110000,40.70
RPSPMLTLJIKFFAF48CA,坡道平面,1250000,40.70
RPTPMLTLJIKFFAF58CA,坡道平面,1250000,40.70
RPUPMLTLJIKFFAF68CA,坡道平面,1150000,40.70
RPVPMLTLJIKFFAF78CA,坡道平面,1150000,40.70
RPROMLNJJIKFFBF57CA,坡道平面,0,
RPUOMLTJJIKFFBF48CA,坡道平面,0,25.16
RPUOMLTJJIKFFBF48CA,坡道平面,0,25.16
