鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮博愛路100巷1~30號,37.0,住,,,10409,土地2建物1車位0,三層,,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620625,72.26,4,0,1,有,無,3650000,50512,,0.0,0,賣方頂樓已有興建未保存登記部份約56.34平方公尺,RPUOMLNJJIKFFAG87CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威二路65巷1~30號,94.0,,特定農業區,甲種建築用地,10409,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1040416,161.21,4,2,4,有,無,8170000,50679,,0.0,0,,RPWPMLNJJIKFFAG18CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威二路65巷1~30號,93.0,,特定農業區,甲種建築用地,10409,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1040416,161.21,4,2,4,有,無,8170000,50679,,0.0,0,,RPXPMLNJJIKFFAG28CA
冬山鄉,土地,梅花段121~150地號,118.0,,特定農業區,甲種建築用地,10408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,21186,,0.0,0,,RPTNMLSJJIKFFAG18CA
冬山鄉,土地,南富段391~420地號,2343.0,,特定農業區,農牧用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,3414,,0.0,0,,RPRPMLKKJIKFFAG47CA
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮純精路二段91~120號,8.33,住,,,10405,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970602,100.67,1,1,1,有,有,2800000,27814,升降機械,0.0,0,,RPQOMLMKJIKFFAG47CA
蘇澳鎮,房地(土地+建物),宜蘭縣羅東鎮南安路1~30號,42.5,商,,,10410,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0780412,100.06,5,2,2,有,無,3500000,34979,,0.0,0,兄弟間買買。,RPRNMLKLJIKFFAG37CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿女中路二段415巷1~30號,110.4,住,,,10410,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040825,257.31,5,2,4,有,無,17200000,66845,,0.0,0,,RPUOMLOJJIKFFBG08CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿大坡路一段31~60號,19.77,商,,,10410,土地3建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830414,181.49,3,2,2,有,有,4900000,26999,,0.0,0,,RPXOMLOJJIKFFBG38CA
礁溪鄉,土地,三皇段721~750地號,49.71,工,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750621,15100,,0.0,0,,RPUOMLNJJIKFFBG97CA
礁溪鄉,土地,龍泉段721~750地號,219.99,農,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1319940,6000,,0.0,0,,RPVOMLNJJIKFFBG08CA
宜蘭市,土地,延平段511~540地號,887.0,農,,,10409,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6700000,7554,,0.0,0,1.土地為配建2.含未保存登記建物一棟,面積:238.3平方公尺3.建物由買方出資興建,RPQNMLOJJIKFFBG57CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉三鬮路199巷1~30號,127.83,,特定農業區,甲種建築用地,10410,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040907,197.94,4,2,5,有,無,9500000,47994,,0.0,0,1、本案為預售屋，私契日期:104.4.17      2、該持分土地係無價金提供承買人作為道路通行之用。,RPUNMLTJJIKFFBG48CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉三鬮路199巷1~30號,116.83,,特定農業區,甲種建築用地,10410,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040907,186.01,4,2,5,有,無,9500000,51073,,0.0,0,1、本案為預售屋，私契日期:103.10.13      2、該持分土地係無價金提供承買人作為道路通行之用。,RPVNMLTJJIKFFBG58CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮南興街1~30號,115.21,住,,,10410,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680503,136.94,3,2,2,有,無,3900000,28480,,0.0,0,稅款由權利人繳納,RPTNMLKKJIKFFBG57CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉份尾一路1~30號,116.0,,鄉村區,乙種建築用地,10410,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030814,211.29,5,2,3,有,無,10650000,50405,,0.0,0,,RPQNMLOKJIKFFBG67CA
員山鄉,土地,深洲段211~240地號,3699.1,,特定農業區,農牧用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12500000,3379,,0.0,0,,RPUOMLRKJIKFFBG48CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉賢德路一段97巷1~30號,1450.05,,特定農業區,農牧用地,10410,土地1建物1車位0,一層，二層，三層，見其他登記事項,三層,農舍,見其他登記事項,鋼筋混凝土造,1040706,334.7,5,3,5,有,無,21000000,,,0.0,0,,RPOPMLNLJIKFFBG67CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮隘界路290巷31~60號,76.65,住,,,10410,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0840315,167.9,4,1,3,有,無,4550000,27099,,0.0,0,本案有未辦保存登記之建物第一層面積19.20平方公尺,RPUNMLPJJIKFFAG18EA
五結鄉,土地,保昌段31~60地號,193.97,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19469000,100371,,0.0,0,向宜蘭縣政府承購,RPWOMLPJJIKFFAG48EA
五結鄉,土地,保昌段31~60地號,189.86,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14421988,75961,,0.0,0,向宜蘭縣政府承購,RPWNMLQJJIKFFAG48EA
蘇澳鎮,土地,頂寮段631~660地號,5384.31,,工業區,丁種建築用地,10410,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,49804868,9250,,0.0,0,向經濟部承購,RPTPMLRKJIKFFAG58EA
