編號,車位類別,車位價格,車位面積平方公尺
RPQOMLMKJIKFFAG47CA,升降機械,0,
RPOPMLOJJIKFFBG67DA,坡道平面,0,
RPQNMLRJJIKFFBG87CA,坡道平面,0,
RPOPMLOJKIKFFBG67CA,坡道平面,0,27.97
RPPNMLTJJIKFFBG18EA,坡道機械,0,
RPPOMLRJKIKFFBG97CA,升降機械,0,27.97
RPVOMLOJKIKFFBG28CA,坡道平面,0,27.97
RPSOMLLKJIKFFBG67CA,坡道平面,0,
RPUOMLNLJIKFFBG18CA,升降機械,150000,
RPSNMLNKJIKFFAG67CA,一樓平面,0,
RPSOMLLKJIKFFAG57CA,坡道平面,0,
RPSQMLRKJIKFFAG38CA,其他,0,
RPOPMLLKJIKFFBG37CA,坡道平面,0,
RPSNMLMKJIKFFBG67CA,一樓平面,0,
RPVPMLSKJIKFFAG68CA,一樓平面,0,
RPPOMLMKJIKFFAG37CA,坡道平面,0,
RPPOMLNKJIKFFAG47CA,其他,0,
RPSOMLSKJIKFFBG38CA,一樓平面,0,
RPUOMLPLJIKFFAG28CA,坡道平面,0,
