鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
宜蘭市,房地(土地+建物),宜興段121~150地號,121.64,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,245.66,4,2,5,有,無,14580000,59350,,0.0,0,,RPUOMLLKJIKFFBG08DB
宜蘭市,房地(土地+建物),宜興段121~150地號,118.12,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,245.66,4,2,5,有,無,13980000,56908,,0.0,0,,RPVOMLLKJIKFFBG18DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,197.24,3,2,4,有,無,10330000,52373,,0.0,0,,RPWOMLLKJIKFFBG28DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,11000000,55157,,0.0,0,,RPXOMLLKJIKFFBG38DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10650000,53402,,0.0,0,,RPPPMLLKJIKFFBG67DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10500000,52650,,0.0,0,,RPQPMLLKJIKFFBG77DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10500000,52650,,0.0,0,,RPRPMLLKJIKFFBG87DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10600000,53151,,0.0,0,,RPSPMLLKJIKFFBG97DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10250000,51396,,0.0,0,,RPTPMLLKJIKFFBG08DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10600000,53151,,0.0,0,,RPUPMLLKJIKFFBG18DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10500000,52650,,0.0,0,,RPPNMLMKJIKFFBG57DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10400000,52149,,0.0,0,,RPQNMLMKJIKFFBG67DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10400000,52149,,0.0,0,,RPRNMLMKJIKFFBG77DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10301,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10500000,52650,,0.0,0,,RPTNMLMKJIKFFBG97DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.94,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,199.43,3,2,4,有,無,10800000,54154,,0.0,0,,RPUNMLMKJIKFFBG08DB
宜蘭市,房地(土地+建物),宜興段121~150地號,92.98,住,,,10212,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,196.98,3,2,4,有,無,10800000,54828,,0.0,0,,RPVNMLMKJIKFFBG18DB
