編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRPMLNJJIKFFAG87CC,10,207.61,見其他登記事項,鋼筋混凝土造,94年6月9日,三層,
RPOPMLNJJIKFFBG67CC,17,85.86,住家用,鋼筋混凝土造,88年3月31日,七層,
RPQNMLOJJIKFFAG67CC,2,36.45,見其他登記事項,鋼筋混凝土造,102年4月15日,一層,
RPSOMLTJJIKFFBG58CC,20,115.78,住家用,鋼筋混凝土造,84年4月10日,八層,
RPRPMLTJJIKFFAG68EC,43,339.37,住商用,鋼筋混凝土加強磚造,62年4月1日,四層,
RPUNMLKKJIKFFAG77CC,2,36.45,見其他登記事項,鋼筋混凝土造,102年4月15日,一層,
RPSNMLMKJIKFFAG77CC,17,111.55,見其他登記事項,鋼筋混凝土造,87年6月2日,四層,
RPUNMLMKJIKFFAG97CC,25,109.15,住家用,鋼筋混凝土加強磚造,80年2月4日,二層,
RPXPMLMKJIKFFBG58CC,4,11.92,見其他登記事項,鋼筋混凝土造,100年12月23日,四層,
RPTNMLNKJIKFFAG97CC,39,239.39,住家用,鋼筋混凝土加強磚造,65年6月14日,三層,
