鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
關西鎮,土地,東安段781~810地號,2.42,其他,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,33058,,0.0,0,,RPPPMLMJJIKFFBJ77CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功六街211~240號,37.51,住,,,10410,土地1建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980113,259.79999999999995,4,2,2,有,有,14600000,56197,坡道平面,65.02,0,,RPUTMLNJJIKFFBJ78CA
竹北市,房地(土地+建物),新竹縣竹北市光明二街84巷61~90號,79.4,住,,,10409,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0880901,226.25,5,2,3,有,無,13330000,58917,,0.0,0,,RPRNMLOJJIKFFBJ97CA
竹北市,車位,新竹縣竹北市六家五路一段211~240號,0.0,,,,10410,土地0建物0車位1,,,其他,,,,12.29,0,0,0,有,有,530000,,坡道機械,12.29,530000,,RPTOMLOJJIKFFBJ28CA
竹北市,車位,新竹縣竹北市六家五路一段211~240號,0.0,,,,10410,土地0建物0車位1,,,其他,,,,12.29,0,0,0,有,有,350000,,坡道機械,12.29,350000,,RPUOMLOJJIKFFBJ38CA
新埔鎮,土地,義民段1711~1740地號,533.12,,特定農業區,甲種建築用地,10409,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,11255,,0.0,0,,RPVOMLOJJIKFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東二段451~480號,50.97,商,,,10410,土地1建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991230,474.9,4,2,4,有,有,39880000,83976,坡道平面,86.46,0,,RPQNMLPJJIKFFBJ97CA
新埔鎮,土地,福德段151~180地號,89.74,住,,,10409,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2508660,27955,,0.0,0,,RPRNMLPJJIKFFBJ08CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐十一路二段127巷1~30號,50.5,住,,,10409,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000531,332.07,4,2,2,有,有,21200000,63842,坡道平面,0.0,0,,RPTOMLPJJIKFFBJ38CA
竹北市,房地(土地+建物),新竹縣竹北市縣政一街121~150號,9.25,住,,,10410,土地1建物1車位0,五層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890906,32.26,1,1,1,有,有,1500000,46497,,0.0,0,,RPOQMLQJJIKFFBJ18CA
新埔鎮,房地(土地+建物),新竹縣新埔鎮楊新路一段131巷1弄1~30號,114.85,住,,,10410,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0960604,176.37,4,3,4,有,無,7800000,44225,,0.0,0,,RPWNMLKKJIKFFBJ18CA
竹北市,房地(土地+建物),新竹縣竹北市博愛街511~540號,2.86,商,,,10410,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810731,26.13,0,0,0,無,有,1200000,45924,,0.0,0,共有人2人親友、員工或其他特殊關係間之交易。,RPWNMLMKJIKFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路241~270號,14.34,商,,,10107,土地1建物1車位1,六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417,181.45,3,2,2,有,有,11350000,68227,坡道平面,29.75,1000000,,RPROMLMKJIKFFBJ97CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路241~270號,15.33,商,,,10211,土地1建物1車位2,二十四層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417,212.21,3,2,2,有,有,13250000,71377,坡道平面,59.5,2350000,,RPSOMLMKJIKFFBJ08CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路241~270號,14.34,商,,,10107,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417,182.41,3,2,2,有,有,10680000,63405,坡道平面,29.75,1000000,,RPTOMLMKJIKFFBJ18CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路241~270號,15.33,商,,,10209,土地1建物1車位2,二十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417,210.17000000000002,3,2,2,有,有,13500000,74335,坡道平面,59.5,2300000,,RPVOMLMKJIKFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政八街68巷1~30號,25.44,住,,,10409,土地1建物2車位2,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960731,306.69,4,2,2,有,有,15700000,51193,坡道平面,0.0,0,,RPWNMLQKJIKFFBJ78CA
竹北市,房地(土地+建物),新竹縣竹北市縣政三街1~30號,16.34,商,,,10410,土地2建物2車位0,六層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,,91.16,2,2,2,有,無,1530000,16784,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLSKJIKFFBJ58CA
竹北市,房地(土地+建物),新竹縣竹北市新溪街292巷66弄1~30號,153.67,,特定農業區,甲種建築用地,10410,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1031229,456.27,5,3,7,有,無,21000000,46025,,0.0,0,,RPQNMLKLJIKFFBJ67CA
