鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
苗栗市,房地(土地+建物),苗栗縣苗栗巿恭敬里7鄰恭敬路121~150號,79.0,住,,,10410,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,88.36,7,1,3,有,無,4600000,52060,,0.0,0,,RPTNMLPJJIKFFBK38CA
苗栗市,土地,嘉盛段871~900地號,483.0,,河川區,農牧用地,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1570000,3251,,0.0,0,,RPTNMLQKJIKFFBK58CA
通霄鎮,土地,土城段721~750地號,4425.0,,一般農業區,農牧用地,10409,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,1153,,0.0,0,,RPQNMLNJJIKFFCK97CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮大庄里5鄰大庄1~30號,72.23,住,,,10410,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830914,174.44,4,2,3,有,無,6150000,35256,,0.0,0,,RPOPMLNJJIKFFDK08CA
竹南鎮,土地,竹南段二小段331~360地號,115.0,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8696875,75625,,0.0,0,,RPQPMLNJJIKFFDK28CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮正南里3鄰環市路一段138巷2弄1~30號,13.63,住,,,10409,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841125,145.73,4,2,2,有,無,5000000,34310,,0.0,0,,RPRPMLNJJIKFFDK38CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮新南里7鄰新南街110巷1~30號,31.69,住,,,10410,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001014,118.06,3,2,2,有,有,5800000,49128,一樓平面,0.0,0,,RPOOMLQJJIKFFDK28CA
造橋鄉,土地,東興段781~810地號,11.42,,山坡地保育區,暫未編定,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,90000,7881,,0.0,0,畸零地或有合併使用之交易。,RPPOMLQJJIKFFDK38CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮中華里16鄰南榮街1~30號,19.44,住,,,10410,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820618,120.67,3,2,2,有,無,1600000,13259,,0.0,0,母子關係間之交易。,RPPNMLMKJIKFFDK97CA
造橋鄉,土地,劍潭段451~480地號,260.3,,鄉村區,乙種建築用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3140000,12063,,0.0,0,,RPTNMLPLJIKFFDK78CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里1鄰科專五路287巷1~30號,139.83,住,,,10410,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040525,229.97,4,2,4,有,無,13000000,56529,,0.0,0,,RPXNMLPLJIKFFDK56CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里1鄰科專五路287巷1~30號,139.83,住,,,10410,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040525,229.97,4,2,4,有,無,13000000,56529,,0.0,0,,RPPNMLRLJIKFFDK58CA
三義鄉,土地,拐子湖段181~210地號,2781.32,,山坡地保育區,農牧用地,10409,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13461440,4840,,0.0,0,,RPVNMLPJJIKFFEK88CA
三義鄉,土地,拐子湖段181~210地號,3275.91,,山坡地保育區,農牧用地,10409,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15855360,4840,,0.0,0,,RPWNMLPJJIKFFEK98CA
