鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
和美鎮,房地(土地+建物),彰化縣和美鎮克東路120巷1~30號,88.51,,特定農業區,甲種建築用地,10410,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0830204,94.32,4,2,2,有,無,4200000,44529,,0.0,0,,RPWNMLNLJIKFFBN98CA
鹿港鎮,土地,建國段151~180地號,58.18,住,,,10408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,51564,,0.0,0,,RPVNMLNJJIKFFCN78CA
鹿港鎮,土地,山崙段661~690地號,549.49,,一般農業區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,1001,,0.0,0,,RPWNMLNJJIKFFCN88CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮海浴路181~210號,39.27,住,,,10410,土地1建物1車位0,一層，二層，騎樓，地下層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850418,199.75,1,1,2,有,無,4000000,20025,,0.0,0,備註：含未辦保存登記。,RPPNMLOJJIKFFCN28CA
福興鄉,土地,福新段991~1020地號,97.61,,鄉村區,乙種建築用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,6147,,0.0,0,,RPRNMLOJJIKFFCN48CA
福興鄉,土地,福新段991~1020地號,96.7,,鄉村區,乙種建築用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,6205,,0.0,0,,RPSNMLOJJIKFFCN58CA
福興鄉,土地,新生段1501~1530地號,2500.0,,特定農業區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,4400,,0.0,0,,RPPNMLLKJIKFFCN08CA
線西鄉,土地,中興段961~990地號,517.26,農,,,10410,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2379377,4600,,0.0,0,二等親買賣,RPQNMLOJJIKFFBN28CA
芬園鄉,土地,嘉興段331~360地號,1080.0,,特定農業區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10200000,9444,,0.0,0,,RPRNMLOJJIKFFAN28CA
彰化市,房地(土地+建物)+車位,彰化縣彰化巿中正路二段841~870號,74.17,住,,,10410,土地1建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030716,199.99,5,3,6,有,無,23000000,115006,一樓平面,0.0,0,,RPRNMLPJJIKFFAN38CA
彰化市,房地(土地+建物),彰化縣彰化巿四維路61~90號,63.0,商,,,10409,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0670227,164.01,4,3,5,有,無,2707200,16506,,0.0,0,二親等間買賣，以公告現值計算價金,RPSNMLSKJIKFFAN88CA
彰化市,土地,南郭段南郭小段121~150地號,53.0,住,,,10409,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,113208,,0.0,0,,RPRNMLKLJIKFFAN08CA
彰化市,房地(土地+建物),彰化縣彰化巿茄苳路一段245巷1~30號,22.55,其他,,,10410,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850506,139.72,3,2,2,有,有,4700000,33639,,0.0,0,部份住宅區部份道路用地,RPPOMLKLJIKFFAN97CA
員林鎮,房地(土地+建物),彰化縣員林市大同路二段74巷1~30號,84.0,住,,,10410,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0731126,111.32,5,2,3,有,無,4800000,43119,,0.0,0,,RPPNMLNJJIKFFDN28CA
鹿港鎮,土地,鹿昇段811~840地號,2072.29,,特定農業區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10154200,4900,,0.0,0,,RPUNMLKLJIKFFCN58CA
永靖鄉,土地,東寧段151~180地號,2387.0,,特定農業區,農牧用地,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12050000,5048,,0.0,0,,RPOOMLKKJIKFFDN08CA
員林鎮,土地,復興段541~570地號,26.7,其他,,,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,11985,,0.0,0,公共設施保留地之交易。,RPWNMLNKJIKFFDN09CA
大村鄉,土地,南勢段301~330地號,86.34,住,,,10410,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1304235,15106,,0.0,0,,RPTOMLQLJIKFFDN66CA
田中鎮,土地,新民段1201~1230地號,69.58,住,,,10410,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,14372,,0.0,0,,RPPNMLPJJIKFFEN58CA
田中鎮,土地,大社段61~90地號,1867.0,,特定農業區,農牧用地,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10600000,5678,,0.0,0,,RPVNMLPJJIKFFEN56CA
田中鎮,房地(土地+建物),彰化縣田中鎮民權街58巷1~30號,77.92,住,,,10410,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750207,80.48,3,2,2,有,無,2000000,24851,,0.0,0,,RPUNMLLKJIKFFEN78CA
二林鎮,房地(土地+建物),彰化縣二林鎮二溪路七段554巷1~30號,112.0,,特定農業區,丁種建築用地,10410,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0810703,170.93,4,2,2,有,無,3380000,19774,,0.0,0,,RPTNMLNKJIKFFGN09CA
溪湖鎮,土地,西安段781~810地號,2981.0,,特定農業區,農牧用地,10410,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10824000,3631,,0.0,0,,RPRNMLOJJIKFFHN98CA
埔鹽鄉,土地,石埤段301~330地號,411.83,,鄉村區,乙種建築用地,10409,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,1336,,0.0,0,共有土地買賣,RPTNMLOJJIKFFHN56CA
埔鹽鄉,土地,光明段2461~2490地號,1900.0,,特定農業區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2850000,1500,,0.0,0,有民情風俗因素之交易。,RPQNMLSKJIKFFHN76CA
