鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物),新竹市新竹巿自由路95巷18弄31~60號,127.0,商,,,10410,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0920113,561.81,16,0,16,有,無,30000000,53399,,0.0,0,,RPWNMLNJJIKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈祥路61~90號,12.69,住,,,10409,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000324,114.56,2,2,1,有,有,8350000,72881,坡道平面,22.53,0,,RPVOMLNJJIKFFAO78CA
新竹市,房地(土地+建物),新竹市新竹巿東大路一段52巷1~30號,77.67,住,,,10408,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,99.54,9,0,9,有,無,4200000,42194,,0.0,0,1.含增建或未登記建物。2.因自來水問題，賣方同意折讓新台幣貳拾萬元整，自尾款中扣除。,RPOPMLNJJIKFFAO18CA
新竹市,土地,五福段1141~1170地號,133.54,農,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4850000,36319,,0.0,0,,RPSPMLNJJIKFFAO58CA
新竹市,房地(土地+建物),新竹市新竹巿東大路四段211~240號,80.24,住,,,10410,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680314,143.81,5,3,3,有,無,16000000,111258,,0.0,0,,RPPPMLOJJIKFFAO38CA
新竹市,房地(土地+建物),新竹市新竹巿牛埔南路142巷8弄1~30號,20.32,住,,,10410,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830112,111.53,3,2,2,有,有,5200000,46624,,0.0,0,,RPRRMLOJJIKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿武陵路179巷1~30號,21.2,其他,,,10410,土地2建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890501,189.67000000000002,3,2,2,有,有,9150000,48242,坡道平面,0.0,0,,RPXRMLOJJIKFFAO76CA
新竹市,房地(土地+建物),新竹市新竹巿華江街117巷1~30號,71.98,,鄉村區,乙種建築用地,10410,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701007,93.4,4,2,2,有,無,4150000,44433,,0.0,0,,RPSRMLPJJIKFFAO98CA
新竹市,房地(土地+建物),新竹市新竹巿五福路二段781~810號,114.59,,山坡地保育區,丙種建築用地,10410,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0900430,263.09,13,0,13,有,有,15800000,60055,,0.0,0,,RPWNMLQJJIKFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東大路三段361~390號,20.0,住,,,10409,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841002,130.39000000000001,3,2,2,有,無,4200000,32211,坡道平面,0.0,0,,RPPNMLKKJIKFFAO87CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿延平路三段541~570號,49.69,住,,,10409,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0941025,140.69,3,2,2,有,有,5500000,39093,一樓平面,0.0,0,,RPVSMLKKJIKFFAO98CA
新竹市,房地(土地+建物),新竹市新竹巿東山街27巷1~30號,17.22,住,,,10409,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860531,118.32999999999998,3,1,2,有,有,8000000,67608,,0.0,0,親友特殊關係間之交易。,RPWSMLKKJIKFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿崧嶺路1~30號,34.65,住,,,10410,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0941109,139.03,3,2,2,有,有,6200000,44595,坡道平面,0.0,0,,RPVNMLLKJIKFFAO58CA
新竹市,房地(土地+建物),新竹市新竹巿湳中街65巷1~30號,17.44,住,,,10410,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.87,3,2,2,有,有,5700000,51879,,0.0,0,,RPWNMLLKJIKFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿明湖路1050巷421~450號,54.71,,山坡地保育區,丙種建築用地,10409,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870826,147.52,4,4,4,有,無,4600000,31182,坡道平面,29.87,0,,RPUOMLMKJIKFFAO68CA
新竹市,房地(土地+建物),新竹市新竹巿明湖路486巷91弄1~30號,344.44,,山坡地保育區,丙種建築用地,10409,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0730409,334.3,3,2,3,有,有,20000000,59827,,0.0,0,,RPSQMLKLJIKFFAO58CA
新竹市,房地(土地+建物),新竹市新竹巿武陵西三路1~30號,41.09,住,,,10410,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0720413,88.2,3,2,2,有,有,3000000,34014,,0.0,0,,RPVNMLPLJIKFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿埔頂二路121~150號,30.67,住,,,10409,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001130,280.58000000000004,4,2,2,有,無,16360000,58308,坡道平面,62.92,0,,RPQOMLQLJIKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿武陵路179巷1~30號,21.2,其他,,,10409,土地2建物1車位1,十三層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890501,189.67000000000002,4,2,2,有,有,8900000,46924,坡道平面,0.0,0,,RPUPMLNJJIKFFAO88DA
新竹市,房地(土地+建物),新竹市新竹巿海濱路一段361~390號,98.61,住,,,10410,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960716,218.54,4,2,4,有,無,3104717,14207,,0.0,0,,RPVPMLPJJIKFFAO56DA
新竹市,土地,東橋段181~210地號,19.17,住,,,10407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1739658,90749,,0.0,0,,RPOOMLNJJIKFFAO28EA
新竹市,房地(土地+建物),新竹市新竹巿柯湳一街80巷1~30號,63.07,,山坡地保育區,丙種建築用地,10409,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900510,82.19,4,1,4,有,無,547046,6657,,0.0,0,,RPSRMLKKJIKFFAO78EA
新竹市,房地(土地+建物),新竹市新竹巿柯湳一街80巷1~30號,63.07,,山坡地保育區,丙種建築用地,10408,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900510,80.54,4,1,4,有,無,544146,6757,,0.0,0,,RPTRMLKKJIKFFAO88EA
新竹市,土地,自由段1081~1110地號,15.0,住,,,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1023450,68230,,0.0,0,向政府機關承購之案件。,RPSNMLPJJIKFFAO78EA
新竹市,土地,古峰段61~90地號,2.74,住,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,148015,54020,,0.0,0,向政府機關承購之案件。,RPSNMLPLJIKFFAO98EA
新竹市,房地(土地+建物)+車位,新竹市新竹巿關東路178巷1~30號,13.25,住,,,10409,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850326,89.47999999999999,3,2,2,有,有,5500000,61466,坡道平面,0.0,0,,RPSOMLMKJIKFFAO48CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿志平路91~120號,55.93,,山坡地保育區,丙種建築用地,10410,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0960716,150.60000000000002,3,2,2,有,有,7550000,50133,坡道平面,23.56,0,,RPQOMLLKJIKFFAO18CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,15.2,商,,,10203,土地1建物1車位1,十三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,189.68,3,2,2,有,有,14360000,81041,坡道平面,29.76,1400000,,RPPQMLKKJIKFFAO18CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.86,商,,,10107,土地1建物1車位1,十九層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,185.18,3,2,2,有,有,13850000,81719,坡道平面,29.76,1150000,,RPQQMLKKJIKFFAO28CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,15.2,商,,,10202,土地1建物1車位1,五層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,189.68,3,2,2,有,有,13200000,75663,坡道平面,29.76,1100000,,RPRQMLKKJIKFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.98,商,,,10407,土地1建物1車位1,五層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,186.32999999999998,3,2,2,有,有,15380000,89928,坡道平面,29.76,1300000,,RPSQMLKKJIKFFAO48CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.98,商,,,10201,土地1建物1車位1,十層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,186.32999999999998,3,2,2,有,有,13200000,77920,坡道平面,29.76,1000000,,RPTQMLKKJIKFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.98,商,,,10201,土地1建物1車位1,十二層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,186.32999999999998,3,2,2,有,有,13390000,79134,坡道平面,29.76,1000000,,RPUQMLKKJIKFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.98,商,,,10211,土地1建物1車位1,二十五層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,186.32999999999998,3,2,2,有,有,15500000,90375,坡道平面,29.76,1350000,,RPVQMLKKJIKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.98,商,,,10108,土地1建物1車位1,二十三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,186.74,3,2,2,有,有,14550000,83774,坡道平面,29.76,1400000,,RPWQMLKKJIKFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.98,商,,,10108,土地1建物1車位1,十七層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,186.32999999999998,3,2,2,有,有,14580000,78248,坡道平面,29.76,0,,RPXQMLKKJIKFFAO98CA
新竹市,房地(土地+建物),新竹市新竹巿境福街61~90號,6.64,住,,,10410,土地1建物1車位0,三層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960625,38.629999999999995,1,1,1,有,無,1680000,43490,,0.0,0,,RPRNMLKKJIKFFAO08CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.64,商,,,10106,土地1建物1車位1,十七層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,182.56,3,2,2,有,有,13780000,83966,坡道平面,29.76,950000,,RPXPMLTJJIKFFAO07CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,18.78,商,,,10203,土地1建物1車位1,十二層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,233.19,4,2,2,有,有,18360000,83370,坡道平面,29.76,1400000,,RPRQMLTJJIKFFAO56CA
新竹市,房地(土地+建物),新竹市新竹巿振興路48巷15弄1~30號,11.16,住,,,10410,土地1建物1車位0,二層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960416,36.12,1,0,1,有,有,1820000,50388,,0.0,0,,RPXOMLKKJIKFFAO78CA
新竹市,房地(土地+建物),新竹市新竹巿武陵路179巷1~30號,8.22,其他,,,10410,土地2建物1車位0,十三層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890501,54.55,2,2,2,有,無,4200000,76994,,0.0,0,,RPPPMLKKJIKFFAO08CA
新竹市,房地(土地+建物),新竹市新竹巿四維路83巷1~30號,38.4,其他,,,10410,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720801,127.53,3,1,2,有,無,4600000,36070,,0.0,0,,RPQPMLQJJIKFFAO68CA
