編號,車位類別,車位價格,車位面積平方公尺
RPVOMLNJJIKFFAO78CA,坡道平面,0,22.53
RPXRMLOJJIKFFAO76CA,坡道平面,0,
RPPNMLKKJIKFFAO87CA,坡道平面,0,
RPVSMLKKJIKFFAO98CA,一樓平面,0,
RPVNMLLKJIKFFAO58CA,坡道平面,0,
RPUOMLMKJIKFFAO68CA,坡道平面,0,29.87
RPQOMLQLJIKFFAO78CA,坡道平面,0,31.46
RPQOMLQLJIKFFAO78CA,坡道平面,0,31.46
RPUPMLNJJIKFFAO88DA,坡道平面,0,
RPSOMLMKJIKFFAO48CA,坡道平面,0,
RPQOMLLKJIKFFAO18CA,坡道平面,0,23.56
RPPQMLKKJIKFFAO18CA,坡道平面,1400000,29.76
RPQQMLKKJIKFFAO28CA,坡道平面,1150000,29.76
RPRQMLKKJIKFFAO38CA,坡道平面,1100000,29.76
RPSQMLKKJIKFFAO48CA,坡道平面,1300000,29.76
RPTQMLKKJIKFFAO58CA,坡道平面,1000000,29.76
RPUQMLKKJIKFFAO68CA,坡道平面,1000000,29.76
RPVQMLKKJIKFFAO78CA,坡道平面,1350000,29.76
RPWQMLKKJIKFFAO88CA,坡道平面,1400000,29.76
RPXQMLKKJIKFFAO98CA,坡道平面,0,29.76
RPXPMLTJJIKFFAO07CA,坡道平面,950000,29.76
RPRQMLTJJIKFFAO56CA,坡道平面,1400000,29.76
RPPSMLOJJIKFFAO68CA,坡道平面,0,
RPQQMLOJJIKFFAO58CA,坡道平面,0,34.71
RPWSMLPJJIKFFAO86CA,坡道機械,0,
RPRPMLQJJIKFFAO78CA,升降平面,0,
RPORMLKKJIKFFAO18CA,坡道平面,1400000,29.76
RPPRMLKKJIKFFAO28CA,坡道平面,1150000,29.76
RPQRMLKKJIKFFAO38CA,坡道平面,1150000,29.76
RPRRMLKKJIKFFAO48CA,坡道平面,0,29.76
RPWOMLMKJIKFFAO88CA,坡道平面,0,25.24
RPSOMLPJJIKFFAO78DA,坡道平面,0,
RPURMLKKJIKFFAO98EA,坡道平面,0,
RPTQMLKLJIKFFAO68CA,坡道機械,0,12.63
RPVPMLSKJIKFFAO86CA,坡道平面,0,18.31
RPPOMLQKJIKFFAO68DA,坡道平面,0,
RPPOMLQKJIKFFAO68DA,坡道平面,0,
RPXOMLQJJIKFFAO66CA,升降機械,0,
RPXOMLQJJIKFFAO66CA,升降機械,0,
RPSPMLKKJIKFFAO38CA,升降機械,0,
RPTPMLKKJIKFFAO48CA,坡道平面,0,
RPUNMLLKJIKFFAO48CA,坡道平面,0,
RPPSMLKKJIKFFAO38CA,坡道機械,0,
RPOTMLRKJIKFFAO09CA,坡道平面,0,21.52
RPQNMLNKJIKFFAO28CA,坡道平面,0,
RPQNMLNKJIKFFAO28CA,坡道平面,0,
RPRNMLNKJIKFFAO38CA,坡道平面,1050000,
RPQOMLNKJIKFFAO38CA,升降平面,0,43.70
RPPPMLSKJIKFFAO88CA,坡道平面,0,14.59
RPUPMLRLJIKFFAO76CA,坡道平面,0,30.16
RPUOMLLKJIKFFAO58CA,坡道平面,0,
RPQOMLMKJIKFFAO28CA,坡道機械,0,
RPTOMLMKJIKFFAO58CA,坡道機械,0,
RPTOMLNKJIKFFAO68CA,坡道平面,0,
RPTPMLRLJIKFFAO66CA,坡道平面,0,38.96
RPPQMLKLJIKFFAO28CA,坡道機械,0,
RPSPMLSKJIKFFAO56CA,坡道機械,0,
RPWNMLSKJIKFFAO76CA,坡道平面,0,
RPOOMLTKJIKFFAO78CA,坡道平面,0,
RPPOMLMKJIKFFAO18CA,坡道平面,0,34.06
RPPNMLMKJIKFFAO08CA,坡道平面,0,33.40
RPPNMLMKJIKFFAO08CA,坡道平面,0,33.40
