╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~ды,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
╖s┤ф╢m,дgжa,дддuмq271~300жa╕╣,44206.69,,пSйw╣A╖~░╧,дЇзQе╬жa,10408,дgжa17л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,29819493,675,,0.0,0,иє─│╗∙┴╩,RPWNMLPJJIKFFCQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m?║╓з°л╪░ъ╕ЇдGмq121~150╕╣,102.59,жэ,,,10410,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1000322,170.37,3,2,3,ж│,╡L,7500000,44022,,0.0,0,,RPSOMLPJJIKFFCQ09CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mдх╢йз°└nе└?1~30╕╣,87.0,жэ,,,10410,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040521,199.86,5,2,6,ж│,╡L,5800000,29020,,0.0,0,,RPVNMLTJJIKFFCQ07CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢m╝eдhз°▒Tдl└Y1~30╕╣,80.32,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0830301,134.39,5,2,3,ж│,╡L,4770000,35494,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPXNMLOJJIKFFDQ86CA
д╙лOел,дgжa,е╨з└мqе╨з└дpмq751~780жa╕╣,119.0,,пSйw╣A╖~░╧,дЇзQе╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,154700,1300,,0.0,0,иє─│╗∙┴╩,RPTNMLPJJIKFFDQ56CA
ддоH╢m,дgжa,оHкFмq1051~1080жa╕╣,103.46,░╙,,,10409,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2040000,19718,,0.0,0,,RPSNMLLKJIKFFDQ78CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mдд╔▄з°дд╕q╕Ї841~870╕╣,97.64,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0830425,193.58,6,2,3,ж│,╡L,4080000,21077,,0.0,0,,RPPOMLNKJIKFFDQ78CA
д╙лOел,й╨жa(дgжa+л╪кл)+иожь,╣┼╕q┐дд╙лO╔]д╙лOи╜д╙лO31~60╕╣,80.1,жэ,,,10410,дgжa1л╪кл1иожь1,е■,дT╝h,│zд╤нэ,жэоaе╬,игифеL╡n░Oи╞╢╡,1040731,162.84,4,2,3,ж│,╡L,5780000,35495,д@╝╙енн▒,0.0,0,,RPVNMLTKJIKFFDQ27CA
▒Ўдs╢m,дgжa,└s▓┤кLмq151~180жa╕╣,1100.0,,дsйYжaлOи|░╧,кL╖~е╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,95000,86,,0.0,0,,RPQNMLNJJIKFFEQ78CA
дЇдW╢m,дgжa,╝eдhмq871~900жa╕╣,10.74,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,64440,6000,,0.0,0,,RPPNMLQJJIKFFDQ98DA
дЇдW╢m,дgжa,мh╖sмq931~960жa╕╣,335.63,,д@пы╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,385000,1147,,0.0,0,,RPRNMLQLJIKFFDQ76DA
дЇдW╢m,дgжa,мh╖sмq931~960жa╕╣,353.85,,д@пы╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,405784,1147,,0.0,0,,RPSNMLQLJIKFFDQ86DA
дЇдW╢m,дgжa,мh╖sмq931~960жa╕╣,182.44,,д@пы╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,209216,1147,,0.0,0,,RPTNMLQLJIKFFDQ96DA
е┴╢п╢m,дgжa,дsддмq301~330жa╕╣,144.71,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,460000,3179,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPVNMLNJJIKFFCQ66EA
е┴╢п╢m,дgжa,е┴┐│мq331~360жa╕╣,293.88,жэ,,,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3820482,13000,,0.0,0,,RPQNMLOJJIKFFCQ88EA
ж╦▒T╢m,дgжa,к@енмq601~630жa╕╣,1757.02,,д@пы╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1600000,911,,0.0,0,,RPQNMLOJJIKFFEQ09EA
к№и╜дs╢m,дgжa,╝╓│емq271~300жa╕╣,4180.0,,дsйYжaлOи|░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,720000,172,,0.0,0,и╠д╜л┤дщ┤┴м░ецйЎдщ┤┴бB┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPNMLKKJIKFFEQ68EA
дЇдW╢m,дgжa,дU╝d╖sмq91~120жa╕╣,76.21,╣A,,,10409,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,304840,4000,,0.0,0,,RPWNMLPJJIKFFDQ96DA
е┴╢п╢m,дgжa,л╪░ъмq1171~1200жa╕╣,2077.0,╣A,,,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3560000,1714,,0.0,0,,RPRNMLOJJIKFFCQ98EA
е┴╢п╢m,дgжa,кF┤Ємq1891~1920жa╕╣,886.71,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,776000,875,,0.0,0,,RPPOMLPJJIKFFCQ98EA
дjкL┬э,дgжa,╝цй│мq╝цй│дpмq361~390жa╕╣,111.77,жэ,,,10406,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1800000,16105,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPWOMLOJJIKFFCQ86DA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m┐│лnз°└Y╛Ї691~720╕╣,30.4,жэ,,,10410,дgжa2л╪кл1иожь0,дG╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0811130,96.88,3,2,2,ж│,╡L,1450000,14967,,0.0,0,,RPQOMLPJJIKFFCQ98DA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mдЇдWз°дЇ╝w╕Ї151~180╕╣,87.23,жэ,,,10411,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040320,183.01,4,2,3,ж│,╡L,8000000,43713,,0.0,0,,RPWNMLKLJIKFFDQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m┬эе_з°ж`╖╛сY1~30╕╣,8.33,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,10410,дgжa1л╪кл1иожь0,дн╝h,дн╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0840815,24.34,1,0,1,ж│,ж│,688000,28266,,0.0,0,,RPTNMLLJKIKFFCQ78CA
е┴╢п╢m,дgжa,кF┤Ємq1681~1710жa╕╣,31.03,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,370000,11924,,0.0,0,╢R╜цзtе╝┐ьлOжsл╪кл1╡з,RPXNMLMJKIKFFCQ66CA
дjкL┬э,дgжa,й·╡╪мq781~810жa╕╣,112.06,дu,,,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1350000,12047,,0.0,0,,RPRNMLTKJIKFFCQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mрTжмз°жnжм121~150╕╣,15.38,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa1л╪кл1иожь0,д@╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0840502,42.44,1,1,1,ж│,╡L,570000,13431,,0.0,0,,RPOQMLOJJIKFFCQ78CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬э▓°╖q╡є176л╤1~30╕╣,32.28,жэ,,,10410,дgжa5л╪кл2иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0720312,84.86999999999999,3,2,2,ж│,╡L,1500000,17674,,0.0,0,,RPRNMLQKJIKFFCQ09CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдпйMд@╕Ї1~30╕╣,407.71,жэ,,,10410,дgжa11л╪кл2иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040720,433.5,6,1,5,ж│,ж│,23000000,53057,,0.0,0,,RPVNMLRKJIKFFBQ86CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдпйMд@╕Ї1~30╕╣,249.65,жэ,,,10410,дgжa11л╪кл2иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040720,295.25,4,2,5,ж│,ж│,16000000,54191,,0.0,0,,RPWNMLRKJIKFFBQ96CA
╕qж╦╢m,дgжa,Чfдl╝dмq31~60жa╕╣,40.45,,д@пы╣A╖~░╧,ец│qе╬жa,10410,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,24472,605,,0.0,0,,RPUNMLOJJIKFFBQ98CA
╕qж╦╢m,дgжa,Чfдl╝dмq31~60жa╕╣,38.0,,д@пы╣A╖~░╧,ец│qе╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,22990,605,,0.0,0,,RPVNMLOJJIKFFBQ09CA
╕qж╦╢m,дgжa,Чfдl╝dмq31~60жa╕╣,27.0,,д@пы╣A╖~░╧,ец│qе╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,16335,605,,0.0,0,,RPWNMLOJJIKFFBQ56CA
╕qж╦╢m,дgжa,Чfдl╝dмq31~60жa╕╣,115.0,,д@пы╣A╖~░╧,ец│qе╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,69575,605,,0.0,0,,RPXNMLOJJIKFFBQ66CA
╕qж╦╢m,дgжa,Чfдl╝dмq31~60жa╕╣,116.0,,д@пы╣A╖~░╧,ец│qе╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,70180,605,,0.0,0,,RPOOMLOJJIKFFBQ48CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдд┐│╕Ї61~90╕╣,14.8,░╙,,,10410,дgжa1л╪кл1иожь0,е|╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850815,128.39,4,2,2,ж│,╡L,2880000,22432,,0.0,0,,RPPNMLQJJIKFFBQ68CA
д╗╕}╢m,дgжa,дTйm╝dмqдTйmдpмq271~300жa╕╣,6366.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10409,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6000000,943,,0.0,0,,RPSNMLQJJIKFFBQ98CA
д╗╕}╢m,дgжa,ж╦дl╕}мqж╦╣┼дpмq2011~2040жa╕╣,1394.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,836400,600,,0.0,0,,RPPNMLPJJIKFFBQ58CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlел?╡цоH850л╤1~30╕╣,123.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,10410,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0790521,114.01,3,2,3,ж│,╡L,2750000,24121,,0.0,0,,RPQNMLPJJIKFFBQ68CA
ж╡дlел,дgжa,дде┐мq61~90жa╕╣,155.0,░╙,,,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9846274,63524,,0.0,0,,RPRNMLPJJIKFFBQ78CA
╖s┤ф╢m,дgжa,░ё└Yмqж@йMдpмq901~930жa╕╣,1681.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3450000,2052,,0.0,0,к■▒aжaдWл╪кл│Є└Ё.,RPTNMLQJJIKFFCQ56CA
╖s┤ф╢m,дgжa,дj╝цмqе_╝цдpмq121~150жa╕╣,1701.5,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1905680,1120,,0.0,0,е╗╢R╜цо╫еєлY─▌дT┐╦╡е╢бпSоэецйЎбAифецйЎ╗∙оцеiпр▓зйєел│їе┐▒`ецйЎ╗∙оцбC,RPUNMLQJJIKFFCQ66CA
╖s┤ф╢m,дgжa,ддмvдlмq961~990жa╕╣,2380.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2500000,1050,,0.0,0,,RPWNMLQKJIKFFCQ96CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mкF┐│з°╕ндl╝d31~60╕╣,113.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0810731,132.9,4,2,3,ж│,╡L,1920000,14447,,0.0,0,,RPRNMLPKJIKFFCQ98CA
е┴╢п╢m,дgжa,│╗╝dмqдд╝sдpмq571~600жa╕╣,4457.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10409,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,11588000,2600,,0.0,0,,RPSNMLKKJIKFFCQ58CA
│└пє╢m,дgжa,│└пємq│└кFдpмq1291~1320жa╕╣,3232.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4136960,1280,,0.0,0,,RPVNMLPJJIKFFDQ76CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mе┴е═з°й╛з╡╡є181~210╕╣,71.71,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0680901,102.18,2,2,2,ж│,╡L,4100000,40125,,0.0,0,,RPXNMLPLJIKFFDQ17CA
╡f╕Ї╢m,дgжa,д║┬|мq361~390жa╕╣,1934.6,ифеL,,,10409,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2620000,1354,,0.0,0,,RPPNMLTJJIKFFEQ66CA
ж╦▒T╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╦▒T╢m╞W╛Їз°▒T╕}151~180╕╣,67.93,,╢mз°░╧,дA║╪л╪┐vе╬жa,10409,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0831129,144.54,3,3,3,ж│,╡L,2900000,20064,,0.0,0,,RPPNMLMLJIKFFEQ78CA
│└пє╢m,дgжa,мIнэ╝dмqмIнэдpмq1~30жa╕╣,65.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,190000,2923,,0.0,0,,RPRNMLPJJIKFFDQ09DA
│└пє╢m,дgжa,дU╝цмqе·╝цдpмq31~60жa╕╣,750.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,975000,1300,,0.0,0,,RPUNMLPJJIKFFDQ76DA
д╙лOел,дgжa,лс╝цмqлс╝цдpмq661~690жa╕╣,1418.0,╣A,,,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2000000,1410,,0.0,0,,RPQNMLNKJIKFFDQ88DA
дЇдW╢m,дgжa,дj╘│з└мqдj╘│дpмq361~390жa╕╣,1230.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3813000,3100,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLQJJIKFFDQ09DA
дЇдW╢m,дgжa,дTм╔оHмq271~300жa╕╣,1125.83,,дsйYжaлOи|░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,870624,773,,0.0,0,,RPPNMLKKJIKFFDQ48DA
ж╦▒T╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╦▒T╢m╞W╛Їз°1~30╕╣,93.64,,╢mз°░╧,дA║╪л╪┐vе╬жa,10410,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0720721,63.27,3,2,1,ж│,╡L,1900000,30030,,0.0,0,,RPQNMLMLJIKFFEQ88CA
╕qж╦╢m,дgжa,░ёдl└Yмq░ёлeдpмq1501~1530жa╕╣,2767.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1521850,550,,0.0,0,,RPQNMLQJJIKFFBQ88DA
дЇдW╢m,й╨жa(дgжa+л╪кл)+иожь,╣┼╕q┐ддЇдW╢mдЇдWз°╡╪кL╡є62л╤1~30╕╣,190.41,жэ,,,10410,дgжa7л╪кл1иожь1,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1040521,193.34,4,3,4,ж│,╡L,7980000,41274,д@╝╙енн▒,12.5,0,,RPWNMLRKJIKFFDQ17CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mдЇдWз°е~кL╡є31~60╕╣,81.98,жэ,,,10409,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0811126,144.12,4,3,3,ж│,╡L,5600000,38857,,0.0,0,,RPQNMLQKJIKFFDQ09CA
│└пє╢m,дgжa,дTиддlмqдTиддpмq181~210жa╕╣,2024.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1679920,830,,0.0,0,,RPWNMLLKJIKFFDQ56CA
╖╦дf╢m,дgжa,╖╦кFмq1021~1050жa╕╣,238.32,ифеL,,,10410,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1410000,5916,,0.0,0,,RPSNMLKMJIKFFCQ78CA
