編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLPJJIKFFCQ09CA,5,170.37,住家用,鋼筋混凝土造,100年3月22日,三層,一層 二層 三層 電梯樓梯間
RPVNMLTJJIKFFCQ07CA,,199.86,見其他登記事項,鋼筋混凝土造,104年5月21日,三層,一層 二層 三層 見其他登記事項
RPXNMLOJJIKFFDQ86CA,22,134.39,住家用,鋼筋混凝土造,83年3月1日,三層,一層 二層 三層
RPPOMLNKJIKFFDQ78CA,21,193.58,住家用,鋼筋混凝土造,83年4月25日,四層,一層 二層 三層 四層
RPVNMLTKJIKFFDQ27CA,,162.84,住家用,見其他登記事項,104年7月31日,三層,一層 二層 三層 見其他登記事項
RPQOMLPJJIKFFCQ98DA,23,81.47,住家用,鋼筋混凝土造,81年11月30日,五層,二層
RPQOMLPJJIKFFCQ98DA,23,8.46,共有部份,鋼筋混凝土造,81年11月30日,地下層,
RPQOMLPJJIKFFCQ98DA,23,6.94,共有部份,鋼筋混凝土造,81年11月30日,五層,
RPWNMLKLJIKFFDQ56CA,1,183.01,見其他登記事項,鋼筋混凝土造,104年3月20日,三層,一層 二層 三層 見其他登記事項
RPTNMLLJKIKFFCQ78CA,20,17.53,住家用,鋼筋混凝土造,84年8月15日,五層,五層
RPTNMLLJKIKFFCQ78CA,20,6.81,共有部份,鋼筋混凝土造,84年8月15日,五層,
RPOQMLOJJIKFFCQ78CA,20,34.32,見其他登記事項,鋼筋混凝土造,84年5月2日,五層,一層
RPOQMLOJJIKFFCQ78CA,20,8.12,共有部份,鋼筋混凝土造,84年5月2日,五層,
RPRNMLQKJIKFFCQ09CA,33,76.65,見其他登記事項,鋼筋混凝土造,72年3月12日,五層,四層
RPRNMLQKJIKFFCQ09CA,33,7.87,共有部份,鋼筋混凝土造,72年3月12日,五層,
RPRNMLQKJIKFFCQ09CA,33,.31,見其他登記事項,鋼筋混凝土造,72年3月12日,五層,一層
RPRNMLQKJIKFFCQ09CA,33,.04,共有部份,鋼筋混凝土造,72年3月12日,五層,
RPVNMLRKJIKFFBQ86CA,,432.50,見其他登記事項,鋼筋混凝土造,104年7月20日,三層,一層 二層 三層
RPVNMLRKJIKFFBQ86CA,1,1.00,見其他登記事項,鋼筋混凝土造,104年1月6日,一層,一層
RPWNMLRKJIKFFBQ96CA,,294.25,見其他登記事項,鋼筋混凝土造,104年7月20日,三層,一層 二層 三層
RPWNMLRKJIKFFBQ96CA,1,1.00,見其他登記事項,鋼筋混凝土造,104年1月6日,一層,一層
RPPNMLQJJIKFFBQ68CA,19,128.39,住家用,鋼筋混凝土造,85年8月15日,十四層,四層
RPQNMLPJJIKFFBQ68CA,25,114.01,住家用,鋼筋混凝土加強磚造,79年5月21日,二層,一層 二層
RPRNMLPKJIKFFCQ98CA,23,132.90,住家用,鋼筋混凝土造,81年7月31日,三層,一層 二層 三層
RPXNMLPLJIKFFDQ17CA,36,102.18,住家用,鋼筋混凝土加強磚造,68年9月1日,二層,一層 二層 騎樓
RPPNMLMLJIKFFEQ78CA,21,144.54,住家用,鋼筋混凝土造,83年11月29日,四層,一層 二層 三層 四層
RPQNMLMLJIKFFEQ88CA,32,63.27,住家用,鋼筋混凝土加強磚造,72年7月21日,一層,一層
RPWNMLRKJIKFFDQ17CA,,193.34,見其他登記事項,見其他登記事項,104年5月21日,三層,一層 二層 三層 見其他登記事項
RPQNMLQKJIKFFDQ09CA,23,144.12,住家用,鋼筋混凝土造,81年11月26日,三層,一層 二層 三層
RPTNMLPKJIKFFCQ56CA,23,139.38,住商用,鋼筋混凝土造,82年1月19日,三層,一層 二層 三層 電梯樓梯間
RPTNMLTJJIKFFBQ76CA,,429.04,見其他登記事項,鋼筋混凝土造,104年7月20日,三層,
RPTNMLTJJIKFFBQ76CA,1,1.00,見其他登記事項,鋼筋混凝土造,104年1月6日,一層,
RPQNMLMKJIKFFBQ48CA,21,148.23,住商用,鋼筋混凝土造,83年6月22日,三層,二層 三層 一層
RPTNMLMKJIKFFBQ78CA,2,145.29,見其他登記事項,鋼筋混凝土造,102年7月15日,三層,一層 二層 三層 見其他登記事項
RPXNMLRKJIKFFDQ27CA,,193.74,見其他登記事項,見其他登記事項,104年5月21日,三層,一層 二層 三層 見其他登記事項
RPOOMLRKJIKFFDQ09CA,,193.74,見其他登記事項,見其他登記事項,104年5月21日,三層,一層 二層 三層 見其他登記事項
RPTOMLLJKIKFFDQ98CA,34,105.37,住家用,加強磚造,70年7月12日,二層,一層 二層
RPPNMLQKJIKFFEQ09CA,,159.56,見其他登記事項,鋼筋混凝土造,104年7月31日,三層,一層 二層 三層
RPQNMLKKJIKFFDQ58DA,36,110.92,住家用,鋼筋混凝土加強磚造,68年11月15日,二層,一層 二層 騎樓
RPPOMLRKJIKFFDQ56CA,,191.95,見其他登記事項,見其他登記事項,104年5月21日,三層,一層 二層 三層 見其他登記事項
RPWNMLTKJIKFFDQ37CA,,204.11,住家用,見其他登記事項,104年7月31日,三層,一層 二層 三層 見其他登記事項
RPPNMLNKJIKFFCQ58CA,38,95.29,住商用,鋼筋混凝土加強磚造,66年4月29日,二層,一層 二層 騎樓
RPRNMLRKJIKFFBQ09CA,26,127.37,住商用,鋼筋混凝土造,79年4月16日,三層,二層 三層 一層
RPROMLKMJIKFFCQ78CA,21,205.35,住商用,鋼筋混凝土造,83年11月3日,四層,一層 二層 三層 四層 電梯樓梯間
RPRNMLRLJIKFFBQ56CA,,237.14,住家用,鋼筋混凝土造,104年5月15日,四層,一層 二層 三層 四層
RPQNMLRLJIKFFDQ66CA,32,88.33,住家用,鋼筋混凝土加強磚造,72年5月10日,二層,一層 二層
RPPNMLQLJIKFFEQ56CA,31,307.57,住商用,鋼筋混凝土造,73年6月1日,三層,一層 二層 三層 騎樓
RPQNMLMKJIKFFCQ78EA,36,110.20,住家用,鋼筋混凝土加強磚造,68年10月20日,二層,一層 二層
RPSNMLLKKIKFFCQ98EA,38,73.90,住家用,鋼筋混凝土加強磚造,66年4月27日,二層,一層 二層
RPPNMLMKJIKFFCQ68EA,14,216.76,住商用,鋼筋混凝土造,91年1月14日,四層,一層 二層 三層 四層
RPQNMLLJKIKFFEQ68CA,23,37.23,住家用,鋼筋混凝土造,82年4月1日,十八層,八層
RPQNMLLJKIKFFEQ68CA,23,7.31,見其他登記事項,鋼筋混凝土造,82年4月1日,十八層,
RPQNMLLJKIKFFEQ68CA,23,1.75,見其他登記事項,鋼筋混凝土造,82年4月1日,,
RPVNMLRKJIKFFDQ07CA,36,87.37,住商用,鋼筋混凝土加強磚造,69年3月31日,二層,一層 二層 騎樓
RPUNMLMKJIKFFCQ98CA,27,90.08,住家用,鋼筋混凝土造,77年12月28日,三層,一層 二層 三層 電梯樓梯間
RPUNMLMKJIKFFCQ98CA,27,90.08,住家用,鋼筋混凝土造,77年12月28日,三層,一層 二層 三層 電梯樓梯間
RPRNMLKMJIKFFCQ68CA,35,109.61,住家用,鋼筋混凝土加強磚造,70年4月1日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLNKJIKFFBQ48CA,,420.35,見其他登記事項,鋼筋混凝土造,104年7月20日,三層,一層 二層 三層
RPPNMLNKJIKFFBQ48CA,1,1.00,見其他登記事項,鋼筋混凝土造,104年1月6日,一層,一層
RPPNMLPKJIKFFBQ68CA,9,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,四層
RPPNMLPKJIKFFBQ68CA,9,7.43,共有部份,鋼筋混凝土造,95年8月28日,,
RPPNMLPKJIKFFBQ68CA,9,4.61,共有部份,鋼筋混凝土造,95年8月28日,,
RPPNMLRJKIKFFBQ88CA,38,92.00,住家用,鋼筋混凝土加強磚造,66年10月28日,二層,一層 二層
RPOOMLKMJIKFFDQ58CA,11,180.81,住家用,鋼筋混凝土造,94年1月27日,三層,一層 二層 三層
RPQNMLTLJIKFFDQ86CA,39,48.60,住家用,見其他登記事項,66年3月30日,一層,一層
RPQNMLRKJIKFFDQ66DA,35,86.98,住家用,鋼筋混凝土加強磚造,69年9月30日,二層,一層 二層
RPUOMLLJKIKFFDQ09CA,23,214.91,住商用,鋼筋混凝土造,81年8月7日,四層,一層 二層 三層 四層
RPQPMLOJKIKFFDQ09CA,9,174.88,住家用,鋼筋混凝土造,95年4月19日,三層,一層 二層 三層
RPPNMLQKJIKFFBQ88DA,22,152.99,住商用,鋼筋混凝土造,82年6月3日,三層,一層 二層 三層 騎樓
RPWNMLSKJIKFFBQ17DA,20,60.15,住家用,鋼筋混凝土造,84年7月4日,七層,二層
RPWNMLSKJIKFFBQ17DA,20,7.21,見其他登記事項,鋼筋混凝土造,84年7月4日,七層,
RPWNMLSKJIKFFBQ17DA,20,5.66,見其他登記事項,鋼筋混凝土造,84年7月4日,七層,
RPSNMLRKJIKFFBQ56CA,26,127.37,住商用,見其他登記事項,79年4月16日,三層,一層 二層 三層
RPQNMLRKJIKFFEQ86EA,35,117.70,住商用,鋼筋混凝土加強磚造,69年7月2日,二層,一層 二層 騎樓
RPSNMLSKJIKFFDQ96DA,30,126.97,住商用,鋼筋混凝土加強磚造,75年1月28日,二層,一層 二層 騎樓
RPQNMLKLJIKFFDQ68DA,2,278.47,見其他登記事項,鋼筋混凝土造,102年11月29日,四層,一層 二層 三層 四層 見其他登記事項
