鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
屏東巿,房地(土地+建物)+車位,屏東縣屏東巿大武路301~330號,17.18,住,,,10410,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831006,116.94,3,2,2,有,有,2750000,23516,坡道機械,0.0,0,,RPROMLNJJIKFFAT88CA
屏東巿,房地(土地+建物),屏東縣屏東巿自由路61~90號,3.23,商,,,10410,土地1建物1車位0,九層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831104,34.32,1,0,1,有,有,650000,18939,,0.0,0,,RPOPMLNJJIKFFAT68CA
九如鄉,房地(土地+建物),屏東縣九如鄉富仁街91~120號,134.05,住,,,10410,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040521,238.29,5,2,4,有,無,10300000,43225,,0.0,0,,RPPNMLOJJIKFFAT68CA
麟洛鄉,房地(土地+建物),屏東縣麟洛鄉民生路和成巷2弄31~60號,91.7,,一般農業區,甲種建築用地,10410,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0930623,162.32,5,2,3,有,無,3800000,23411,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLOJJIKFFAT88CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉崙中路81巷151~180號,73.0,,特定農業區,甲種建築用地,10409,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0860516,157.02,5,2,3,有,無,3700000,23564,,0.0,0,,RPVNMLOJJIKFFAT66CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉大學路91~120號,19257.06,,特定農業區,丁種建築用地,10409,土地7建物3車位0,一層,一層,工廠,見其他登記事項,見其他登記事項,0730625,12251.81,0,0,0,無,無,186400000,,,0.0,0,,RPROMLPJJIKFFAT09CA
屏東巿,房地(土地+建物),屏東縣屏東巿和生路一段851巷91~120號,2924.35,,一般農業區,丁種建築用地,10410,土地2建物1車位0,一層，地下層,一層,廠辦,見其他登記事項,鋼筋混凝土加強磚造,,986.28,5,3,3,有,無,39600000,40151,,0.0,0,,RPXNMLPJJIKFFAT96CA
長治鄉,土地,榮興段31~60地號,145.24,,一般農業區,甲種建築用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,660000,4544,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLTJJIKFFAT17CA
屏東巿,土地,前進段121~150地號,204.0,其他,,,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,630000,3088,,0.0,0,本案係屬於協議價購案件,RPROMLKKJIKFFAT68CA
屏東巿,土地,前進段121~150地號,204.0,其他,,,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,630000,3088,,0.0,0,本案係屬於協議價購案件,RPSOMLKKJIKFFAT78CA
屏東巿,房地(土地+建物),屏東縣屏東巿迪化二街61~90號,23.61,住,,,10410,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0800829,131.7,3,2,2,有,有,2980000,22627,,0.0,0,,RPPNMLLKJIKFFAT48CA
屏東巿,土地,林內段151~180地號,86.0,住,,,10409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4650000,54070,,0.0,0,,RPVOMLOLJIKFFAT96CA
屏東巿,建物,屏東縣屏東巿建國新村35巷31~60號,0.0,,,,10409,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040624,179.0,4,1,3,有,無,2850000,15922,,0.0,0,,RPXOMLOLJIKFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東巿建國新村35巷1~30號,92.0,住,,,10409,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040703,105.72,4,1,3,有,無,8600000,81347,,0.0,0,,RPOPMLOLJIKFFAT98CA
里港鄉,土地,武洛段391~420地號,2747.0,,一般農業區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1820,,0.0,0,,RPWNMLOLJIKFFBT07CA
潮州鎮,土地,四春段691~720地號,87.47,,鄉村區,乙種建築用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,376900,4309,,0.0,0,含未登記建物價金243100元向政府機關承購之案件。,RPTNMLNJJIKFFCT56CA
內埔鄉,土地,內田段181~210地號,135.7,住,,,10410,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,11054,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLNKJIKFFCT98CA
潮州鎮,土地,三共段901~930地號,892.92,商,,,10410,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17500000,19599,,0.0,0,,RPTNMLRKJIKFFCT07CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮連興路1~30號,48.55,商,,,10409,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0661012,128.4,4,2,3,有,無,3500000,27259,,0.0,0,,RPVNMLTKJIKFFCT47CA
內埔鄉,土地,興義段241~270地號,281.44,,鄉村區,乙種建築用地,10408,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,11370,,0.0,0,,RPQNMLNLJIKFFCT09CA
萬巒鄉,土地,五溝水段421~450地號,10278.75,,,,10410,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,1167,,0.0,0,,RPQNMLKMJIKFFCT88CA
