編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLOJJIKFFAT68CA,,238.29,住家用,鋼筋混凝土造,104年5月21日,三層,一層 二層 三層 屋頂突出物
RPRNMLOJJIKFFAT88CA,11,162.32,住家用,鋼筋混凝土造,93年6月23日,四層,一層 二層 三層 四層
RPVNMLOJJIKFFAT66CA,18,157.02,住商用,鋼筋混凝土造,86年5月16日,四層,一層 二層 三層 四層
RPROMLPJJIKFFAT09CA,31,6096.00,見其他登記事項,見其他登記事項,73年6月25日,一層,一層
RPROMLPJJIKFFAT09CA,33,2765.41,見其他登記事項,見其他登記事項,71年8月15日,一層,一層 地下層
RPROMLPJJIKFFAT09CA,27,3390.40,見其他登記事項,見其他登記事項,77年4月2日,一層,一層
RPXNMLPJJIKFFAT96CA,,986.28,見其他登記事項,鋼筋混凝土加強磚造,,一層,一層 地下層
RPPNMLLKJIKFFAT48CA,24,101.14,見其他登記事項,鋼筋混凝土造,80年8月29日,十一層,八層
RPPNMLLKJIKFFAT48CA,24,30.56,共有部份,鋼筋混凝土造,80年8月29日,十一層,
RPXOMLOLJIKFFAT17CA,,179.00,見其他登記事項,鋼筋混凝土造,104年6月24日,三層,一層 二層 三層 屋頂突出物
RPOPMLOLJIKFFAT98CA,,105.72,見其他登記事項,鋼筋混凝土造,104年7月3日,四層,一層 二層 三層 四層
RPVNMLTKJIKFFCT47CA,38,128.40,住商用,加強磚造,66年10月12日,三層,一層 二層 三層 騎樓
RPRNMLPJJIKFFDT66CA,19,174.14,住家用,鋼筋混凝土造,85年5月2日,四層,一層 二層 三層 四層
RPRNMLNJJIKFFET56CA,1,195.76,見其他登記事項,見其他登記事項,104年1月20日,四層,一層 二層 三層 四層
RPPNMLPJJIKFFFT66CA,20,130.03,住家用,鋼筋混凝土造,84年4月1日,三層,一層 二層 三層
RPRNMLPLJIKFFBT76DA,21,201.40,住商用,鋼筋混凝土造,83年4月25日,四層,一層 二層 三層 四層 騎樓
RPVNMLNJJIKFFDT96DA,10,148.44,住商用,見其他登記事項,95年1月12日,二層,一層 二層
RPSNMLOJJIKFFAT09DA,11,187.56,住家用,鋼筋混凝土造,93年8月11日,四層,一層 二層 三層 四層
RPWNMLOJJIKFFAT86DA,,41.73,住家用,見其他登記事項,,二層,一層 二層 騎樓
RPXNMLOJJIKFFAT96DA,,41.73,住家用,見其他登記事項,,二層,一層 二層 騎樓
RPOOMLOJJIKFFAT78DA,,41.73,住家用,見其他登記事項,,二層,一層 二層 騎樓
RPRNMLOJJIKFFCT09CA,11,243.03,住商用,鋼筋混凝土造,93年6月24日,四層,一層 二層 三層 四層 騎樓
RPTNMLOJJIKFFCT66CA,52,64.20,住家用,加強磚造,53年1月1日,一層,一層 騎樓
RPTNMLKMJIKFFAT98CA,,165.33,住家用,鋼筋混凝土造,104年4月10日,三層,一層 二層 三層
RPOOMLNKJIKFFAT68CA,27,111.62,住家用,加強磚造,78年2月15日,二層,一層 二層
RPWNMLTJJIKFFAT27CA,11,114.28,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,二層
RPWNMLTJJIKFFAT27CA,11,66.73,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,
RPUNMLKKJIKFFAT88CA,36,77.18,住家用,加強磚造,68年9月17日,二層,一層 二層
RPOOMLPJJIKFFAT78CA,23,73.29,住家用,鋼筋混凝土造,82年3月2日,十一層,四層
RPOOMLPJJIKFFAT78CA,23,28.86,見其他登記事項,鋼筋混凝土造,82年3月2日,十一層,
RPPOMLPJJIKFFAT88CA,20,317.52,住商用,鋼筋混凝土造,85年1月29日,五層,一層 二層 三層 四層 五層 騎樓
RPPOMLOJJIKFFAT78CA,30,92.25,住家用,鋼筋混凝土造,74年5月20日,七層,三層
RPPOMLOJJIKFFAT78CA,30,18.49,見其他登記事項,鋼筋混凝土造,74年5月20日,七層,
RPRNMLPJJIKFFAT98CA,21,85.73,見其他登記事項,鋼筋混凝土造,83年7月1日,十六層,四層
RPRNMLPJJIKFFAT98CA,21,44.82,見其他登記事項,鋼筋混凝土造,83年7月1日,十六層,
RPSNMLPJJIKFFAT09CA,23,65.21,住家用,鋼筋混凝土造,82年3月18日,六層,一層
RPSNMLPJJIKFFAT09CA,23,21.16,見其他登記事項,鋼筋混凝土造,82年3月18日,六層,
RPUNMLPJJIKFFAT66CA,9,17.75,住家用,鋼筋混凝土造,96年3月28日,五層,五層
RPUNMLPJJIKFFAT66CA,9,8.89,見其他登記事項,鋼筋混凝土造,96年3月28日,五層,
RPVNMLPJJIKFFAT76CA,23,91.65,見其他登記事項,鋼筋混凝土造,81年6月1日,七層,四層
RPVNMLPJJIKFFAT76CA,23,25.36,見其他登記事項,鋼筋混凝土造,81年6月1日,七層,
RPWNMLPJJIKFFAT86CA,23,167.43,住家用,鋼筋混凝土造,82年1月14日,三層,一層 二層 三層
RPPOMLKKJIKFFAT48CA,21,59.85,住家用,鋼筋混凝土造,83年10月6日,七層,三層
RPPOMLKKJIKFFAT48CA,21,16.81,見其他登記事項,鋼筋混凝土造,83年10月6日,七層,
RPOPMLKKJIKFFAT48CA,21,83.65,見其他登記事項,鋼筋混凝土造,83年7月1日,十六層,八層
RPOPMLKKJIKFFAT48CA,21,25.95,見其他登記事項,鋼筋混凝土造,83年7月1日,十六層,
RPXNMLNKJIKFFAT86CA,8,190.60,見其他登記事項,鋼筋混凝土造,96年7月25日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPTNMLKLJIKFFAT88CA,36,96.56,住家用,加強磚造,68年12月21日,二層,一層 二層
RPSNMLPJJIKFFBT56CA,5,238.99,見其他登記事項,鋼筋混凝土造,99年9月23日,三層,一層 二層 三層
RPQOMLLJKIKFFAT68CA,35,101.36,住商用,加強磚造,69年8月21日,二層,一層 二層 騎樓
RPQPMLLJKIKFFAT78CA,1,253.45,住家用,鋼筋混凝土造,103年9月5日,四層,一層 二層 三層 四層
RPPPMLOLJIKFFAT09CA,,89.59,見其他登記事項,鋼筋混凝土造,104年7月3日,四層,一層 二層 三層 四層
RPRNMLPJJIKFFCT56CA,27,94.60,住商用,加強磚造,77年10月15日,二層,一層 二層
RPSNMLQJJIKFFCT76CA,2,231.88,見其他登記事項,見其他登記事項,103年3月17日,三層,一層 二層 三層 見其他登記事項
RPTNMLNKJIKFFBT56CA,1,209.39,見其他登記事項,鋼筋混凝土造,104年3月23日,三層,一層 二層 三層
RPUNMLOJJIKFFDT86CA,39,115.84,店舖、住宅,加強磚造,65年11月26日,二層,一層 二層 騎樓
RPPNMLPJJIKFFDT09CA,3,25.34,見其他登記事項,鋼筋混凝土構造,101年9月4日,二層,一層 二層
SPPNMLPJJIKFFDT56CA,1,25.23,見其他登記事項,鋼筋混凝土構造,103年8月8日,二層,一層 二層
RPSNMLNJKIKFFCT56CA,,208.60,住商用,見其他登記事項,104年5月20日,四層,一層 二層 三層 四層 騎樓
RPSNMLQJJIKFFET96CA,25,109.20,見其他登記事項,加強磚造,79年4月6日,二層,一層 二層
RPRNMLKKJIKFFAT68DA,32,176.56,住商用,見其他登記事項,72年8月13日,三層,一層 二層 三層 騎樓
RPQNMLNKJIKFFBT98DA,22,178.44,住家用,鋼筋混凝土造,83年3月2日,三層,一層 二層 三層 騎樓
RPQNMLLKJIKFFFT09CA,21,130.03,住家用,鋼筋混凝土造,84年4月1日,三層,一層 二層 三層
RPPNMLTJJIKFFDT86CA,36,443.79,見其他登記事項,見其他登記事項,68年12月21日,四層,一層 二層 三層 四層 騎樓 地下一層
RPRNMLTJJIKFFCT96CA,3,202.91,住家用,見其他登記事項,101年8月1日,四層,一層 二層 三層 四層
RPSNMLTJJIKFFCT07CA,33,1073.40,見其他登記事項,見使用執照,71年9月23日,二層,一層 二層 地下層
RPSNMLTKJIKFFAT96CA,19,81.78,住家用,鋼筋混凝土造,85年6月7日,十一層,十層
RPSNMLTKJIKFFAT96CA,19,27.39,見其他登記事項,鋼筋混凝土造,85年6月7日,十一層,
RPVNMLTKJIKFFAT27CA,,197.32,見其他登記事項,鋼筋混凝土造,104年5月6日,五層,一層 二層 三層 四層 五層 騎樓
RPRNMLMKJIKFFAT78CA,22,86.56,住家用,鋼筋混凝土造,82年9月23日,十二層,十二層
RPRNMLMKJIKFFAT78CA,22,23.51,見其他登記事項,鋼筋混凝土造,82年9月23日,十二層,
RPWPMLKKJIKFFAT66CA,22,93.17,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,二層
RPWPMLKKJIKFFAT66CA,22,28.23,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,
RPRNMLNKJIKFFAT88CA,39,381.33,住商用,鋼筋混凝土加強磚造,65年3月26日,二層,一層 二層 騎樓
RPXNMLKKJIKFFAT56CA,16,92.38,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,一層
RPXNMLKKJIKFFAT56CA,16,29.77,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPOOMLKKJIKFFAT38CA,20,34.01,住家用,鋼筋混凝土造,84年10月6日,十二層,三層
RPOOMLKKJIKFFAT38CA,20,13.03,見其他登記事項,鋼筋混凝土造,84年10月6日,十二層,
RPVNMLKKJIKFFAT98CA,23,75.27,住家用,鋼筋混凝土造,81年8月8日,七層,六層
RPVNMLKKJIKFFAT98CA,23,28.86,共有部份,鋼筋混凝土造,81年8月8日,七層,
RPSNMLNKJIKFFAT98CA,35,130.32,住家用,加強磚造,69年12月27日,二層,一層 二層 騎樓
RPPQMLKKJIKFFAT68CA,1,198.22,見其他登記事項,鋼筋混凝土造,103年8月4日,四層,一層 二層 三層 四層 屋頂突出物
RPXNMLTKJIKFFAT47CA,,158.06,見其他登記事項,鋼筋混凝土造,104年5月6日,四層,一層 二層 三層 四層
RPVPMLTKJIKFFAT47CA,,178.62,見其他登記事項,鋼筋混凝土造,104年5月6日,四層,一層 二層 三層 四層
RPWPMLTKJIKFFAT57CA,,156.75,見其他登記事項,鋼筋混凝土造,104年5月6日,四層,一層 二層 三層 四層
RPXPMLTKJIKFFAT67CA,,158.06,見其他登記事項,鋼筋混凝土造,104年5月6日,四層,一層 二層 三層 四層
RPRPMLRKJIKFFAT86CA,17,59.57,見其他登記事項,鋼筋混凝土造,87年8月25日,十四層,八層
RPRPMLRKJIKFFAT86CA,17,39.18,見其他登記事項,鋼筋混凝土造,87年8月25日,十四層,
RPROMLLJKIKFFAT78CA,21,95.57,住家用,鋼筋混凝土造,84年4月22日,七層,四層
RPROMLLJKIKFFAT78CA,21,34.17,見其他登記事項,鋼筋混凝土造,84年4月22日,七層,
RPTOMLLJKIKFFAT98CA,,80.80,商業用,磚造,,一層,一層
RPWOMLLJKIKFFAT66CA,,199.94,住家用,鋼筋混凝土造,104年7月3日,三層,一層 二層 三層 屋頂突出物
RPXOMLLJKIKFFAT76CA,,242.57,見其他登記事項,鋼筋混凝土造,104年7月3日,四層,一層 二層 三層 四層
RPPPMLLJKIKFFAT68CA,,178.33,見其他登記事項,鋼筋混凝土造,104年7月3日,四層,一層 二層 三層 四層
RPSPMLOLJIKFFAT76CA,,211.43,見其他登記事項,鋼筋混凝土造,104年7月3日,四層,一層 二層 三層 四層
RPPNMLTJJIKFFET96CA,21,42.80,住家用,鋼筋混凝土造,83年6月2日,七層,三層
RPVNMLMJKIKFFFT07CA,25,85.80,住家用,加強磚造,80年1月26日,二層,一層 二層
RPVNMLTJJIKFFDT57DA,26,163.47,住宅,鋼筋混凝土造,78年10月19日,三層,一層 二層 三層
RPQNMLMKJIKFFBT88DA,21,172.17,住家用,鋼筋混凝土造,83年4月26日,三層,一層 二層 三層 騎樓
RPOOMLTJJIKFFET96CA,41,104.00,住商用,鋼筋混凝土加強磚造,63年8月10日,二層,一層 二層 騎樓
RPQNMLNJKIKFFDT09CA,37,207.27,住商用,鋼筋混凝土造,67年10月24日,四層,一層 二層 三層 四層 騎樓
RPPNMLQLJIKFFET86CA,21,58.40,見其他登記事項,木造,83年8月2日,二層,一層 二層
RPPNMLQLJIKFFET86CA,21,58.40,見其他登記事項,木造,83年8月2日,二層,一層 二層
RPPNMLQLJIKFFET86CA,21,58.40,見其他登記事項,木造,83年7月26日,二層,一層 二層
RPPNMLPJKIKFFET66CA,37,92.82,住商用,鋼筋混凝土加強磚造,67年5月25日,二層,一層 二層 騎樓
RPSPMLMJKIKFFCT66CA,1,181.45,見其他登記事項,見其他登記事項,104年2月2日,三層,一層 二層 三層 見其他登記事項
SPSPMLMJKIKFFCT76CA,1,181.45,見其他登記事項,見其他登記事項,104年2月2日,三層,一層 二層 三層 見其他登記事項
