編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRQMLMJJIKFFAU09CA,31,112.10,住家用,鋼筋混凝土加強磚造,73年8月10日,二層,一層 二層 騎樓
RPSQMLMJJIKFFAU56CA,17,225.43,住家用,鋼筋混凝土造,87年3月9日,五層,一層 二層 三層 四層 五層
RPSQMLMJJIKFFAU56CA,17,17.59,共有部份,鋼筋混凝土造,87年3月9日,五層,
RPSQMLMJJIKFFAU56CA,17,15.10,共有部份,鋼筋混凝土造,87年3月9日,五層,
RPUQMLMJJIKFFAU76CA,18,152.79,住家用,鋼筋混凝土造,87年3月9日,五層,三層 四層 五層
RPUQMLMJJIKFFAU76CA,18,12.12,共有部份,鋼筋混凝土造,87年3月9日,五層,
RPUQMLMJJIKFFAU76CA,18,8.44,共有部份,鋼筋混凝土造,87年3月9日,五層,
RPPNMLPJJIKFFAU88CA,37,86.72,住家用,鋼筋混凝土加強磚造,68年1月15日,二層,一層 二層
RPROMLPJJIKFFAU56CA,,221.67,住家用,鋼筋混凝土造,104年7月15日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPTOMLTJJIKFFAU17CA,20,31.31,住家用,鋼筋混凝土造,84年8月19日,十一層,五層
RPTOMLTJJIKFFAU17CA,20,8.60,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPVNMLLKJIKFFAU76EA,16,163.77,住家用,鋼筋混凝土造,88年8月30日,三層,一層 二層 三層
RPSNMLOJJIKFFBU76EA,20,187.14,住家用,鋼筋混凝土造,84年9月15日,三層,一層 二層 三層 屋頂突出物
RPQNMLOJJIKFFCU56DA,18,121.41,住家用,鋼筋混凝土造,86年10月20日,三層,一層 二層 三層
RPOOMLPJJIKFFAU09EA,21,7.51,見其他登記事項,鋼筋混凝土造,83年6月11日,九層,地下二層
RPOOMLPJJIKFFAU09EA,21,64.61,住家用,鋼筋混凝土造,83年6月11日,九層,一層
RPOOMLPJJIKFFAU09EA,21,5.93,共有部份,鋼筋混凝土造,83年6月11日,九層,
RPOOMLPJJIKFFAU09EA,21,8.94,共有部份,鋼筋混凝土造,83年6月11日,九層,
RPSOMLPJJIKFFAU86EA,,231.35,住家用,鋼筋混凝土造,104年8月19日,四層,一層 二層 三層 四層
RPPNMLMJKIKFFAU68CA,,209.98,農舍,鋼筋混凝土造,104年7月31日,三層,一層 二層 三層
RPUPMLTKJIKFFAU47CA,19,142.82,住家用,鋼筋混凝土造,85年6月3日,三層,一層 二層 三層
RPSPMLNKJIKFFAU66CA,31,103.38,住家用,鋼筋混凝土造,74年4月16日,二層,一層 二層
RPUOMLTJJIKFFAU27CA,36,228.52,住商用,鋼筋混凝土造,68年5月4日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPTNMLKKJIKFFAU88CA,32,65.64,住家用,鋼筋混凝土造,72年11月17日,五層,三層
RPTNMLKKJIKFFAU88CA,32,5.48,共有部份,鋼筋混凝土造,72年11月17日,五層,
RPRNMLPJJIKFFAU09CA,,107.16,住家用,鋼筋混凝土造,104年5月28日,四層,一層 二層 三層 四層
RPSNMLPJJIKFFAU56CA,38,81.50,住商用,鋼筋混凝土加強磚造,66年4月1日,二層,一層 二層 騎樓
RPPNMLQJJIKFFAU98CA,,213.35,住家用,鋼筋混凝土造,104年8月19日,四層,四層 一層 二層 三層
RPRNMLTJJIKFFAU86CA,30,78.12,住家用,鋼筋混凝土加強磚造,75年2月24日,二層,一層 二層 屋頂突出物
RPROMLMKJIKFFAU98CA,34,122.80,住家用,鋼筋混凝土加強磚造,70年12月29日,二層,一層 二層
RPSOMLMKJIKFFAU09CA,34,94.96,住商用,鋼筋混凝土加強磚造,70年6月12日,二層,一層 二層 騎樓
RPWPMLNKJIKFFAU07CA,22,171.21,住商用,鋼筋混凝土造,83年4月9日,三層,一層 二層 三層 騎樓
RPUPMLNKJIKFFAU86CA,17,95.45,住家用,鋼筋混凝土造,88年4月14日,五層,五層
RPUPMLNKJIKFFAU86CA,17,10.45,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPUPMLNKJIKFFAU86CA,17,6.75,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPQOMLRKJIKFFAU76CA,34,72.60,住家用,鋼筋混凝土加強磚造,70年12月30日,二層,一層 二層
RPVNMLSKJIKFFAU27CA,,211.06,住家用,鋼筋混凝土造,104年8月19日,四層,一層 二層 三層 四層
RPXNMLSKJIKFFAU47CA,,211.07,住家用,鋼筋混凝土造,104年8月19日,四層,一層 二層 三層 四層
RPRNMLNJKIKFFAU98CA,22,31.93,住家用,鋼筋混凝土造,83年4月21日,五層,五層
RPTNMLNJKIKFFAU56CA,15,126.16,見其他登記事項,鋼筋混凝土造,89年6月9日,七層,一層 騎樓
RPTNMLNJKIKFFAU56CA,15,70.69,共有部份,鋼筋混凝土造,89年6月9日,七層,
RPTNMLNJKIKFFAU56CA,15,27.21,共有部份,鋼筋混凝土造,89年6月9日,七層,
RPQNMLKLJIKFFAU68CA,,228.69,住家用,鋼筋混凝土造,104年8月19日,四層,一層 二層 三層 四層
RPOPMLKKJIKFFAU68DA,35,245.45,住商用,鋼筋混凝土造,69年9月10日,三層,騎樓 一層 二層 三層 防空避難室 屋頂突出物
RPTNMLRLJIKFFBU17CA,25,86.87,住家用,鋼筋混凝土加強磚造,79年9月26日,一層,一層 騎樓
RPQNMLLKJIKFFCU98DA,,80.54,,,,,
RPQOMLTJJIKFFAU07EA,43,69.75,住家用,木造,61年5月1日,一層,一層 見其他登記事項
RPSNMLQJJIKFFCU86CA,29,102.26,住家用,鋼筋混凝土加強磚造,75年7月30日,二層,一層 二層 騎樓
RPSNMLMJKIKFFAU98CA,,630.83,住家用,鋼筋混凝土造,104年8月26日,四層,屋頂突出物 見其他登記事項 一層 二層 三層 四層
RPTNMLMJKIKFFAU09CA,1,209.56,住家用,鋼筋混凝土造,104年2月10日,三層,一層 二層 三層 屋頂突出物
RPXOMLTKJIKFFAU67CA,2,220.62,農舍,鋼筋混凝土造,104年9月8日,二層,一層 二層 屋頂突出物
RPPOMLNKJIKFFAU88CA,22,54.16,住家用,鋼筋混凝土造,82年10月29日,五層,五層
RPPOMLNKJIKFFAU88CA,22,10.75,共有部份,鋼筋混凝土造,82年10月29日,五層,
RPPPMLNKJIKFFAU98CA,23,73.51,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,六層
RPPPMLNKJIKFFAU98CA,23,16.85,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPQPMLNKJIKFFAU09CA,45,85.78,住家用,鋼筋混凝土加強磚造,59年11月25日,二層,一層 二層 騎樓
RPOOMLMKJIKFFAU68CA,20,162.45,住家用,鋼筋混凝土造,84年3月23日,三層,一層 二層 三層 屋頂突出物
RPUOMLMKJIKFFAU66CA,20,14.18,停車空間,鋼筋混凝土造,84年9月19日,六層,防空避難室
RPUOMLMKJIKFFAU66CA,20,25.85,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPUOMLMKJIKFFAU66CA,20,57.10,住商用,鋼筋混凝土造,84年9月19日,六層,一層 二層
RPUOMLMKJIKFFAU66CA,20,.69,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPQNMLLKJIKFFAU68CA,38,99.90,住家用,鋼筋混凝土加強磚造,66年4月19日,二層,一層 二層
RPUNMLKKJIKFFAU98CA,30,135.48,住家用,鋼筋混凝土造,75年4月19日,五層,四層 五層
RPUNMLKKJIKFFAU98CA,30,34.69,共有部份,鋼筋混凝土造,75年4月19日,五層,
RPSNMLTJJIKFFAU96CA,28,141.44,商業用,鋼筋混凝土造,76年8月24日,二層,一層 二層 屋頂突出物
RPQNMLTJJIKFFAU76CA,36,155.91,住商用,鋼筋混凝土造,68年9月3日,三層,一層 二層 三層 防空避難室 騎樓
RPWNMLTJJIKFFAU37CA,4,273.72,農舍,鋼筋混凝土造,100年10月7日,三層,一層 二層 三層 見其他登記事項
RPOOMLQJJIKFFAU98CA,20,20.55,住家用,鋼筋混凝土造,84年8月19日,十一層,六層
RPOOMLQJJIKFFAU98CA,20,6.53,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPQOMLQJJIKFFAU56CA,29,34.13,商業用,鋼筋混凝土造,75年5月31日,九層,二層
RPQOMLQJJIKFFAU56CA,29,11.66,共有部份,鋼筋混凝土造,75年5月31日,九層,
RPPNMLTJJIKFFAU66CA,22,75.51,住家用,鋼筋混凝土造,83年3月15日,十二層,十一層
RPPNMLTJJIKFFAU66CA,22,19.53,共有部份,鋼筋混凝土造,83年3月15日,十二層,
RPUNMLTJJIKFFAU17CA,36,79.76,住家用,鋼筋混凝土加強磚造,68年5月7日,二層,一層 二層
RPUOMLKKJIKFFAU09CA,45,71.12,住家用,木造,59年12月1日,一層,一層
RPWNMLLKJIKFFAU66CA,37,41.63,住家用,鋼筋混凝土加強磚造,67年5月22日,一層,一層
RPTNMLQKJIKFFAU86CA,21,117.41,住商用,鋼筋混凝土造,83年11月15日,十二層,一層 二層 騎樓
RPTNMLQKJIKFFAU86CA,21,20.99,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPTNMLQKJIKFFAU86CA,21,19.50,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPPOMLMKJIKFFAU78CA,20,45.16,住家用,鋼筋混凝土造,85年2月8日,十二層,十層
RPPOMLMKJIKFFAU78CA,20,10.36,共有部份,鋼筋混凝土造,85年2月8日,十二層,
RPWNMLRLJIKFFAU37CA,19,59.13,住家用,鋼筋混凝土造,85年10月29日,十六層,十三層
RPWNMLRLJIKFFAU37CA,19,10.93,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPWNMLRLJIKFFAU37CA,19,17.36,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPUNMLLKJIKFFAU66EA,16,20.04,住家用,鋼筋混凝土造,88年11月25日,六層,六層
RPUNMLLKJIKFFAU66EA,16,14.25,共有部份,鋼筋混凝土造,88年11月25日,六層,
RPQOMLOLJIKFFAU56CA,22,44.65,住家用,鋼筋混凝土造,83年1月10日,九層,四層
RPQOMLOLJIKFFAU56CA,22,11.89,共有部份,鋼筋混凝土造,83年1月10日,九層,
RPSNMLPJKIKFFAU66CA,22,161.89,住商用,鋼筋混凝土造,82年6月1日,四層,一層 二層 三層 四層
RPQNMLSJKIKFFAU76CA,,3150.98,見其他登記事項,見其他登記事項,,一層,一層
RPOPMLTKJIKFFAU86CA,17,113.16,住家用,鋼筋混凝土造,87年3月9日,四層,三層 四層
RPOPMLTKJIKFFAU86CA,17,8.97,共有部份,鋼筋混凝土造,87年3月9日,五層,
RPOPMLTKJIKFFAU86CA,17,13.26,共有部份,鋼筋混凝土造,87年3月9日,四層,
RPOOMLLKJIKFFAU58CA,17,176.02,住家用,鋼筋混凝土造,87年11月20日,四層,一層 二層 三層 四層 車庫
RPROMLTKJIKFFAU07CA,15,100.45,住家用,鋼筋混凝土造,89年5月9日,六層,三層
RPROMLTKJIKFFAU07CA,15,36.92,共有部份,鋼筋混凝土造,89年5月9日,六層,
RPOOMLNKJIKFFAU78CA,20,66.93,住家用,鋼筋混凝土造,85年2月9日,五層,五層
RPOOMLNKJIKFFAU78CA,20,14.27,共有部份,鋼筋混凝土造,85年2月9日,五層,
RPPNMLQKJIKFFAU09CA,34,51.61,住商用,鋼筋混凝土造,70年9月3日,十層,七層
RPUOMLQKJIKFFAU07CA,31,144.22,住家用,鋼筋混凝土加強磚造,73年12月17日,二層,一層 二層 屋頂突出物
RPVNMLQLJIKFFAU17CA,17,144.64,農舍,鋼筋混凝土造,87年2月17日,一層,一層
RPVOMLRJKIKFFAU27CA,,407.59,農舍,鋼筋混凝土造,104年10月5日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLRLJIKFFAU76DA,18,67.23,住家用,鋼筋混凝土造,86年8月27日,九層,二層 三層
RPPNMLRLJIKFFAU76DA,18,11.34,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPPNMLRLJIKFFAU76DA,18,8.81,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPPNMLRLJIKFFAU76DA,18,3.04,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPPNMLRKJIKFFCU96EA,16,208.65,住家用,鋼筋混凝土造,89年1月20日,三層,一層 二層 三層
RPUOMLLJKIKFFAU56CA,21,48.02,住家用,鋼筋混凝土造,83年8月11日,八層,七層
RPUOMLLJKIKFFAU56CA,21,20.41,共有部份,鋼筋混凝土造,83年8月11日,八層,
RPRNMLQLJIKFFAU76CA,56,35.36,住家用,見其他登記事項,49年1月1日,一層,一層
RPPPMLOLJIKFFAU56CA,23,80.14,住家用,鋼筋混凝土造,82年1月11日,九層,四層
RPPPMLOLJIKFFAU56CA,23,8.08,共有部份,鋼筋混凝土造,82年1月11日,九層,
RPTNMLPJKIKFFAU76CA,27,148.61,住工用,鋼筋混凝土造,77年10月22日,二層,騎樓 一層 二層 屋頂突出物
RPROMLQKJIKFFAU76CA,21,207.82,住商用,鋼筋混凝土造,84年3月22日,三層,一層 二層 三層 屋頂突出物 騎樓
RPWNMLQKJIKFFAU17CA,16,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 見其他登記事項
RPWNMLQKJIKFFAU17CA,16,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPWNMLQKJIKFFAU17CA,16,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPUNMLNKJIKFFAU66CA,19,25.11,住家用,鋼筋混凝土造,86年1月13日,七層,五層
RPUNMLNKJIKFFAU66CA,19,10.52,共有部份,鋼筋混凝土造,86年1月13日,七層,
RPUNMLNKJIKFFAU66CA,19,46.36,共有部份,鋼筋混凝土造,86年1月13日,七層,
RPVPMLNKJIKFFAU96CA,21,55.75,住家用,鋼筋混凝土造,83年7月5日,五層,四層
RPVPMLNKJIKFFAU96CA,21,11.97,共有部份,鋼筋混凝土造,83年7月5日,五層,
RPQOMLSKJIKFFAU86CA,27,111.81,住商用,鋼筋混凝土造,77年9月14日,二層,一層 二層 屋頂突出物 騎樓
RPTOMLTKJIKFFAU27CA,22,191.01,住商用,鋼筋混凝土造,83年4月1日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPWNMLMKJIKFFAU76CA,44,83.85,住家用,鋼筋混凝土加強磚造,60年10月5日,二層,一層 二層
RPPNMLNKJIKFFAU78CA,1,390.56,住家用,鋼筋混凝土造,103年10月15日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPTNMLNKJIKFFAU56CA,21,98.01,住家用,鋼筋混凝土造,84年3月2日,十七層,四層
RPTNMLNKJIKFFAU56CA,21,29.29,共有部份,鋼筋混凝土造,84年3月2日,十七層,
RPOOMLSKJIKFFAU66CA,,211.07,住家用,鋼筋混凝土造,104年8月19日,四層,一層 二層 三層 四層
RPTOMLKMJIKFFAU56CA,30,110.74,住家用,鋼筋混凝土造,74年5月28日,二層,一層 二層
RPVPMLKMJIKFFAU86CA,30,82.49,住家用,鋼筋混凝土加強磚造,75年3月21日,一層,一層
RPROMLLJKIKFFAU88CA,69,47.99,住家用,木造,36年4月11日,一層,一層
RPQNMLPJKIKFFAU09CA,22,65.04,住家用,鋼筋混凝土造,83年1月22日,十二層,九層
RPQNMLPJKIKFFAU09CA,22,35.04,共有部份,鋼筋混凝土造,83年1月22日,十二層,
RPUNMLPJKIKFFAU86CA,27,150.50,住工用,鋼筋混凝土造,77年10月22日,二層,一層 二層 屋頂突出物 騎樓
RPRNMLTJKIKFFAU96CA,,230.42,住家用,鋼筋混凝土造,104年5月22日,四層,一層 二層 三層 四層
RPPOMLPLJIKFFAU56CA,17,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,五層
RPPOMLPLJIKFFAU56CA,17,13.06,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPPOMLPLJIKFFAU56CA,17,8.38,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPSNMLQLJIKFFAU86CA,5,175.89,住家用,鋼筋混凝土造,99年9月20日,三層,一層 二層 三層 屋頂突出物
RPUOMLOLJIKFFAU96CA,,207.85,住家用,鋼筋混凝土造,104年8月10日,三層,一層 二層 三層 屋頂突出物
