編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVOMLPJJIKFFAX37DA,國宅段,1436.57,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLTKJIKFFAX37CA,文寮段,2.99,都市：住
RPSNMLTKJIKFFAX37CA,文寮段,14.16,都市：住
RPSNMLTKJIKFFAX37CA,文寮段,9.72,都市：住
RPTNMLMKJIKFFAX86DA,興仁段,99.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLKLJIKFFAX98DA,許家段,17.58,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLNKJIKFFAX76DA,光華段,51.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLPJJIKFFAX27DA,文光段,4.30,都市：其他
RPWNMLPJJIKFFAX37DA,文光段,124.79,都市：其他
RPWNMLPJJIKFFAX37DA,文光段,12.17,都市：其他
RPXNMLPJJIKFFAX47DA,文光段,3.09,都市：其他
RPOOMLPJJIKFFAX66DA,文光段,13.87,都市：其他
RPQNMLLKJIKFFAX09DA,文光段,4.13,都市：其他
RPRNMLLKJIKFFAX56DA,文光段,2.32,都市：其他
RPSNMLTJJIKFFAX27CA,山水北段,127.90,非都市：一般農業區 ; 非都市編定：水利用地
RPTNMLTJJIKFFAX37CA,七美二段,1583.51,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLPJJIKFFAX66CA,興仁段,114.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTJJIKFFAX07CA,鐵線段,278.45,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLTJJIKFFAX07CA,鐵線段,195.51,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLTJJIKFFAX17CA,五福段,24.70,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJJIKFFAX17CA,五福段,16.01,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLKKJIKFFAX66CA,紅羅段,284.72,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLMKJIKFFAX09CA,埕西段,114.94,都市：住
RPPOMLRKJIKFFAX96CA,五德西段,87.04,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLLKJIKFFAX66DA,文光段,2.32,都市：其他
RPUNMLTJJIKFFAX57DA,後寮段,199.00,非都市：一般農業區 ; 非都市編定：農牧用地
